source,target,edge_type
configs/alpha360_strict_oos_stability_v1.yaml,outputs/alpha360_strict_oos_extension_v1/current/strict_oos_contract_status.csv,yaml_path
configs/alpha360_strict_oos_stability_v1.yaml,outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/alpha360_candidate358_metric_index.csv,yaml_path
configs/bootstrap_gap_sensitivity_canary_v1.yaml,outputs/selection_input_projection_v2/current/artifact_manifest.json,yaml_path
configs/bootstrap_gap_sensitivity_canary_v1.yaml,outputs/selection_input_projection_v2/current/projection_inventory.csv,yaml_path
configs/bootstrap_gap_sensitivity_v1.yaml,outputs/bootstrap_gap_sensitivity_v1/canary/artifact_manifest.json,yaml_path
configs/bootstrap_gap_sensitivity_v1.yaml,outputs/bootstrap_gap_sensitivity_v1/canary/contract_status.csv,yaml_path
configs/bootstrap_gap_sensitivity_v1.yaml,outputs/selection_input_projection_v2/current/artifact_manifest.json,yaml_path
configs/bootstrap_gap_sensitivity_v1.yaml,outputs/selection_input_projection_v2/current/projection_inventory.csv,yaml_path
configs/canonical_historical_dataset_assembly_v1.yaml,outputs/factor_catalog_alpha101_v1/kunquant_alpha101_catalog_metadata.yaml,yaml_path
configs/canonical_historical_dataset_assembly_v1.yaml,outputs/factor_universe_v2/current/factor_inventory_v2.csv,yaml_path
configs/canonical_historical_dataset_assembly_v1.yaml,outputs/factor_universe_v2_matrix_readiness/current/artifact_manifest.json,yaml_path
configs/canonical_historical_dataset_assembly_v1.yaml,outputs/factor_universe_v2_matrix_readiness/current/factor_qualification.csv,yaml_path
configs/canonical_historical_dataset_assembly_v1.yaml,outputs/factor_universe_v2_matrix_readiness/current/partition_manifest.csv,yaml_path
configs/clustering_input_projection_669_canary_v1.yaml,outputs/development_robustness_split_v1/full_research_669/artifact_manifest.json,yaml_path
configs/clustering_input_projection_669_canary_v1.yaml,outputs/development_robustness_split_v1/full_research_669/outer_development_allowed_dates.csv,yaml_path
configs/clustering_input_projection_669_canary_v1.yaml,outputs/factor_rolling_stability_v1/full_research_669/artifact_manifest.json,yaml_path
configs/clustering_input_projection_669_canary_v1.yaml,outputs/factor_rolling_stability_v1/full_research_669/factor_stability_board.csv,yaml_path
configs/clustering_input_projection_669_canary_v1.yaml,outputs/full_research_daily_ic_669_v1/current/artifact_manifest.json,yaml_path
configs/clustering_input_projection_669_canary_v1.yaml,outputs/full_research_daily_ic_669_v1/current/daily_rank_ic.csv,yaml_path
configs/clustering_input_projection_669_canary_v1.yaml,outputs/full_research_feature_matrix_669_v1/current/artifact_manifest.json,yaml_path
configs/clustering_input_projection_669_canary_v1.yaml,outputs/full_research_feature_matrix_669_v1/current/batch_manifest.csv,yaml_path
configs/clustering_input_projection_669_canary_v1.yaml,outputs/purged_walk_forward_v1/full_research_669/artifact_manifest.json,yaml_path
configs/clustering_input_projection_669_canary_v1.yaml,outputs/purged_walk_forward_v1/full_research_669/date_assignments.csv,yaml_path
configs/clustering_input_projection_669_v1.yaml,outputs/development_robustness_split_v1/full_research_669/artifact_manifest.json,yaml_path
configs/clustering_input_projection_669_v1.yaml,outputs/development_robustness_split_v1/full_research_669/outer_development_allowed_dates.csv,yaml_path
configs/clustering_input_projection_669_v1.yaml,outputs/factor_rolling_stability_v1/full_research_669/artifact_manifest.json,yaml_path
configs/clustering_input_projection_669_v1.yaml,outputs/factor_rolling_stability_v1/full_research_669/factor_stability_board.csv,yaml_path
configs/clustering_input_projection_669_v1.yaml,outputs/full_research_daily_ic_669_v1/current/artifact_manifest.json,yaml_path
configs/clustering_input_projection_669_v1.yaml,outputs/full_research_daily_ic_669_v1/current/daily_rank_ic.csv,yaml_path
configs/clustering_input_projection_669_v1.yaml,outputs/full_research_feature_matrix_669_v1/current/artifact_manifest.json,yaml_path
configs/clustering_input_projection_669_v1.yaml,outputs/full_research_feature_matrix_669_v1/current/batch_manifest.csv,yaml_path
configs/clustering_input_projection_669_v1.yaml,outputs/purged_walk_forward_v1/full_research_669/artifact_manifest.json,yaml_path
configs/clustering_input_projection_669_v1.yaml,outputs/purged_walk_forward_v1/full_research_669/date_assignments.csv,yaml_path
configs/clustering_input_projection_corrected_canary_v2.yaml,outputs/development_robustness_split_v1/full_research_669/artifact_manifest.json,yaml_path
configs/clustering_input_projection_corrected_canary_v2.yaml,outputs/development_robustness_split_v1/full_research_669/outer_development_allowed_dates.csv,yaml_path
configs/clustering_input_projection_corrected_canary_v2.yaml,outputs/factor_rolling_stability_v2/current/artifact_manifest.json,yaml_path
configs/clustering_input_projection_corrected_canary_v2.yaml,outputs/factor_rolling_stability_v2/current/factor_stability_board.csv,yaml_path
configs/clustering_input_projection_corrected_canary_v2.yaml,outputs/full_research_daily_ic_v2/current/artifact_manifest.json,yaml_path
configs/clustering_input_projection_corrected_canary_v2.yaml,outputs/full_research_daily_ic_v2/current/daily_rank_ic.csv,yaml_path
configs/clustering_input_projection_corrected_canary_v2.yaml,outputs/full_research_feature_matrix_v4/current/artifact_manifest.json,yaml_path
configs/clustering_input_projection_corrected_canary_v2.yaml,outputs/full_research_feature_matrix_v4/current/partition_status.csv,yaml_path
configs/clustering_input_projection_corrected_canary_v2.yaml,outputs/purged_walk_forward_v1/full_research_669/artifact_manifest.json,yaml_path
configs/clustering_input_projection_corrected_canary_v2.yaml,outputs/purged_walk_forward_v1/full_research_669/date_assignments.csv,yaml_path
configs/clustering_input_projection_corrected_v2.yaml,outputs/clustering_input_projection_v2/canary/artifact_manifest.json,yaml_path
