datetime,instrument_count,can_buy_count,can_sell_count,can_buy_rate,can_sell_rate,avg_tradability_score,suspended_count,limit_up_count,limit_down_count,low_liquidity_count,core_missing_count
2021-11-22,1966,1147,1962,0.5834181078331638,0.9979654120040692,89.18870803662259,4,34,0,785,4
2021-11-23,1966,1157,1960,0.5885045778229908,0.9969481180061037,89.37690742624619,3,22,2,785,3
2021-11-24,1966,1156,1960,0.5879959308240081,0.9969481180061037,89.33621566632758,4,22,2,785,4
2021-11-25,1966,1152,1959,0.5859613428280773,0.996439471007121,89.18870803662259,4,27,3,785,4
2021-11-26,1966,1153,1961,0.58646998982706,0.9974567650050865,89.31332655137335,4,26,1,785,4
2021-11-29,1966,1142,1960,0.5808748728382502,0.9969481180061037,89.14038657171923,5,34,1,785,5
2021-11-30,1966,1146,1959,0.582909460834181,0.996439471007121,89.13784333672432,5,32,2,785,5
2021-12-01,1966,1147,1958,0.5834181078331638,0.9959308240081384,89.09969481180062,6,32,2,784,6
2021-12-02,1966,1159,1955,0.5895218718209563,0.9944048830111902,89.23194303153612,5,19,4,785,5
2021-12-03,1966,1153,1957,0.58646998982706,0.9954221770091557,89.18107833163785,7,24,2,784,7
2021-12-06,1966,1162,1954,0.5910478128179044,0.9938962360122076,89.37436419125127,5,15,4,785,5
2021-12-07,1966,1156,1956,0.5879959308240081,0.9949135300101729,89.20651068158698,6,24,4,784,6
2021-12-08,1966,1141,1959,0.5803662258392676,0.996439471007121,88.95727365208545,6,37,1,784,6
2021-12-09,1966,1156,1959,0.5879959308240081,0.996439471007121,89.1912512716175,5,26,1,785,5
2021-12-10,1966,1152,1960,0.5859613428280773,0.9969481180061037,89.23194303153612,5,26,1,785,5
2021-12-13,1966,1151,1960,0.5854526958290946,0.9969481180061037,89.15818921668362,5,30,0,785,5
2021-12-14,1966,1143,1958,0.5813835198372329,0.9959308240081384,88.99796541200406,6,37,1,784,6
2021-12-15,1966,1146,1959,0.582909460834181,0.996439471007121,88.99287894201424,6,36,0,784,6
2021-12-16,1966,1143,1957,0.5813835198372329,0.9954221770091557,88.79959308240082,8,38,1,783,8
2021-12-17,1965,1141,1955,0.5806615776081425,0.9949109414758269,88.76335877862596,8,38,1,783,8
2021-12-20,1965,1143,1944,0.5816793893129771,0.9893129770992366,88.49618320610686,7,42,12,783,7
2021-12-21,1965,1115,1952,0.5674300254452926,0.9933842239185751,87.92366412213741,8,76,5,783,8
2021-12-22,1965,1146,1954,0.583206106870229,0.9944020356234097,88.92875318066157,6,34,3,784,6
2021-12-23,1965,1145,1949,0.5826972010178118,0.9918575063613232,89.05852417302799,4,31,10,785,4
2021-12-24,1965,1155,1952,0.5877862595419847,0.9933842239185751,89.1704834605598,4,25,8,785,4
2021-12-27,1965,1149,1955,0.5847328244274809,0.9949109414758269,89.1704834605598,5,28,4,784,5
2021-12-28,1965,1147,1954,0.5837150127226464,0.9944020356234097,89.07124681933843,6,29,4,784,6
2021-12-29,1965,1147,1954,0.5837150127226464,0.9944020356234097,89.14249363867684,5,29,4,784,5
2021-12-30,1965,1136,1956,0.5781170483460559,0.9954198473282443,88.79643765903307,8,43,1,783,8
2021-12-31,1965,1150,1950,0.5852417302798982,0.9923664122137404,89.03307888040712,7,27,6,783,7
2022-01-04,1965,1138,1952,0.5791348600508905,0.9933842239185751,88.65394402035624,6,49,4,784,6
2022-01-05,1965,1155,1946,0.5877862595419847,0.9903307888040712,89.00254452926208,5,25,13,784,5
2022-01-06,1965,1142,1959,0.5811704834605598,0.9969465648854962,88.99491094147582,4,39,1,785,4
2022-01-07,1965,1160,1951,0.5903307888040712,0.9928753180661578,89.26972010178118,4,18,10,785,4
2022-01-10,1965,1154,1954,0.5872773536895675,0.9944020356234097,89.17557251908397,4,24,7,785,4
2022-01-11,1965,1156,1960,0.5882951653944021,0.9974554707379135,89.36132315521628,4,23,1,785,4
2022-01-12,1965,1143,1961,0.5816793893129771,0.9979643765903308,89.04325699745547,4,39,0,785,4
2022-01-13,1965,1154,1956,0.5872773536895675,0.9954198473282443,89.17302798982189,4,26,4,785,4
2022-01-14,1965,1144,1955,0.5821882951653944,0.9949109414758269,88.9821882951654,5,34,4,784,5
2022-01-17,1965,1129,1957,0.5745547073791348,0.9959287531806615,88.65648854961832,5,52,2,784,5
2022-01-18,1965,1165,1939,0.5928753180661578,0.9867684478371501,89.06615776081425,4,15,21,785,4
2022-01-19,1965,1153,1956,0.5867684478371501,0.9954198473282443,89.20356234096693,5,25,4,784,5
2022-01-20,1965,1160,1957,0.5903307888040712,0.9959287531806615,89.31552162849873,5,18,3,784,5
2022-01-21,1965,1155,1940,0.5877862595419847,0.9872773536895675,88.92366412213741,5,23,20,784,5
2022-01-24,1965,1147,1944,0.5837150127226464,0.9893129770992366,88.80661577608143,6,30,15,784,6
2022-01-25,1965,1165,1923,0.5928753180661578,0.9786259541984733,88.84223918575064,6,11,36,784,6
2022-01-26,1965,1156,1941,0.5882951653944021,0.9877862595419847,89.04071246819339,6,19,18,784,6
2022-01-27,1965,1171,1921,0.5959287531806616,0.9776081424936387,88.86259541984732,5,5,38,784,5
2022-01-28,1965,1158,1947,0.5893129770992367,0.9908396946564886,89.16539440203562,4,18,13,785,4
2022-02-07,1965,1147,1944,0.5837150127226464,0.9893129770992366,88.7531806615776,4,33,16,785,4
2022-02-08,1965,1150,1959,0.5852417302798982,0.9969465648854962,89.1501272264631,4,31,2,785,4
2022-02-09,1965,1135,1961,0.5776081424936387,0.9979643765903308,88.97201017811705,4,43,0,785,4
2022-02-10,1965,1155,1961,0.5877862595419847,0.9979643765903308,89.32824427480917,4,23,0,785,4
2022-02-11,1965,1154,1955,0.5872773536895675,0.9949109414758269,89.23155216284987,4,23,6,785,4
2022-02-14,1965,1151,1956,0.5857506361323155,0.9954198473282443,89.23155216284987,3,28,5,785,3
2022-02-15,1965,1162,1958,0.5913486005089058,0.9964376590330789,89.43256997455471,4,17,3,785,4
2022-02-16,1965,1149,1960,0.5847328244274809,0.9974554707379135,89.24173027989822,5,28,0,784,5
2022-02-17,1965,1154,1954,0.5872773536895675,0.9944020356234097,89.2239185750636,5,23,6,784,5
2022-02-18,1965,1150,1959,0.5852417302798982,0.9969465648854962,89.21882951653944,4,27,1,785,4
2022-02-21,1965,1131,1960,0.5755725190839694,0.9974554707379135,88.82697201017811,4,50,0,785,4
2022-02-22,1965,1154,1956,0.5872773536895675,0.9954198473282443,89.06870229007633,6,25,3,784,6
2022-02-23,1965,1142,1955,0.5811704834605598,0.9949109414758269,88.9618320610687,6,34,4,784,6
2022-02-24,1965,1163,1934,0.5918575063613232,0.9842239185750636,89.02798982188295,5,15,25,784,5
2022-02-25,1965,1157,1957,0.5888040712468193,0.9959287531806615,89.264631043257,5,23,2,784,5
2022-02-28,1965,1158,1957,0.5893129770992367,0.9959287531806615,89.31806615776081,5,19,3,784,5
2022-03-01,1965,1158,1958,0.5893129770992367,0.9964376590330789,89.42748091603053,3,20,2,785,3
2022-03-02,1965,1147,1961,0.5837150127226464,0.9979643765903308,89.27480916030534,4,30,0,785,4
2022-03-03,1965,1150,1960,0.5852417302798982,0.9974554707379135,89.35114503816794,3,27,1,785,3
2022-03-04,1965,1158,1955,0.5893129770992367,0.9949109414758269,89.38931297709924,2,20,7,785,2
2022-03-07,1965,1159,1957,0.5898218829516539,0.9959287531806615,89.34351145038168,3,20,5,785,3
2022-03-08,1965,1168,1934,0.5944020356234097,0.9842239185750636,89.1145038167939,5,8,26,784,5
2022-03-09,1965,1158,1953,0.5893129770992367,0.9938931297709923,89.24936386768448,5,20,7,784,5
2022-03-10,1965,1139,1958,0.5796437659033079,0.9964376590330789,88.90076335877863,6,41,1,784,6
2022-03-11,1965,1142,1955,0.5811704834605598,0.9949109414758269,88.94402035623409,6,35,4,784,6
2022-03-14,1965,1154,1952,0.5872773536895675,0.9933842239185751,89.16030534351145,4,22,7,785,4
2022-03-15,1965,1163,1894,0.5918575063613232,0.9638676844783715,88.3765903307888,3,14,67,785,3
2022-03-16,1965,1125,1961,0.5725190839694656,0.9979643765903308,88.78625954198473,3,57,1,785,3
2022-03-17,1965,1144,1962,0.5821882951653944,0.9984732824427481,88.89058524173028,3,43,0,785,3
2022-03-18,1965,1128,1960,0.5740458015267176,0.9974554707379135,88.81424936386769,3,55,2,785,3
2022-03-21,1965,1127,1962,0.5735368956743002,0.9984732824427481,88.70483460559797,2,58,0,785,2
2022-03-22,1965,1146,1960,0.583206106870229,0.9974554707379135,89.08905852417303,2,38,3,785,2
2022-03-23,1965,1148,1959,0.5842239185750636,0.9969465648854962,89.06615776081425,2,36,4,785,2
2022-03-24,1965,1152,1962,0.5862595419847328,0.9984732824427481,89.31806615776081,2,30,1,785,2
2022-03-25,1965,1144,1955,0.5821882951653944,0.9949109414758269,89.09160305343511,3,35,7,785,3
2022-03-28,1965,1144,1955,0.5821882951653944,0.9949109414758269,89.0941475826972,2,36,7,785,2
2022-03-29,1965,1146,1952,0.583206106870229,0.9933842239185751,89.03562340966921,3,34,10,785,3
2022-03-30,1965,1137,1960,0.5786259541984733,0.9974554707379135,88.97455470737914,4,43,1,785,4
2022-03-31,1965,1150,1954,0.5852417302798982,0.9944020356234097,89.07124681933843,5,31,6,784,5
2022-04-01,1965,1135,1949,0.5776081424936387,0.9918575063613232,88.7531806615776,4,42,11,785,4
2022-04-06,1965,1141,1955,0.5806615776081425,0.9949109414758269,88.89058524173028,6,38,4,784,6
2022-04-07,1965,1162,1933,0.5913486005089058,0.9837150127226463,88.9821882951654,7,13,24,783,7
2022-04-08,1965,1147,1949,0.5837150127226464,0.9918575063613232,89.01017811704834,6,29,8,784,6
2022-04-11,1965,1152,1929,0.5862595419847328,0.981679389312977,88.49872773536896,7,27,28,783,7
2022-04-12,1965,1127,1944,0.5735368956743002,0.9893129770992366,88.5089058524173,7,50,13,783,7
2022-04-13,1965,1148,1935,0.5842239185750636,0.9847328244274809,88.64885496183206,7,31,23,783,7
2022-04-14,1965,1145,1953,0.5826972010178118,0.9938931297709923,89.01017811704834,6,32,5,784,6
2022-04-15,1965,1160,1932,0.5903307888040712,0.983206106870229,88.79643765903307,8,15,25,783,8
2022-04-18,1965,1141,1930,0.5806615776081425,0.9821882951653944,88.40966921119593,11,32,23,782,11
2022-04-19,1965,1146,1943,0.583206106870229,0.9888040712468193,88.69974554707379,11,27,10,782,11
2022-04-20,1965,1150,1944,0.5852417302798982,0.9893129770992366,88.8295165394402,11,24,8,782,11
2022-04-21,1965,1162,1907,0.5913486005089058,0.9704834605597964,88.48600508905852,10,11,46,782,10
2022-04-22,1965,1154,1917,0.5872773536895675,0.9755725190839695,88.40458015267176,10,24,37,782,10
2022-04-25,1965,1163,1518,0.5918575063613232,0.7725190839694657,81.51653944020356,9,8,435,783,9
2022-04-26,1965,1153,1864,0.5867684478371501,0.9486005089058525,87.39949109414758,11,21,89,782,11
2022-04-27,1965,1103,1936,0.561323155216285,0.9852417302798983,87.68702290076335,13,75,15,781,13
2022-04-28,1965,1139,1924,0.5796437659033079,0.9791348600508906,88.14758269720102,21,29,19,778,21
2022-04-29,1965,1083,1937,0.5511450381679389,0.9857506361323155,87.24173027989822,17,101,0,779,17
2022-05-05,1965,1092,1897,0.5557251908396946,0.9653944020356234,86.0,56,64,6,764,56
2022-05-06,1965,1126,1899,0.573027989821883,0.966412213740458,87.33078880407125,36,31,10,772,36
