datetime,instrument,alpha158_ROC10,alpha158_ROC30,alpha158_ROC60,alpha158_MIN5,alpha158_MIN10,alpha158_MIN30,alpha158_MIN60,alpha158_QTLD10,alpha158_QTLD30,alpha158_QTLD60,alpha158_IMIN20,alpha158_IMIN30,alpha158_IMIN60,alpha158_VSUMN60
2024-04-24,SH600000,0.98775697,0.9659817,0.8953215,0.9850607,0.96732485,0.94566727,0.88312775,0.98581547,0.9624662,0.9450634,0.05,0.3,0.033333335,0.52618283
2024-04-25,SH600000,0.97706735,0.95821744,0.8893329,0.9784719,0.9608547,0.9393419,0.87722075,0.9830264,0.95602846,0.94358927,0.15,0.26666668,0.016666668,0.53435504
2024-04-26,SH600000,0.96087795,0.9488203,0.8921756,0.9771139,0.9595212,0.93803823,0.8894951,0.9835184,0.9554997,0.9444657,0.1,0.23333333,0.016666668,0.48964387
2024-04-29,SH600000,0.98377866,0.9488203,0.90432,0.9771139,0.96767974,0.93803823,0.9029534,0.98678005,0.95661,0.9468946,0.05,0.2,0.016666668,0.51218826
2024-04-30,SH600000,0.94282365,0.9207556,0.8792109,0.94805336,0.9324928,0.9039291,0.8727377,0.953005,0.9251692,0.9140516,0.45,0.16666667,0.1,0.45782256
2024-05-06,SH600000,0.9350606,0.903165,0.875123,0.92994124,0.9235953,0.8866599,0.85606444,0.93479824,0.90824866,0.8968514,0.4,0.13333334,0.083333336,0.48856932
2024-05-07,SH600000,0.93736106,0.89645237,0.8823771,0.93353873,0.9271683,0.89009005,0.8593762,0.93867797,0.9138036,0.90032095,0.35,0.1,0.06666667,0.5066436
2024-05-08,SH600000,0.9410793,0.9013038,0.87563956,0.9359269,0.92954016,0.89236706,0.86157465,0.94312584,0.9187654,0.90467066,0.3,0.06666667,0.05,0.5076325
2024-05-09,SH600000,0.9346427,0.91029865,0.87563956,0.9692598,0.92954016,0.89236706,0.86157465,0.9487209,0.9192936,0.9061726,0.25,0.033333335,0.033333335,0.5086524
2024-05-10,SH600000,0.92444867,0.8866731,0.8564364,0.97224724,0.91938734,0.88288873,0.846349,0.9342412,0.9090791,0.8924124,0.2,0.033333335,0.016666668,0.49426645
2024-05-13,SH600000,0.9246381,0.88695717,0.85930294,0.9698101,0.9170828,0.88814706,0.8492778,0.9321581,0.90830433,0.8906768,0.15,0.033333335,0.016666668,0.51379776
2024-05-14,SH600000,0.9402924,0.907294,0.8743772,0.9847142,0.9263712,0.90222394,0.86543304,0.9700237,0.918484,0.90074325,0.1,0.1,0.05,0.5320841
2024-05-15,SH600000,0.94044703,0.9087943,0.8871757,0.9835093,0.92523766,0.90111995,0.8643741,0.98605,0.91962796,0.89990205,0.05,0.06666667,0.033333335,0.53052324
2024-05-16,SH600000,0.9252006,0.89406097,0.86532897,0.97259134,0.94265574,0.8865111,0.85036093,0.9725522,0.90521663,0.8853129,0.1,0.033333335,0.016666668,0.5168814
2024-05-17,SH600000,0.9436031,0.87371826,0.8528947,0.9607445,0.94602,0.87248456,0.8517021,0.9577852,0.89066094,0.8700899,0.05,0.3,0.016666668,0.49832034
2024-05-20,SH600000,0.94352466,0.8690237,0.8557945,0.9423115,0.92786956,0.85574496,0.8365855,0.93940896,0.8738202,0.8533962,0.2,0.26666668,0.4,0.47790053
2024-05-21,SH600000,0.92868066,0.8634001,0.84321964,0.9310747,0.92156065,0.8455404,0.82660943,0.9339551,0.86431736,0.84321964,0.15,0.23333333,0.38333333,0.48507252
2024-05-22,SH600000,0.91442806,0.84764564,0.84877753,0.92382234,0.90973866,0.8346936,0.81600547,0.9247661,0.854422,0.83240265,0.1,0.2,0.36666667,0.4909904
