event_id,datetime,instrument,side,requested_shares,executed_shares,unfilled_shares,base_price,fill_price,gross_value,status,reason,commission,stamp_tax,slippage_cost,cash_fee,implementation_cost,split_id
event_000051,2024-08-05,SH688122,sell,2199.903042514296,1700.0,499.903042514296,37.44999692590605,37.41254692898014,63601.32977926625,partial,cash_volume_or_lot,19.080398933779872,63.60132977926625,63.66499477404304,82.68172871304613,146.34672348708915,split_001
event_000052,2024-08-05,SH600606,sell,20299.643017306862,20299.643017306862,0.0,1.4100000712578933,1.4085900711866355,28593.875602811557,filled,,8.578162680843466,28.593875602811558,28.622498100910573,37.17203828365503,65.7945363845656,split_001
event_000053,2024-08-05,SH603833,sell,1200.1140824115205,1200.1140824115205,0.0,43.38999455172955,43.34660455717782,52020.87055379249,filled,,15.606261166137745,52.02087055379249,52.07294349729163,67.62713171993023,119.70007521722187,split_001
event_000054,2024-08-05,SH603363,sell,8004.091895475201,8004.091895475201,0.0,3.7900000061901067,3.7862100061839166,30305.1728250638,filled,,9.09155184751914,30.305172825063803,30.3355083333973,39.39672467258294,69.73223300598025,split_001
event_000055,2024-08-05,SZ300083,sell,14599.915612312487,14599.915612312487,0.0,5.549999993851051,5.5444499938572,80948.50202700161,filled,,24.28455060810048,80.94850202700161,81.02953155855417,105.2330526351021,186.26258419365627,split_001
event_000056,2024-08-05,SH601179,sell,23887.974986994977,23887.974986994977,0.0,7.070000092383911,7.062930092291526,168719.09737955412,filled,,50.61572921386623,168.7190973795541,168.887985364932,219.33482659342036,388.2228119583524,split_001
event_000057,2024-08-05,SH600777,sell,13000.1643264327,13000.1643264327,0.0,1.7700000750816893,1.7682300750066076,22987.281542026314,filled,,6.896184462607893,22.987281542026313,23.0102918338612,29.883466004634208,52.893757838495404,split_001
event_000058,2024-08-05,SH688248,sell,1200.1128737423965,1000.0,200.11287374239646,25.969998940009926,25.94402894106992,25944.02894106992,partial,cash_volume_or_lot,7.783208682320975,25.94402894106992,25.969998940006178,33.72723762339089,59.69723656339707,split_001
event_000059,2024-08-05,SZ002938,sell,5301.241864653677,5301.241864653677,0.0,33.800000263299594,33.766200263036296,179002.794444688,filled,,53.7008383334064,179.00279444468802,179.1819764211012,232.70363277809443,411.88560919919564,split_001
event_000060,2024-08-05,SZ000736,sell,5800.5779946058865,5800.5779946058865,0.0,7.960000019666641,7.952040019646974,46126.42835018959,filled,,13.837928505056876,46.12642835018959,46.172600951140964,59.964356855246464,106.13695780638743,split_001
