datetime,nav,return,total_turnover,turnover,total_cost,cost,value,cash,bench,calendar_complete,stock_value,accounting_error,split_id
2025-08-29,10049611.618025796,0.000833171150416075,168781936.4747836,0.9698420815280486,131345.3180454248,0.0008120349348153613,8479880.38098941,1569731.237036386,0.0,True,8479880.38098941,0.0,split_003
2025-09-01,10096133.660304956,0.005394490086879222,177845185.873354,0.901850712550305,139035.80601669155,0.0007652522568606014,7709057.504527139,2387076.1557778176,0.0,True,7709057.504527138,9.313225746154785e-10,split_003
2025-09-02,9940304.609856585,-0.014698520524083271,187205032.5391998,0.927072380454509,146466.6286451823,0.0007360067604598545,7722825.040525325,2217479.569331261,0.0,True,7722825.040525323,1.862645149230957e-09,split_003
2025-09-03,9658085.825894004,-0.02780145197880647,194570242.74343142,0.740944115226453,152330.5113421272,0.0005899097590158761,7595997.132888795,2062088.6930052089,0.0,True,7595997.132888794,9.313225746154785e-10,split_003
2025-09-04,9572572.422135618,-0.008240793253486898,202308901.38246474,0.801262152618838,158253.6265848886,0.0006132804522073234,8104328.477982756,1468243.944152861,0.0,True,8104328.477982756,9.313225746154785e-10,split_003
2025-09-05,9715446.740281895,0.015676752833273702,210709196.76421452,0.8775379293370437,165446.16027904363,0.0007513689504738563,7376400.6227955,2339046.1174863945,0.0,True,7376400.622795502,-1.862645149230957e-09,split_003
2025-09-08,9801538.610997912,0.009508954176794199,218780897.48856616,0.8308110723189908,171738.027423452,0.0006476148048160485,7866426.371374832,1935112.2396230793,0.0,True,7866426.3713748325,0.0,split_003
2025-09-09,9624856.24206185,-0.017372370001355376,227386561.13510436,0.8779910979366168,178144.4410266873,0.000653613055816249,8732172.799814407,892683.4422474431,0.0,True,8732172.799814407,0.0,split_003
2025-09-10,9689961.847837348,0.007452546895370608,235149777.9395897,0.8065800266770846,184768.5277563559,0.000688227082366228,8072290.197453267,1617671.6503840815,0.0,True,8072290.197453264,1.862645149230957e-09,split_003
2025-09-11,9857300.47766532,0.018026926129667734,244224165.01206398,0.9364729412737096,192110.12435864593,0.0007576496912553435,8157549.237867181,1699751.2397981395,0.0,True,8157549.237867181,-9.313225746154785e-10,split_003
2025-09-12,9858252.161243545,0.0009857790770627733,254675052.73042282,1.060218032516963,200875.56134762443,0.0008892330114963256,7395820.383225126,2462431.778018419,0.0,True,7395820.383225126,0.0,split_003
2025-09-15,9794078.493287858,-0.0057962697530605945,263564429.16297352,0.9017193197287185,207908.1404830515,0.0007133697759400759,7540202.708063201,2253875.7852246556,0.0,True,7540202.708063198,3.725290298461914e-09,split_003
2025-09-16,9887833.76105733,0.010386373189481182,273410720.3945842,1.0053310516511156,215877.82699193808,0.0008137249986661239,7502293.275687216,2385540.4853701144,0.0,True,7502293.275687216,0.0,split_003
2025-09-17,9929207.668773377,0.004858990458660062,282234086.9294654,0.8923457602646557,222548.80917768547,0.0006746656898724036,8447030.017770113,1482177.6510032637,0.0,True,8447030.017770112,1.862645149230957e-09,split_003
2025-09-18,9861091.740800502,-0.005907739339420797,293150832.43217003,1.0994578688324725,232005.56639646986,0.0009524181117215618,7000014.294327838,2861077.4464726634,0.0,True,7000014.294327838,0.0,split_003
2025-09-19,9864009.67701991,0.0008790196714825191,300416430.0346508,0.7367944436029518,237755.7237995182,0.0005831156989704212,7167083.33975952,2696926.33726039,0.0,True,7167083.339759523,-1.862645149230957e-09,split_003
2025-09-22,9843877.41204907,-0.0013711417333058674,308081563.8159169,0.7770809267476169,244363.03344446415,0.0006698401422231916,6235865.352828131,3608012.05922094,0.0,True,6235865.352828133,-2.7939677238464355e-09,split_003
2025-09-23,9749882.630889416,-0.008919397110862036,315987870.565741,0.8031699724487279,250556.36285540788,0.0006291554792589135,6472175.262857021,3277707.368032395,0.0,True,6472175.262857022,-9.313225746154785e-10,split_003
2025-09-24,9890214.543413837,0.014969684579348642,323499624.7341048,0.7704455994747255,256177.11800107156,0.0005764946470079654,7425336.5141380215,2464878.029275816,0.0,True,7425336.5141380215,-9.313225746154785e-10,split_003
2025-09-25,9801742.617980074,-0.00830273905319048,331848623.2026974,0.8441675791707076,262533.1729007994,0.0006426609728057454,8049304.2620140305,1752438.355966044,0.0,True,8049304.26201403,9.313225746154785e-10,split_003
2025-09-26,9779356.62260481,-0.0017682763734338325,337851657.15167576,0.6124455806426244,267586.9783862102,0.0005156027537532167,7636129.680015992,2143226.942588817,0.0,True,7636129.680015992,0.0,split_003
2025-09-29,9833573.067303278,0.006173976530469022,345321532.9175868,0.7638412274120935,273748.0519587913,0.0006300080680501864,7383116.766391388,2450456.3009118894,0.0,True,7383116.766391389,-9.313225746154785e-10,split_003
2025-09-30,9862257.277017476,0.0035544851654118375,352812522.2876182,0.7617769572424317,280017.13183531567,0.000637518004251084,6931384.045651925,2930873.2313655517,0.0,True,6931384.045651927,-2.7939677238464355e-09,split_003
2025-10-09,9931202.06781478,0.007605223489620876,360259556.23256856,0.7551044082275715,286077.01174186904,0.0006144516145076661,6825826.003816835,3105376.063997946,0.0,True,6825826.003816835,-9.313225746154785e-10,split_003
2025-10-10,9921468.927244343,-0.0003628834865732327,368545921.5267886,0.8343768697522159,292206.28308007465,0.0006171731575243508,7885124.887800939,2036344.0394434042,0.0,True,7885124.887800936,2.7939677238464355e-09,split_003
2025-10-13,9961085.91805652,0.0047882904679613595,378934748.7338841,1.0471057545287266,300096.1673603967,0.0007952334818744881,8816524.02322843,1144561.89482809,0.0,True,8816524.023228427,1.862645149230957e-09,split_003
