datetime,nav,return,total_turnover,turnover,total_cost,cost,value,cash,bench,calendar_complete,stock_value,accounting_error,outer_split_id,method
2024-11-12,12162325.409211436,-0.00876498818538209,357464527.0621795,0.616655761605802,284742.7538840536,0.0004584281151261942,11965109.163501475,197216.24570996081,0.0,True,11965109.163501473,1.862645149230957e-09,split_001,equal_weight
2024-11-13,12307936.706760233,0.012242191995424074,360941241.6501385,0.2858593624970613,288024.9791056477,0.0002698682292374962,11276999.209222835,1030937.4975373993,0.0,True,11276999.20922284,-5.587935447692871e-09,split_001,equal_weight
2024-11-14,12264097.532481156,-0.0031509670719761782,367064638.7385717,0.49751613404624356,293082.2500977563,0.0004108951087903154,11111120.575575449,1152976.956905707,0.0,True,11111120.575575447,1.862645149230957e-09,split_001,equal_weight
2024-11-15,12229923.752272427,-0.0023261524031704976,373391683.2428916,0.5158997217335305,298727.87035858707,0.0004603371952871795,10064389.40874578,2165534.343526646,0.0,True,10064389.40874578,0.0,split_001,equal_weight
2024-11-18,12206443.838344852,-0.0015259860584281003,379432825.5703855,0.4939640221691005,303545.09114455624,0.0003938880473456826,10176544.122494565,2029899.7158502867,0.0,True,10176544.122494567,-1.862645149230957e-09,split_001,equal_weight
2024-11-19,12308024.755885158,0.00872868646525364,385378628.2822422,0.48710359795198893,308510.3947248894,0.00040677724373214865,9972903.680412067,2335121.0754730897,0.0,True,9972903.680412067,1.862645149230957e-09,split_001,equal_weight
2024-11-20,12458422.098675244,0.012557799125814234,390879265.1689413,0.44691467524624345,312674.7544547582,0.00033834508887200225,10700023.723541426,1758398.375133819,0.0,True,10700023.723541424,0.0,split_001,equal_weight
2024-11-21,12442648.180197738,-0.0007827758975135416,397866697.70366204,0.5608601538282864,318696.5203923706,0.00048334900599111277,9934300.289949587,2508347.8902481506,0.0,True,9934300.289949587,1.862645149230957e-09,split_001,equal_weight
2024-11-22,12086544.359863985,-0.028179404184708955,404896716.8185563,0.5649938030139297,324173.928528198,0.00044021240948888995,9943715.453928187,2142828.9059357974,0.0,True,9943715.45392819,-1.862645149230957e-09,split_001,equal_weight
2024-11-25,12048927.662388483,-0.002725625284761841,410945324.7949213,0.5004414658378863,328847.23509105935,0.00038665365581084583,10340714.15107485,1708213.5113136345,0.0,True,10340714.151074851,-1.862645149230957e-09,split_001,equal_weight
2024-11-26,12057088.148606498,0.000991658344042011,415695272.83504087,0.39422164139526394,332635.16852621076,0.00031437929924467005,10477460.384200703,1579627.764405794,0.0,True,10477460.384200703,0.0,split_001,equal_weight
2024-11-27,12190548.248947516,0.011473600832873751,421408297.10829246,0.47383117738190195,337513.2848090762,0.0004045849398081454,10128418.746153185,2062129.50279433,0.0,True,10128418.746153187,0.0,split_001,equal_weight
2024-11-28,12069235.669699658,-0.009475005488803824,429027505.4319569,0.625009488340464,343320.35248662904,0.00047635820464876725,10650231.22331037,1419004.446389287,0.0,True,10650231.223310366,3.725290298461914e-09,split_001,equal_weight
2024-11-29,12186338.186740797,0.01016860526013159,435852215.56234694,0.565463324866858,348945.1287621655,0.00046604245947883005,10542185.756847296,1644152.429893502,0.0,True,10542185.756847292,3.725290298461914e-09,split_001,equal_weight
2024-12-02,12268727.271905936,0.007196748349116545,442831082.69525486,0.5726795880735693,354258.05282422894,0.00043597379135958304,11281495.521430548,987231.750475388,0.0,True,11281495.52143055,-1.862645149230957e-09,split_001,equal_weight
2024-12-03,12326128.51220396,0.005160142636677266,449994771.7212948,0.583898302348283,360165.1952197325,0.00048147964043754137,11120172.902142458,1205955.6100615016,0.0,True,11120172.902142456,1.862645149230957e-09,split_001,equal_weight
2024-12-04,12311905.874802213,-0.0006077949355932442,458523649.430993,0.691934835926289,366896.07413629,0.0005460659370777583,11388383.07134503,923522.8034571832,0.0,True,11388383.071345028,1.862645149230957e-09,split_001,equal_weight
2024-12-05,12267703.17096819,-0.002965429231748302,466927960.5317577,0.6826165815615208,374588.6923906412,0.0006248113275536861,9479028.845837045,2788674.325131144,0.0,True,9479028.845837047,-1.862645149230957e-09,split_001,equal_weight
2024-12-06,12377622.21735979,0.009447448365547421,474798043.70114326,0.6415286594160747,380568.1382706248,0.0004874136418734111,10317388.135302983,2060234.0820568078,0.0,True,10317388.135302985,-1.862645149230957e-09,split_001,equal_weight
2024-12-09,12390629.402465658,0.0014165009231592394,480496303.0911882,0.460367854986965,385093.86646216357,0.0003656379320732034,10494976.085118355,1895653.3173473035,0.0,True,10494976.085118359,-3.725290298461914e-09,split_001,equal_weight
2024-12-10,12401725.759341251,0.0014616781164332468,489433442.9523186,0.7212821537017305,392108.62143298914,0.0005661338696345543,10869261.436082963,1532464.3232582877,0.0,True,10869261.43608296,3.725290298461914e-09,split_001,equal_weight
2024-12-11,12441770.938751332,0.0036942185281839054,496568792.2767687,0.5753513231072357,397878.12710452185,0.0004652179691352222,10916418.213073535,1525352.7256777973,0.0,True,10916418.213073535,0.0,split_001,equal_weight
2024-12-12,12559703.021136042,0.009882638498048098,502698634.0465512,0.4926824163504283,402903.5691830125,0.0004039169426305996,10896571.022645002,1663131.99849104,0.0,True,10896571.022645002,0.0,split_001,equal_weight
