outer_split_id,cohort,sw_l1_code,sw_l1_name,mean_share,mean_universe_share,mean_active_share,industry_hhi
split_001,Top100,801230.SI,综合,0.0,0.0005000375312781518,-0.0005000375312781518,0.0529121875
split_001,Top100,801710.SI,建筑材料,0.008166666666666666,0.009254842229673396,-0.0010881755630067283,0.0529121875
split_001,Top100,801720.SI,建筑装饰,0.030666666666666672,0.018209834584459402,0.01245683208220727,0.0529121875
split_001,Top100,801730.SI,电力设备,0.07383333333333333,0.08048528426500538,-0.0066519509316720436,0.0529121875
split_001,Top100,801740.SI,国防军工,0.02766666666666667,0.039569519043806185,-0.011902852377139523,0.0529121875
split_001,Top100,801750.SI,计算机,0.057,0.1017952814808305,-0.044795281480830514,0.0529121875
split_001,Top100,801760.SI,传媒,0.026083333333333333,0.04731614053398069,-0.021232807200647366,0.0529121875
split_001,Top100,801770.SI,通信,0.01975,0.03816114817919469,-0.0184111481791947,0.0529121875
split_001,Top100,801780.SI,银行,0.05308333333333334,0.01900563038651458,0.03407770294681876,0.0529121875
split_001,Top100,801790.SI,非银金融,0.0325,0.035319293856137274,-0.0028192938561372775,0.0529121875
split_001,Top100,801880.SI,汽车,0.06016666666666668,0.053625074367764466,0.006541592298902205,0.0529121875
split_001,Top100,801890.SI,机械设备,0.06416666666666668,0.0642670037533782,-0.00010033708671152424,0.0529121875
split_001,Top100,801950.SI,煤炭,0.019916666666666662,0.011759234084008972,0.008157432582657694,0.0529121875
split_001,Top100,801960.SI,石油石化,0.01775,0.00992575062556303,0.007824249374436968,0.0529121875
split_001,Top100,801970.SI,环保,0.013333333333333334,0.007725562969172276,0.00560777036416106,0.0529121875
split_001,Top100,801980.SI,美容护理,0.0016666666666666668,0.0033335960522803956,-0.0016669293856137273,0.0529121875
split_002,Universe,801010.SI,农林牧渔,0.013669007057130556,0.013669007057130556,0.0,0.06289123446403896
split_002,Universe,801030.SI,基础化工,0.045726435895463956,0.045726435895463956,0.0,0.06289123446403896
split_002,Universe,801040.SI,钢铁,0.008042632954324688,0.008042632954324688,0.0,0.06289123446403896
split_002,Universe,801050.SI,有色金属,0.041055555595938695,0.041055555595938695,0.0,0.06289123446403896
split_002,Universe,801080.SI,电子,0.1364284924478126,0.1364284924478126,0.0,0.06289123446403896
split_002,Universe,801110.SI,家用电器,0.014903281601810306,0.014903281601810306,0.0,0.06289123446403896
split_002,Universe,801120.SI,食品饮料,0.020299482028947564,0.020299482028947564,0.0,0.06289123446403896
split_002,Universe,801130.SI,纺织服饰,0.008324866797036354,0.008324866797036354,0.0,0.06289123446403896
split_002,Universe,801140.SI,轻工制造,0.009050590525816042,0.009050590525816042,0.0,0.06289123446403896
split_002,Universe,801150.SI,医药生物,0.07216127062974481,0.07216127062974481,0.0,0.06289123446403896
split_002,Universe,801160.SI,公用事业,0.022982483328509166,0.022982483328509166,0.0,0.06289123446403896
split_002,Universe,801170.SI,交通运输,0.022337094037024656,0.022337094037024656,0.0,0.06289123446403896
split_002,Universe,801180.SI,房地产,0.014354888449584996,0.014354888449584996,0.0,0.06289123446403896
split_002,Universe,801200.SI,商贸零售,0.014245589675024156,0.014245589675024156,0.0,0.06289123446403896
split_002,Universe,801210.SI,社会服务,0.014213573755863051,0.014213573755863051,0.0,0.06289123446403896
split_002,Universe,801230.SI,综合,0.0015204498298424295,0.0015204498298424295,0.0,0.06289123446403896
split_002,Universe,801710.SI,建筑材料,0.007683753918032349,0.007683753918032349,0.0,0.06289123446403896
split_002,Universe,801720.SI,建筑装饰,0.015044493352863265,0.015044493352863265,0.0,0.06289123446403896
split_002,Universe,801730.SI,电力设备,0.08172420813154488,0.08172420813154488,0.0,0.06289123446403896
split_002,Universe,801740.SI,国防军工,0.040926430521276334,0.040926430521276334,0.0,0.06289123446403896
split_002,Universe,801750.SI,计算机,0.10472606981830547,0.10472606981830547,0.0,0.06289123446403896
split_002,Universe,801760.SI,传媒,0.0422782357992584,0.0422782357992584,0.0,0.06289123446403896
split_002,Universe,801770.SI,通信,0.039998873964735934,0.039998873964735934,0.0,0.06289123446403896
split_002,Universe,801780.SI,银行,0.018327641265820024,0.018327641265820024,0.0,0.06289123446403896
split_002,Universe,801790.SI,非银金融,0.03554199995877688,0.03554199995877688,0.0,0.06289123446403896
split_002,Universe,801880.SI,汽车,0.05061032971763742,0.05061032971763742,0.0,0.06289123446403896
split_002,Universe,801890.SI,机械设备,0.07205522525987394,0.07205522525987394,0.0,0.06289123446403896
split_002,Universe,801950.SI,煤炭,0.009535034554475727,0.009535034554475727,0.0,0.06289123446403896
split_002,Universe,801960.SI,石油石化,0.008708175471619695,0.008708175471619695,0.0,0.06289123446403896
split_002,Universe,801970.SI,环保,0.009748534360741676,0.009748534360741676,0.0,0.06289123446403896
