instrument,old_fill_count,old_buy_executed_shares,old_sell_executed_shares,old_gross_value,old_cash_fee,old_slippage_cost,new_fill_count,new_buy_executed_shares,new_sell_executed_shares,new_gross_value,new_cash_fee,new_slippage_cost,delta_fill_count,delta_buy_executed_shares,delta_sell_executed_shares,delta_gross_value,delta_cash_fee,delta_slippage_cost,is_focus_instrument,absolute_gross_value_impact
SH600486,88,45700.0,45699.96080293077,4990543.1082758,2831.092400700428,4990.573281577048,47,84700.0,84700.66089985894,9103656.054176303,5100.88459049299,9103.662740867187,-41,39000.0,39000.700096928165,4113112.9459005026,2269.7921897925626,4113.089459290139,False,4113112.9459005026
SH601598,73,312500.0,312542.538663153,3052047.57921508,1752.2967074879853,3052.048589839825,48,725700.0,725663.0280950572,7074262.483357567,4006.7921869345173,7074.267112639762,-25,413200.0,413120.4894319042,4022214.9041424873,2254.495479446532,4022.2185227999366,False,4022214.9041424873
SH601019,110,206900.0,206895.48376627796,4495025.573665932,2576.3612775163488,4495.034119794856,73,386000.0,385984.3786855808,8476299.41728344,4906.293959853227,8476.41631562529,-37,179100.0,179088.89491930284,3981273.843617508,2329.932682336878,3981.3821958304343,False,3981273.843617508
SH603050,60,30800.0,30799.447883989273,1407916.1514382444,821.0421665978605,1407.9116190125433,38,122400.0,122399.7293409788,5387643.052574574,3055.046586893855,5387.680204654679,-22,91600.0,91600.28145698953,3979726.9011363294,2234.0044202959944,3979.768585642136,False,3979726.9011363294
SZ000851,42,371800.0,371645.6453084188,2213619.179071786,1255.8261592465713,2213.646998138931,37,1076200.0,1075903.1255471557,6173576.0254972065,3485.738310822454,6173.6203840800745,-5,704400.0,704257.480238737,3959956.8464254206,2229.9121515758825,3959.9733859411435,False,3959956.8464254206
SH603882,85,122200.0,104598.838842262,6601120.5341838095,3601.839304665511,6600.654838968555,60,193100.0,175799.5620397938,10522843.754943505,5806.146690155049,10522.373055962797,-25,70900.0,71200.72319753178,3921723.2207596954,2204.3073854895383,3921.7182169942416,False,3921723.2207596954
SH600779,73,39300.0,39299.77618562371,3282982.5236870092,1842.8531640783442,3282.960970685218,47,86200.0,86199.44747173914,7157314.388503853,4025.8202668823387,7157.288174725315,-26,46900.0,46899.67128611543,3874331.864816844,2182.9671028039947,3874.327204040097,False,3874331.864816844
SZ300428,62,58800.0,58801.56651601739,1884495.175676997,1061.015398933309,1884.4791748824136,36,181900.0,181909.30127043521,5730392.5940980995,3238.21016377801,5730.381798009392,-26,123100.0,123107.73475441782,3845897.4184211027,2177.1947648447012,3845.902623126978,False,3845897.4184211027
SH601808,55,101000.0,101014.13917060377,2904294.3078233576,1639.7804855008653,2904.3023862456776,37,233600.0,233634.86631598743,6734190.620975029,3785.211617405912,6734.202245277008,-18,132600.0,132620.72714538366,3829896.313151671,2145.4311319050466,3829.8998590313304,False,3829896.313151671
SZ300152,72,472900.0,472912.11255323276,3048940.5231396738,1714.368340342688,3048.8856788699777,50,1207600.0,1207564.2623668218,6870135.980807574,3893.159538942878,6870.109620561597,-22,734700.0,734652.1498135889,3821195.4576679,2178.79119860019,3821.223941691619,False,3821195.4576679
SH600025,182,667200.0,667127.7973897563,12826804.755430605,7441.84370077175,12826.827044408135,159,873000.0,872865.2405224256,16638638.407642772,9617.839857503503,16638.677202694216,-23,205800.0,205737.44313266932,3811833.652212167,2175.9961567317523,3811.850158286081,False,3811833.652212167
SH600863,114,1256300.0,1256297.0442090554,10875126.427101538,6187.280225681777,10875.1392702443,93,1704100.0,1704097.8294797153,14675885.374449141,8311.229187016834,14675.909713940502,-21,447800.0,447800.78527065995,3800758.9473476037,2123.948961335057,3800.7704436962013,False,3800758.9473476037
SH688363,59,27466.0,27465.370077498083,2718835.7559536304,1543.5328300874928,2718.835311423347,42,66565.0,66564.1894148506,6508010.484880933,3670.8266000920007,6508.038988288647,-17,39099.0,39098.819337352514,3789174.728927302,2127.2937700045077,3789.2036768652997,False,3789174.728927302
SZ000860,72,108000.0,108003.5902948635,3391921.4786697724,1922.8443304148407,3391.9362128158173,49,231200.0,231213.05797909608,7172774.887657941,4055.54362810768,7172.794411973861,-23,123200.0,123209.46768423257,3780853.408988169,2132.6992976928395,3780.858199158044,False,3780853.408988169
SZ300443,36,51800.0,51799.673625571835,2154528.6266352707,1205.827271512708,2154.5044270775934,30,143800.0,143797.60717443336,5929201.154967104,3316.6913878421014,5929.157330374769,-6,92000.0,91997.93354886153,3774672.5283318334,2110.8641163293933,3774.6529032971757,False,3774672.5283318334
SH603186,38,30500.0,30502.84199949059,1444889.3782476864,820.7688748862845,1444.8893135614596,28,111300.0,111307.23580286285,5213655.67469883,2928.5485035896304,5213.641968692626,-10,80800.0,80804.39380337227,3768766.296451143,2107.779628703346,3768.7526551311657,False,3768766.296451143
SH601101,75,211200.0,211200.0441734439,3479175.574914235,1981.1542645587538,3479.180185108504,50,439800.0,439812.76195693424,7201359.983826773,4103.453568441035,7201.374616520385,-25,228600.0,228612.71778349034,3722184.408912538,2122.299303882281,3722.194431411881,False,3722184.408912538
SZ002310,53,714800.0,714787.5025416492,2166296.0761566027,1245.1271018130815,2166.3205747015113,38,1873800.0,1873782.9939122475,5863823.773867385,3305.683310537743,5863.8881399826505,-15,1159000.0,1158995.4913705983,3697527.6977107828,2060.5562087246617,3697.567565281139,False,3697527.6977107828
