datetime,portfolio_id,outer_split_id,return,benchmark_return,excess_return,turnover,implementation_cost,drawdown
2024-12-04,P05,split_001,-0.0043863598607852,-0.009349465,0.0049631055093929,0.0,0.0,-0.0043863598607852
2024-12-05,P05,split_001,-0.000484954962363,0.004732251,-0.0052172061296603,0.0,0.0,-0.004869187636167
2024-12-06,P05,split_001,0.0123364266475569,0.011920691,0.0004157361110579,0.0,0.0,0.0
2024-12-09,P05,split_001,0.0013910785892934,-0.0032945871,0.0046856657246083,0.0,0.0,0.0
2024-12-10,P05,split_001,-0.0011340159571747,0.0076088905,-0.008742906490622,0.0,0.0,-0.0011340159571747
2024-12-11,P05,split_001,0.0057482683633963,0.0057997704,-5.150199182829898e-05,0.0,0.0,0.0
2024-12-12,P05,split_001,0.0072182495277546,0.009253502,-0.0020352523643352,0.0,0.0,0.0
2024-12-13,P05,split_001,-0.0164172559467449,-0.02090615,0.0044888943942889,0.0,0.0,-0.0164172559467449
2024-12-16,P05,split_001,0.0051168479991926,-0.007838547,0.0129553952289594,0.0,0.0,-0.0113844125507956
2024-12-17,P05,split_001,-0.0061433849407878,-0.012869179,0.0067257943080219,0.0,0.0,-0.0174578586629592
2024-12-18,P05,split_001,0.0057579797727744,0.00630486,-0.0005468803422768,0.0,0.0,-0.0118004008872421
2024-12-19,P05,split_001,-0.0049127403195169,0.000877738,-0.0057904783184793,0.0,0.0,-0.0166551689015338
2024-12-20,P05,split_001,-0.0043175799516615,0.0023092031,-0.0066267830995497,0.0,0.0,-0.0209008388298544
2024-12-23,P05,split_001,0.0015694025620675,-0.016158462,0.0177278641328073,0.0,0.0,-0.0193642380977958
2024-12-24,P05,split_001,0.01241661955686,0.0114763975,0.0009402220425167,0.0,0.0,-0.0071880569184046
2024-12-25,P05,split_001,0.0004505633496281,-0.0078004003,0.0082509636067387,0.0,0.0,-0.006740732243779
2024-12-26,P05,split_001,-0.0024092276332763,0.005793214,-0.0082024414775756,0.0,0.0,-0.0091337199186651
2024-12-27,P05,split_001,0.0047569318049096,0.0013257265,0.0034312052958153,0.0,0.0,-0.0044202365965337
2024-12-30,P05,split_001,0.0019138444242992,-0.0009024739,0.0028163183508434,0.0,0.0,-0.0025148518173989
2024-12-31,P05,split_001,-0.0243092574752832,-0.022453666,-0.0018555917419458,1.621848058358396,42558.46700565211,-0.0280541965554972
2025-01-02,P05,split_001,-0.0223579076299777,-0.026429951,0.0040720435609707,0.0,0.0,-0.0497848710502539
2025-01-03,P05,split_001,-0.0201557737923884,-0.022051334,0.001895560588715,0.0,0.0,-0.0689371922434702
2025-01-06,P05,split_001,0.0058900160738079,-0.0029161572,0.0088061733194439,0.0,0.0,-0.0634532173400596
2025-01-07,P05,split_001,0.0071370797511097,0.012789488,-0.0056524080876353,0.0,0.0,-0.0567690082615702
2025-01-08,P05,split_001,-0.0050940509139582,-0.001876235,-0.0032178159057184,0.0,0.0,-0.0615738749571092
2025-01-09,P05,split_001,-0.0018661936916844,-0.00011622906,-0.0017499646343723,0.0,0.0,-0.063325159871776
2025-01-10,P05,split_001,-0.0185548924613057,-0.018185794,-0.0003690981078206,0.0,0.0,-0.080705060801566
2025-01-13,P05,split_001,0.0049080799190515,-0.0006724596,0.0055805395214074,0.0,0.0,-0.0761930877708004
2025-01-14,P05,split_001,0.0308867893169636,0.035690546,-0.0048037567188029,0.0,0.0,-0.0476596583032224
2025-01-15,P05,split_001,-0.0001247239238208,-0.006068349,0.0059436249607616,0.0,0.0,-0.0477784379274517
2025-01-16,P05,split_001,0.0036758539855884,0.0035229921,0.0001528618514942,0.0,0.0,-0.0442782105033441
2025-01-17,P05,split_001,0.0038368835010589,0.003404498,0.0004323854007782,0.0,0.0,-0.0406112173376219
2025-01-20,P05,split_001,0.0022912631716341,0.0059230328,-0.0036317695889859,0.0,0.0,-0.0384130051526286
2025-01-21,P05,split_001,-0.0054102592271017,0.0016146898,-0.0070249490540671,0.0,0.0,-0.0436154400641626
2025-01-22,P05,split_001,-0.0111216954027385,-0.009222746,-0.0018989495073528,0.0,0.0,-0.0542520578276511
2025-01-23,P05,split_001,-0.0025812327236376,-0.00093990564,-0.0016413270801744,0.0,0.0,-0.0566932533642994
2025-01-24,P05,split_001,0.0069389066897445,0.01094377,-0.0040048637188858,0.0,0.0,-0.0501477358695878
2025-01-27,P05,split_001,-0.0096739208694262,-0.008891344,-0.0007825767989916,0.0,0.0,-0.0593365315104308
2025-02-06,P05,split_002,0.0166353729684984,0.019266248,-0.0026308747808301,0.9435358951346248,12256.54070373066,0.0
