datetime,factor,quantile,mean_label,count
2020-06-15,ret_20,3,0.005323488,99
2020-06-15,ret_20,4,0.005790129,100
2020-06-15,ret_20,5,0.011879682,100
2020-06-16,ret_20,1,0.002764265,100
2020-06-16,ret_20,2,0.0065758075,100
2020-06-16,ret_20,3,0.004871968,99
2020-06-16,ret_20,4,0.0048912214,100
2020-06-16,ret_20,5,-0.0041377884,100
2020-06-17,ret_20,1,0.0049850126,100
2020-06-17,ret_20,2,0.006462857,99
2020-06-17,ret_20,3,0.008725125,100
2020-06-17,ret_20,4,0.00891218,99
2020-06-17,ret_20,5,0.00771371,100
2020-06-18,ret_20,1,0.0031292557,100
2020-06-18,ret_20,2,-0.00010977791,99
2020-06-18,ret_20,3,-0.00016765764,99
2020-06-18,ret_20,4,-0.0022048522,99
2020-06-18,ret_20,5,-0.006684243,99
2020-06-19,ret_20,1,-0.0039646365,99
2020-06-19,ret_20,2,-0.0021840057,99
2020-06-19,ret_20,3,-0.006162572,99
2020-06-19,ret_20,4,0.004550426,99
2020-06-19,ret_20,5,0.011352709,99
2020-06-22,ret_20,1,-0.00404386,99
2020-06-22,ret_20,2,-0.0030008862,99
2020-06-22,ret_20,3,0.000988009,98
2020-06-22,ret_20,4,0.00019243089,99
2020-06-22,ret_20,5,-0.0040076966,99
2020-06-23,ret_20,1,-0.008078374,99
2020-06-23,ret_20,2,-0.008659319,99
2020-06-23,ret_20,3,-0.00922747,98
2020-06-23,ret_20,4,-0.006169177,99
2020-06-23,ret_20,5,0.00028266088,99
2020-06-24,ret_20,1,0.011510003,89
2020-06-24,ret_20,2,0.008894585,89
2020-06-24,ret_20,3,0.013458086,89
2020-06-24,ret_20,4,0.019757746,89
2020-06-24,ret_20,5,0.01814266,89
2020-06-29,ret_20,1,0.011068902,90
2020-06-29,ret_20,2,0.010543163,89
2020-06-29,ret_20,3,0.009599248,89
2020-06-29,ret_20,4,0.0032418075,89
2020-06-29,ret_20,5,0.002602385,89
2020-06-30,ret_20,1,0.02068011,91
2020-06-30,ret_20,2,0.022411976,90
2020-06-30,ret_20,3,0.025502322,90
2020-06-30,ret_20,4,0.019164056,90
2020-06-30,ret_20,5,0.010840245,91
2020-07-01,ret_20,1,0.017613238,91
2020-07-01,ret_20,2,0.02050229,90
2020-07-01,ret_20,3,0.017354714,90
2020-07-01,ret_20,4,0.011522738,90
2020-07-01,ret_20,5,0.009398005,91
2020-07-02,ret_20,1,0.045537837,91
2020-07-02,ret_20,2,0.047199447,90
2020-07-02,ret_20,3,0.056136258,91
2020-07-02,ret_20,4,0.04777184,90
2020-07-02,ret_20,5,0.036758784,91
2020-07-03,ret_20,1,0.0104371095,91
2020-07-03,ret_20,2,0.0029577017,90
2020-07-03,ret_20,3,0.0004060216,91
2020-07-03,ret_20,4,0.009628545,90
2020-07-03,ret_20,5,0.021083878,91
2020-07-06,ret_20,1,0.015449821,91
2020-07-06,ret_20,2,0.019469988,90
2020-07-06,ret_20,3,0.02671305,91
2020-07-06,ret_20,4,0.026595406,90
2020-07-06,ret_20,5,0.032660335,91
2020-07-07,ret_20,1,0.026900375,91
2020-07-07,ret_20,2,0.024721162,90
2020-07-07,ret_20,3,0.01967972,91
2020-07-07,ret_20,4,0.01816233,90
2020-07-07,ret_20,5,0.026783241,91
2020-07-08,ret_20,1,-0.007449907,91
2020-07-08,ret_20,2,-0.00717839,91
2020-07-08,ret_20,3,-0.011296407,90
2020-07-08,ret_20,4,-0.009498307,91
2020-07-08,ret_20,5,0.0024745641,91
2020-07-09,ret_20,1,0.035512436,91
2020-07-09,ret_20,2,0.03456032,90
2020-07-09,ret_20,3,0.031048976,91
2020-07-09,ret_20,4,0.0284776,90
2020-07-09,ret_20,5,0.029107379,91
2020-07-10,ret_20,1,-0.0060860864,91
2020-07-10,ret_20,2,-0.010845367,90
2020-07-10,ret_20,3,-0.0067252,91
2020-07-10,ret_20,4,-0.009425504,90
2020-07-10,ret_20,5,-0.019768678,91
2020-07-13,ret_20,1,-0.016843079,91
2020-07-13,ret_20,2,-0.018781234,90
2020-07-13,ret_20,3,-0.025952121,90
2020-07-13,ret_20,4,-0.026589515,90
2020-07-13,ret_20,5,-0.03368621,91
2020-07-14,ret_20,1,-0.036982376,91
2020-07-14,ret_20,2,-0.040538672,90
2020-07-14,ret_20,3,-0.04299114,90
2020-07-14,ret_20,4,-0.046006557,90
2020-07-14,ret_20,5,-0.049586575,91
2020-07-15,ret_20,1,-0.0020670884,91
2020-07-15,ret_20,2,-0.00056465267,90
2020-07-15,ret_20,3,0.0013859259,91
2020-07-15,ret_20,4,0.0075991843,90
2020-07-15,ret_20,5,-0.0019258006,91
2020-07-16,ret_20,1,0.022056716,91
2020-07-16,ret_20,2,0.038510185,90
2020-07-16,ret_20,3,0.042472918,91
2020-07-16,ret_20,4,0.04081059,90
2020-07-16,ret_20,5,0.034807507,91
2020-07-17,ret_20,1,0.012208728,91
2020-07-17,ret_20,2,0.0061715893,90
2020-07-17,ret_20,3,0.0009961075,90
2020-07-17,ret_20,4,-0.0024851959,90
2020-07-17,ret_20,5,0.0008333037,91
2020-07-20,ret_20,1,0.007765521,91
2020-07-20,ret_20,2,0.008438183,90
2020-07-20,ret_20,3,-0.00028930107,90
2020-07-20,ret_20,4,0.006585449,90
2020-07-20,ret_20,5,0.012552777,91
2020-07-21,ret_20,1,-0.0060059866,91
2020-07-21,ret_20,2,-0.002257208,90
2020-07-21,ret_20,3,-0.008457137,90
2020-07-21,ret_20,4,-0.0058666375,90
2020-07-21,ret_20,5,0.009143317,91
2020-07-22,ret_20,1,-0.04348595,91
2020-07-22,ret_20,2,-0.04096822,90
2020-07-22,ret_20,3,-0.039148837,90
2020-07-22,ret_20,4,-0.048325025,90
2020-07-22,ret_20,5,-0.053252496,90
2020-07-23,ret_20,1,-0.0014265147,90
2020-07-23,ret_20,2,0.0026425528,90
2020-07-23,ret_20,3,0.00028380155,90
2020-07-23,ret_20,4,-0.0006568054,90
2020-07-23,ret_20,5,0.0013017423,90
2020-07-24,ret_20,1,0.0100915935,90
2020-07-24,ret_20,2,0.009586012,90
