factor,full_coverage,infinite_fraction,coverage_A,coverage_B,coverage_C,coverage_D,worst_era_coverage
alpha360_VWAP4,0.9611591405006468,0.0,0.9521134565973097,0.9141689885129232,0.9856124322832224,0.9979991608718679,0.9141689885129232
alpha360_VWAP40,0.9516318530978328,0.0,0.9408379758404021,0.8932583694047718,0.9813245877744374,0.9973938881208344,0.8932583694047718
alpha360_VWAP41,0.9515071657573626,0.0,0.9406969991859593,0.8929660182801421,0.9812677361619407,0.9973952637407232,0.8929660182801421
alpha360_VWAP42,0.9513904596113911,0.0,0.9405759095203877,0.8926784485991395,0.9812101995902575,0.9973980149805006,0.8926784485991395
alpha360_VWAP43,0.9512728499339669,0.0,0.940452610189386,0.8923895127913863,0.9811540329369475,0.9974000784103336,0.8923895127913863
alpha360_VWAP44,0.9511550896679672,0.0,0.9403262173267821,0.8921060414906355,0.9810971813244508,0.9974014540302224,0.8921060414906355
alpha360_VWAP45,0.9510412447049292,0.0,0.9402161759883613,0.89181164117588,0.9810410146711408,0.9974055808898885,0.89181164117588
alpha360_VWAP46,0.9509307126905511,0.0,0.940115415244747,0.8915220223047514,0.9809848480178308,0.9974055808898885,0.8915220223047514
alpha360_VWAP47,0.9508240959791344,0.0,0.9400146545011326,0.891246064701129,0.9809321061604545,0.9974062686998328,0.891246064701129
alpha360_VWAP48,0.9507179310334443,0.0,0.9399108002259162,0.8909803530481362,0.9808773094255179,0.9974055808898885,0.8909803530481362
alpha360_VWAP49,0.9506198978708281,0.0,0.9398312522704312,0.890720788965521,0.980816348057901,0.9974042052699998,0.890720788965521
alpha360_VWAP5,0.9603580092792681,0.0,0.9511982131761466,0.9124476688071596,0.9852336498529735,0.9978781063216612,0.9124476688071596
alpha360_VWAP50,0.9505208105881839,0.0,0.9397353527907633,0.8904748861504119,0.9807615513229644,0.9974035174600554,0.8904748861504119
alpha360_VWAP51,0.9504236809570206,0.0,0.9396403371772674,0.8902412784760583,0.980704014751281,0.9974007662202781,0.8902412784760583
alpha360_VWAP52,0.9503259489715553,0.0,0.9395448796306853,0.8900124522453318,0.9806416834652907,0.9973959515506675,0.8900124522453318
