factor,cluster_id_0_7,proposal_role_0_7,proposed_representative_0_7,representation_sign_0_7,cluster_id_0_85,proposal_role_0_85,proposed_representative_0_85,representation_sign_0_85,cluster_id_0_95,proposal_role_0_95,proposed_representative_0_95,representation_sign_0_95,cluster_id_0_995,proposal_role_0_995,proposed_representative_0_995,representation_sign_0_995,user_decision,replacement_authority,canonical_representation_proposal
alpha158_SUMP30,084d1953fa6e95c9d420,retain_horizon_or_semantic_variant,alpha158_SUMP30,1.0,7ad7bdd9a681975845d4,retain_horizon_or_semantic_variant,alpha158_SUMP30,1.0,f5d2dba0f492ddc794d1,retain_horizon_or_semantic_variant,alpha158_SUMP30,1.0,edf76a11fffb3c0f64bb,retain_horizon_or_semantic_variant,alpha158_SUMP30,1.0,pending,none_proposal_only,
alpha158_SUMP60,e88b0b2e8560b3953d66,retain_horizon_or_semantic_variant,alpha158_SUMP60,1.0,5747fe37574b3e22e149,retain_horizon_or_semantic_variant,alpha158_SUMP60,1.0,57e76b2aa396beca8047,retain_horizon_or_semantic_variant,alpha158_SUMP60,1.0,f1604058807fbf7599f7,retain_horizon_or_semantic_variant,alpha158_SUMP60,1.0,pending,none_proposal_only,
alpha158_VSUMD20,e115e0847fcea6d4eb6f,retain_horizon_or_semantic_variant,alpha158_VSUMD20,1.0,68130b84ceb34fcc5b4c,retain_horizon_or_semantic_variant,alpha158_VSUMD20,1.0,3d5fbeca91476ca0ec51,retain_horizon_or_semantic_variant,alpha158_VSUMD20,1.0,26b66b84e2eac97ca67c,retain_horizon_or_semantic_variant,alpha158_VSUMD20,1.0,pending,none_proposal_only,
alpha158_VSUMD30,3db9cdc608d812db8352,retain_horizon_or_semantic_variant,alpha158_VSUMD30,1.0,13d23ecc45a37049b2e6,retain_horizon_or_semantic_variant,alpha158_VSUMD30,1.0,43ba89ad95767f536798,retain_horizon_or_semantic_variant,alpha158_VSUMD30,1.0,2aec0839a35e00bc3892,retain_horizon_or_semantic_variant,alpha158_VSUMD30,1.0,pending,none_proposal_only,
alpha158_VSUMD60,1303cc6a38ccb52763b5,retain_horizon_or_semantic_variant,alpha158_VSUMD60,1.0,53a96f21bf2a26604ddc,retain_horizon_or_semantic_variant,alpha158_VSUMD60,1.0,de8d013823420235cf92,retain_horizon_or_semantic_variant,alpha158_VSUMD60,1.0,d19860acc1a8add3bab6,retain_horizon_or_semantic_variant,alpha158_VSUMD60,1.0,pending,none_proposal_only,
alpha158_VSUMN20,e115e0847fcea6d4eb6f,retain_horizon_or_semantic_variant,alpha158_VSUMN20,1.0,68130b84ceb34fcc5b4c,retain_horizon_or_semantic_variant,alpha158_VSUMN20,1.0,3d5fbeca91476ca0ec51,retain_horizon_or_semantic_variant,alpha158_VSUMN20,1.0,26b66b84e2eac97ca67c,retain_horizon_or_semantic_variant,alpha158_VSUMN20,1.0,pending,none_proposal_only,
alpha158_VSUMN30,3db9cdc608d812db8352,retain_horizon_or_semantic_variant,alpha158_VSUMN30,1.0,13d23ecc45a37049b2e6,retain_horizon_or_semantic_variant,alpha158_VSUMN30,1.0,43ba89ad95767f536798,retain_horizon_or_semantic_variant,alpha158_VSUMN30,1.0,2aec0839a35e00bc3892,retain_horizon_or_semantic_variant,alpha158_VSUMN30,1.0,pending,none_proposal_only,
alpha158_VSUMN60,1303cc6a38ccb52763b5,retain_horizon_or_semantic_variant,alpha158_VSUMN60,1.0,53a96f21bf2a26604ddc,retain_horizon_or_semantic_variant,alpha158_VSUMN60,1.0,de8d013823420235cf92,retain_horizon_or_semantic_variant,alpha158_VSUMN60,1.0,d19860acc1a8add3bab6,retain_horizon_or_semantic_variant,alpha158_VSUMN60,1.0,pending,none_proposal_only,
alpha158_VSUMP20,e115e0847fcea6d4eb6f,retain_horizon_or_semantic_variant,alpha158_VSUMP20,1.0,68130b84ceb34fcc5b4c,retain_horizon_or_semantic_variant,alpha158_VSUMP20,1.0,3d5fbeca91476ca0ec51,retain_horizon_or_semantic_variant,alpha158_VSUMP20,1.0,26b66b84e2eac97ca67c,retain_horizon_or_semantic_variant,alpha158_VSUMP20,1.0,pending,none_proposal_only,
alpha158_VSUMP30,3db9cdc608d812db8352,retain_horizon_or_semantic_variant,alpha158_VSUMP30,1.0,13d23ecc45a37049b2e6,retain_horizon_or_semantic_variant,alpha158_VSUMP30,1.0,43ba89ad95767f536798,retain_horizon_or_semantic_variant,alpha158_VSUMP30,1.0,2aec0839a35e00bc3892,retain_horizon_or_semantic_variant,alpha158_VSUMP30,1.0,pending,none_proposal_only,
alpha158_VSUMP60,1303cc6a38ccb52763b5,retain_horizon_or_semantic_variant,alpha158_VSUMP60,1.0,53a96f21bf2a26604ddc,retain_horizon_or_semantic_variant,alpha158_VSUMP60,1.0,de8d013823420235cf92,retain_horizon_or_semantic_variant,alpha158_VSUMP60,1.0,d19860acc1a8add3bab6,retain_horizon_or_semantic_variant,alpha158_VSUMP60,1.0,pending,none_proposal_only,
alpha360_CLOSE10,b7629c155c3211cfaec5,retain_horizon_or_semantic_variant,alpha360_CLOSE10,1.0,c398c20da83e349dc94a,retain_horizon_or_semantic_variant,alpha360_CLOSE10,1.0,68deb3342485271a8235,retain_horizon_or_semantic_variant,alpha360_CLOSE10,1.0,963aaa8c7e25d871466f,retain_horizon_or_semantic_variant,alpha360_CLOSE10,1.0,pending,none_proposal_only,alpha158_ROC10
alpha360_CLOSE11,dc7dc4ccc1bcc1a729c0,retain_horizon_or_semantic_variant,alpha360_CLOSE11,1.0,fbebd930c9eb3e21e9e7,retain_horizon_or_semantic_variant,alpha360_CLOSE11,1.0,348acb083a97f38304b9,retain_horizon_or_semantic_variant,alpha360_CLOSE11,1.0,b8a53a9e9249b570380c,proposed_representative,alpha360_CLOSE11,1.0,pending,none_proposal_only,
alpha360_CLOSE12,dc7dc4ccc1bcc1a729c0,retain_horizon_or_semantic_variant,alpha360_CLOSE12,1.0,fbebd930c9eb3e21e9e7,retain_horizon_or_semantic_variant,alpha360_CLOSE12,1.0,3feeac74d6a6e78183e9,retain_horizon_or_semantic_variant,alpha360_CLOSE12,1.0,25df1203dd31f63bf6ea,retain_horizon_or_semantic_variant,alpha360_CLOSE12,1.0,pending,none_proposal_only,
alpha360_CLOSE13,dc7dc4ccc1bcc1a729c0,retain_horizon_or_semantic_variant,alpha360_CLOSE13,1.0,99abecbf5573d836c0b3,retain_horizon_or_semantic_variant,alpha360_CLOSE13,1.0,18f6eae7c23d7f5b60a1,retain_horizon_or_semantic_variant,alpha360_CLOSE13,1.0,cde26c63e0b027cd9d11,proposed_representative,alpha360_CLOSE13,1.0,pending,none_proposal_only,
alpha360_CLOSE14,dc7dc4ccc1bcc1a729c0,retain_horizon_or_semantic_variant,alpha360_CLOSE14,1.0,99abecbf5573d836c0b3,retain_horizon_or_semantic_variant,alpha360_CLOSE14,1.0,4cf5546667e57cd70fa6,retain_horizon_or_semantic_variant,alpha360_CLOSE14,1.0,7f985eb448e830e130fa,proposed_representative,alpha360_CLOSE14,1.0,pending,none_proposal_only,
alpha360_CLOSE15,dc7dc4ccc1bcc1a729c0,retain_horizon_or_semantic_variant,alpha360_CLOSE15,1.0,34f23fccb4dbd1fe28cb,retain_horizon_or_semantic_variant,alpha360_CLOSE15,1.0,0d8192eab90b072b7d78,retain_horizon_or_semantic_variant,alpha360_CLOSE15,1.0,644fe6b02ad7526f7335,proposed_representative,alpha360_CLOSE15,1.0,pending,none_proposal_only,
alpha360_CLOSE16,dc7dc4ccc1bcc1a729c0,retain_horizon_or_semantic_variant,alpha360_CLOSE16,1.0,34f23fccb4dbd1fe28cb,retain_horizon_or_semantic_variant,alpha360_CLOSE16,1.0,9c7302c0e5ffb148680a,retain_horizon_or_semantic_variant,alpha360_CLOSE16,1.0,0f31a580edef05f30e7e,proposed_representative,alpha360_CLOSE16,1.0,pending,none_proposal_only,
alpha360_CLOSE17,306dd709e0cf9595b3eb,retain_horizon_or_semantic_variant,alpha360_CLOSE17,1.0,fb1d02df222563a817aa,retain_horizon_or_semantic_variant,alpha360_CLOSE17,1.0,a0c465ad0e1243f6d8bf,retain_horizon_or_semantic_variant,alpha360_CLOSE17,1.0,61bff22d7dffad914ca7,proposed_representative,alpha360_CLOSE17,1.0,pending,none_proposal_only,
alpha360_CLOSE18,306dd709e0cf9595b3eb,retain_horizon_or_semantic_variant,alpha360_CLOSE18,1.0,fb1d02df222563a817aa,retain_horizon_or_semantic_variant,alpha360_CLOSE18,1.0,d3a6be10cb3e2b92a146,retain_horizon_or_semantic_variant,alpha360_CLOSE18,1.0,f2eb5618cea2975fc76d,proposed_representative,alpha360_CLOSE18,1.0,pending,none_proposal_only,
alpha360_CLOSE19,306dd709e0cf9595b3eb,retain_horizon_or_semantic_variant,alpha360_CLOSE19,1.0,fb1d02df222563a817aa,retain_horizon_or_semantic_variant,alpha360_CLOSE19,1.0,4775896fe00baa361f93,retain_horizon_or_semantic_variant,alpha360_CLOSE19,1.0,dd30a1c0e3a21a564d4a,proposed_representative,alpha360_CLOSE19,1.0,pending,none_proposal_only,
alpha360_CLOSE20,306dd709e0cf9595b3eb,retain_horizon_or_semantic_variant,alpha360_CLOSE20,1.0,d644a456a9384bc1a7a8,retain_horizon_or_semantic_variant,alpha360_CLOSE20,1.0,26c07d46d38336844056,retain_horizon_or_semantic_variant,alpha360_CLOSE20,1.0,358d75208b12edd6d8c3,retain_horizon_or_semantic_variant,alpha360_CLOSE20,1.0,pending,none_proposal_only,alpha158_ROC20
alpha360_CLOSE21,306dd709e0cf9595b3eb,retain_horizon_or_semantic_variant,alpha360_CLOSE21,1.0,d644a456a9384bc1a7a8,retain_horizon_or_semantic_variant,alpha360_CLOSE21,1.0,be7d867052c4348015f9,retain_horizon_or_semantic_variant,alpha360_CLOSE21,1.0,9e64cc2e295bfcf4f0c1,retain_horizon_or_semantic_variant,alpha360_CLOSE21,1.0,pending,none_proposal_only,
alpha360_CLOSE22,306dd709e0cf9595b3eb,retain_horizon_or_semantic_variant,alpha360_CLOSE22,1.0,69c1b696c1fed3e685b3,retain_horizon_or_semantic_variant,alpha360_CLOSE22,1.0,b19da01b19441c8adcb2,retain_horizon_or_semantic_variant,alpha360_CLOSE22,1.0,21c094d991d549b915d5,proposed_representative,alpha360_CLOSE22,1.0,pending,none_proposal_only,
alpha360_CLOSE23,306dd709e0cf9595b3eb,retain_horizon_or_semantic_variant,alpha360_CLOSE23,1.0,69c1b696c1fed3e685b3,retain_horizon_or_semantic_variant,alpha360_CLOSE23,1.0,aaba38ad25e361d42b7b,retain_horizon_or_semantic_variant,alpha360_CLOSE23,1.0,d02105cf9ebd98387d4b,proposed_representative,alpha360_CLOSE23,1.0,pending,none_proposal_only,
alpha360_CLOSE24,306dd709e0cf9595b3eb,retain_horizon_or_semantic_variant,alpha360_CLOSE24,1.0,8b9c10f1738d819a3a5c,retain_horizon_or_semantic_variant,alpha360_CLOSE24,1.0,76463d6d3635e26a397f,retain_horizon_or_semantic_variant,alpha360_CLOSE24,1.0,f5b80ddd6e05e6ece026,retain_horizon_or_semantic_variant,alpha360_CLOSE24,1.0,pending,none_proposal_only,
alpha360_CLOSE25,306dd709e0cf9595b3eb,retain_horizon_or_semantic_variant,alpha360_CLOSE25,1.0,8b9c10f1738d819a3a5c,retain_horizon_or_semantic_variant,alpha360_CLOSE25,1.0,610c94e335ea403f8089,retain_horizon_or_semantic_variant,alpha360_CLOSE25,1.0,39078be26c126a16253f,retain_horizon_or_semantic_variant,alpha360_CLOSE25,1.0,pending,none_proposal_only,
alpha360_CLOSE26,306dd709e0cf9595b3eb,retain_horizon_or_semantic_variant,alpha360_CLOSE26,1.0,8b9c10f1738d819a3a5c,retain_horizon_or_semantic_variant,alpha360_CLOSE26,1.0,dafb76234d81cda0f516,retain_horizon_or_semantic_variant,alpha360_CLOSE26,1.0,181131f17bd479b9b42d,retain_horizon_or_semantic_variant,alpha360_CLOSE26,1.0,pending,none_proposal_only,
alpha360_CLOSE27,306dd709e0cf9595b3eb,retain_horizon_or_semantic_variant,alpha360_CLOSE27,1.0,8b9c10f1738d819a3a5c,retain_horizon_or_semantic_variant,alpha360_CLOSE27,1.0,dafb76234d81cda0f516,retain_horizon_or_semantic_variant,alpha360_CLOSE27,1.0,883799231fd35942ddb9,retain_horizon_or_semantic_variant,alpha360_CLOSE27,1.0,pending,none_proposal_only,
alpha360_CLOSE28,084d1953fa6e95c9d420,retain_horizon_or_semantic_variant,alpha360_CLOSE28,1.0,7ad7bdd9a681975845d4,retain_horizon_or_semantic_variant,alpha360_CLOSE28,1.0,e0b93e5b5907a91b96d8,retain_horizon_or_semantic_variant,alpha360_CLOSE28,1.0,dd158e093b1f242a9689,retain_horizon_or_semantic_variant,alpha360_CLOSE28,1.0,pending,none_proposal_only,
alpha360_CLOSE29,084d1953fa6e95c9d420,retain_horizon_or_semantic_variant,alpha360_CLOSE29,1.0,7ad7bdd9a681975845d4,retain_horizon_or_semantic_variant,alpha360_CLOSE29,1.0,e0b93e5b5907a91b96d8,retain_horizon_or_semantic_variant,alpha360_CLOSE29,1.0,af2450b93a401873f3a0,retain_horizon_or_semantic_variant,alpha360_CLOSE29,1.0,pending,none_proposal_only,
alpha360_CLOSE3,4d67c4edaacfd610ed74,retain_horizon_or_semantic_variant,alpha360_CLOSE3,1.0,31131cd63637fe2141e3,retain_horizon_or_semantic_variant,alpha360_CLOSE3,1.0,c3c184d5e017126418cb,retain_horizon_or_semantic_variant,alpha360_CLOSE3,1.0,e3d60641ad8e6c1d41b3,proposed_representative,alpha360_CLOSE3,1.0,pending,none_proposal_only,
alpha360_CLOSE30,084d1953fa6e95c9d420,retain_horizon_or_semantic_variant,alpha360_CLOSE30,1.0,7ad7bdd9a681975845d4,retain_horizon_or_semantic_variant,alpha360_CLOSE30,1.0,bd34cc5be5fc78f5fad8,retain_horizon_or_semantic_variant,alpha360_CLOSE30,1.0,109daa6c9ef8dfbf4020,retain_horizon_or_semantic_variant,alpha360_CLOSE30,1.0,pending,none_proposal_only,alpha158_ROC30
alpha360_CLOSE31,084d1953fa6e95c9d420,retain_horizon_or_semantic_variant,alpha360_CLOSE31,1.0,7ad7bdd9a681975845d4,retain_horizon_or_semantic_variant,alpha360_CLOSE31,1.0,bd34cc5be5fc78f5fad8,retain_horizon_or_semantic_variant,alpha360_CLOSE31,1.0,129217575f32e4ed8122,retain_horizon_or_semantic_variant,alpha360_CLOSE31,1.0,pending,none_proposal_only,
alpha360_CLOSE32,084d1953fa6e95c9d420,retain_horizon_or_semantic_variant,alpha360_CLOSE32,1.0,7ad7bdd9a681975845d4,retain_horizon_or_semantic_variant,alpha360_CLOSE32,1.0,fa2890a2cc225368682d,retain_horizon_or_semantic_variant,alpha360_CLOSE32,1.0,f2cee8df3f93f3e6e6d8,retain_horizon_or_semantic_variant,alpha360_CLOSE32,1.0,pending,none_proposal_only,
alpha360_CLOSE33,084d1953fa6e95c9d420,retain_horizon_or_semantic_variant,alpha360_CLOSE33,1.0,7ad7bdd9a681975845d4,retain_horizon_or_semantic_variant,alpha360_CLOSE33,1.0,fa2890a2cc225368682d,retain_horizon_or_semantic_variant,alpha360_CLOSE33,1.0,0e7baeaf172d53e7c8a5,retain_horizon_or_semantic_variant,alpha360_CLOSE33,1.0,pending,none_proposal_only,
alpha360_CLOSE34,e61e8bbb58b85dba1401,retain_horizon_or_semantic_variant,alpha360_CLOSE34,1.0,4c1c08d3dcfc0ff40558,retain_horizon_or_semantic_variant,alpha360_CLOSE34,1.0,19d76af8d6af6bbd435d,retain_horizon_or_semantic_variant,alpha360_CLOSE34,1.0,a8257c0f2abf5ced2c56,retain_horizon_or_semantic_variant,alpha360_CLOSE34,1.0,pending,none_proposal_only,
alpha360_CLOSE35,e61e8bbb58b85dba1401,retain_horizon_or_semantic_variant,alpha360_CLOSE35,1.0,4c1c08d3dcfc0ff40558,retain_horizon_or_semantic_variant,alpha360_CLOSE35,1.0,19d76af8d6af6bbd435d,retain_horizon_or_semantic_variant,alpha360_CLOSE35,1.0,81bfc98903edd5e52981,retain_horizon_or_semantic_variant,alpha360_CLOSE35,1.0,pending,none_proposal_only,
alpha360_CLOSE36,e61e8bbb58b85dba1401,retain_horizon_or_semantic_variant,alpha360_CLOSE36,1.0,4c1c08d3dcfc0ff40558,retain_horizon_or_semantic_variant,alpha360_CLOSE36,1.0,0119a5d12159986ff7d7,retain_horizon_or_semantic_variant,alpha360_CLOSE36,1.0,4bd5e26e45acc58f5420,retain_horizon_or_semantic_variant,alpha360_CLOSE36,1.0,pending,none_proposal_only,
alpha360_CLOSE37,e61e8bbb58b85dba1401,retain_horizon_or_semantic_variant,alpha360_CLOSE37,1.0,4c1c08d3dcfc0ff40558,retain_horizon_or_semantic_variant,alpha360_CLOSE37,1.0,0119a5d12159986ff7d7,retain_horizon_or_semantic_variant,alpha360_CLOSE37,1.0,19cc2c431527aa1a06d8,retain_horizon_or_semantic_variant,alpha360_CLOSE37,1.0,pending,none_proposal_only,
alpha360_CLOSE38,e61e8bbb58b85dba1401,retain_horizon_or_semantic_variant,alpha360_CLOSE38,1.0,4c1c08d3dcfc0ff40558,retain_horizon_or_semantic_variant,alpha360_CLOSE38,1.0,bded87163fed4a9fb332,retain_horizon_or_semantic_variant,alpha360_CLOSE38,1.0,530384cde46c2129a31a,retain_horizon_or_semantic_variant,alpha360_CLOSE38,1.0,pending,none_proposal_only,
alpha360_CLOSE39,e61e8bbb58b85dba1401,retain_horizon_or_semantic_variant,alpha360_CLOSE39,1.0,4c1c08d3dcfc0ff40558,retain_horizon_or_semantic_variant,alpha360_CLOSE39,1.0,bded87163fed4a9fb332,retain_horizon_or_semantic_variant,alpha360_CLOSE39,1.0,7f98d713a07e53a1b104,retain_horizon_or_semantic_variant,alpha360_CLOSE39,1.0,pending,none_proposal_only,
alpha360_CLOSE4,fbcfce924ce2b3e665d6,retain_horizon_or_semantic_variant,alpha360_CLOSE4,1.0,9c8ea301d328a2cd7d32,retain_horizon_or_semantic_variant,alpha360_CLOSE4,1.0,654e1918dda895fd41b3,retain_horizon_or_semantic_variant,alpha360_CLOSE4,1.0,e0c7e4f14d5cd95a5bf5,proposed_representative,alpha360_CLOSE4,1.0,pending,none_proposal_only,
alpha360_CLOSE40,e61e8bbb58b85dba1401,retain_horizon_or_semantic_variant,alpha360_CLOSE40,1.0,4c1c08d3dcfc0ff40558,retain_horizon_or_semantic_variant,alpha360_CLOSE40,1.0,aa3d8fb03aff0452da6a,retain_horizon_or_semantic_variant,alpha360_CLOSE40,1.0,a49cf24859025c6696e4,retain_horizon_or_semantic_variant,alpha360_CLOSE40,1.0,pending,none_proposal_only,
alpha360_CLOSE41,e61e8bbb58b85dba1401,retain_horizon_or_semantic_variant,alpha360_CLOSE41,1.0,4c1c08d3dcfc0ff40558,retain_horizon_or_semantic_variant,alpha360_CLOSE41,1.0,aa3d8fb03aff0452da6a,retain_horizon_or_semantic_variant,alpha360_CLOSE41,1.0,e4db0944b44de1180856,retain_horizon_or_semantic_variant,alpha360_CLOSE41,1.0,pending,none_proposal_only,
alpha360_CLOSE42,e61e8bbb58b85dba1401,retain_horizon_or_semantic_variant,alpha360_CLOSE42,1.0,0f34420bf6deb7a69f7c,retain_horizon_or_semantic_variant,alpha360_CLOSE42,1.0,2814b13cf3cfa2e3a7c7,retain_horizon_or_semantic_variant,alpha360_CLOSE42,1.0,2d45ac0065c78fe0521c,retain_horizon_or_semantic_variant,alpha360_CLOSE42,1.0,pending,none_proposal_only,
alpha360_CLOSE43,e61e8bbb58b85dba1401,retain_horizon_or_semantic_variant,alpha360_CLOSE43,1.0,0f34420bf6deb7a69f7c,retain_horizon_or_semantic_variant,alpha360_CLOSE43,1.0,2814b13cf3cfa2e3a7c7,retain_horizon_or_semantic_variant,alpha360_CLOSE43,1.0,43305fe4e331fe26c38b,retain_horizon_or_semantic_variant,alpha360_CLOSE43,1.0,pending,none_proposal_only,
alpha360_CLOSE44,e61e8bbb58b85dba1401,retain_horizon_or_semantic_variant,alpha360_CLOSE44,1.0,0f34420bf6deb7a69f7c,retain_horizon_or_semantic_variant,alpha360_CLOSE44,1.0,8249de9fd7d941c9fbe6,retain_horizon_or_semantic_variant,alpha360_CLOSE44,1.0,af1e245f6e56d4709b06,retain_horizon_or_semantic_variant,alpha360_CLOSE44,1.0,pending,none_proposal_only,
alpha360_CLOSE45,e61e8bbb58b85dba1401,retain_horizon_or_semantic_variant,alpha360_CLOSE45,1.0,0f34420bf6deb7a69f7c,retain_horizon_or_semantic_variant,alpha360_CLOSE45,1.0,8249de9fd7d941c9fbe6,retain_horizon_or_semantic_variant,alpha360_CLOSE45,1.0,c50f7f0975b1760a5c91,retain_horizon_or_semantic_variant,alpha360_CLOSE45,1.0,pending,none_proposal_only,
alpha360_CLOSE46,e61e8bbb58b85dba1401,retain_horizon_or_semantic_variant,alpha360_CLOSE46,1.0,0f34420bf6deb7a69f7c,retain_horizon_or_semantic_variant,alpha360_CLOSE46,1.0,f3d8643e4a7562faeef6,retain_horizon_or_semantic_variant,alpha360_CLOSE46,1.0,c127ae9a3551f23ea2c1,retain_horizon_or_semantic_variant,alpha360_CLOSE46,1.0,pending,none_proposal_only,
alpha360_CLOSE47,e61e8bbb58b85dba1401,retain_horizon_or_semantic_variant,alpha360_CLOSE47,1.0,0f34420bf6deb7a69f7c,retain_horizon_or_semantic_variant,alpha360_CLOSE47,1.0,f3d8643e4a7562faeef6,retain_horizon_or_semantic_variant,alpha360_CLOSE47,1.0,270aab90881e94505cc8,retain_horizon_or_semantic_variant,alpha360_CLOSE47,1.0,pending,none_proposal_only,
alpha360_CLOSE48,e61e8bbb58b85dba1401,retain_horizon_or_semantic_variant,alpha360_CLOSE48,1.0,0f34420bf6deb7a69f7c,retain_horizon_or_semantic_variant,alpha360_CLOSE48,1.0,18549a84594ba3a19eaa,retain_horizon_or_semantic_variant,alpha360_CLOSE48,1.0,ee6867eeec2efe315cca,retain_horizon_or_semantic_variant,alpha360_CLOSE48,1.0,pending,none_proposal_only,
alpha360_CLOSE49,e61e8bbb58b85dba1401,retain_horizon_or_semantic_variant,alpha360_CLOSE49,1.0,0f34420bf6deb7a69f7c,retain_horizon_or_semantic_variant,alpha360_CLOSE49,1.0,18549a84594ba3a19eaa,retain_horizon_or_semantic_variant,alpha360_CLOSE49,1.0,d788148bf1ef3da17441,retain_horizon_or_semantic_variant,alpha360_CLOSE49,1.0,pending,none_proposal_only,
alpha360_CLOSE5,fbcfce924ce2b3e665d6,retain_horizon_or_semantic_variant,alpha360_CLOSE5,1.0,10ab03ef9cf7699ad71e,retain_horizon_or_semantic_variant,alpha360_CLOSE5,1.0,97579789a904a6255f78,retain_horizon_or_semantic_variant,alpha360_CLOSE5,1.0,f6bf23d675dfb9340db4,retain_horizon_or_semantic_variant,alpha360_CLOSE5,1.0,pending,none_proposal_only,alpha158_ROC5
alpha360_CLOSE50,e88b0b2e8560b3953d66,retain_horizon_or_semantic_variant,alpha360_CLOSE50,1.0,65ee45bf83ffe981ce03,retain_horizon_or_semantic_variant,alpha360_CLOSE50,1.0,ab871b25367ba7b1a7c7,retain_horizon_or_semantic_variant,alpha360_CLOSE50,1.0,2873c831d867c4625a01,retain_horizon_or_semantic_variant,alpha360_CLOSE50,1.0,pending,none_proposal_only,
alpha360_CLOSE51,e88b0b2e8560b3953d66,retain_horizon_or_semantic_variant,alpha360_CLOSE51,1.0,65ee45bf83ffe981ce03,retain_horizon_or_semantic_variant,alpha360_CLOSE51,1.0,ab871b25367ba7b1a7c7,retain_horizon_or_semantic_variant,alpha360_CLOSE51,1.0,fd24d9fa8c6fdb48d314,retain_horizon_or_semantic_variant,alpha360_CLOSE51,1.0,pending,none_proposal_only,
alpha360_CLOSE52,e88b0b2e8560b3953d66,retain_horizon_or_semantic_variant,alpha360_CLOSE52,1.0,65ee45bf83ffe981ce03,retain_horizon_or_semantic_variant,alpha360_CLOSE52,1.0,139a45fbd384ad1ac167,retain_horizon_or_semantic_variant,alpha360_CLOSE52,1.0,8d3644d99bdfce0ca18c,retain_horizon_or_semantic_variant,alpha360_CLOSE52,1.0,pending,none_proposal_only,
alpha360_CLOSE53,e88b0b2e8560b3953d66,retain_horizon_or_semantic_variant,alpha360_CLOSE53,1.0,65ee45bf83ffe981ce03,retain_horizon_or_semantic_variant,alpha360_CLOSE53,1.0,139a45fbd384ad1ac167,retain_horizon_or_semantic_variant,alpha360_CLOSE53,1.0,ff5ada582a8e125d788a,retain_horizon_or_semantic_variant,alpha360_CLOSE53,1.0,pending,none_proposal_only,
alpha360_CLOSE54,e88b0b2e8560b3953d66,retain_horizon_or_semantic_variant,alpha360_CLOSE54,1.0,65ee45bf83ffe981ce03,retain_horizon_or_semantic_variant,alpha360_CLOSE54,1.0,26125719bd2fa2e774a2,retain_horizon_or_semantic_variant,alpha360_CLOSE54,1.0,cdad79daa48318f8b357,retain_horizon_or_semantic_variant,alpha360_CLOSE54,1.0,pending,none_proposal_only,
alpha360_CLOSE55,e88b0b2e8560b3953d66,retain_horizon_or_semantic_variant,alpha360_CLOSE55,1.0,65ee45bf83ffe981ce03,retain_horizon_or_semantic_variant,alpha360_CLOSE55,1.0,26125719bd2fa2e774a2,retain_horizon_or_semantic_variant,alpha360_CLOSE55,1.0,3590b6e33d625ead7e5a,retain_horizon_or_semantic_variant,alpha360_CLOSE55,1.0,pending,none_proposal_only,
alpha360_CLOSE56,e88b0b2e8560b3953d66,retain_horizon_or_semantic_variant,alpha360_CLOSE56,1.0,65ee45bf83ffe981ce03,retain_horizon_or_semantic_variant,alpha360_CLOSE56,1.0,26125719bd2fa2e774a2,retain_horizon_or_semantic_variant,alpha360_CLOSE56,1.0,2e89265f61e9bec55479,retain_horizon_or_semantic_variant,alpha360_CLOSE56,1.0,pending,none_proposal_only,
alpha360_CLOSE57,e88b0b2e8560b3953d66,retain_horizon_or_semantic_variant,alpha360_CLOSE57,1.0,65ee45bf83ffe981ce03,retain_horizon_or_semantic_variant,alpha360_CLOSE57,1.0,26125719bd2fa2e774a2,retain_horizon_or_semantic_variant,alpha360_CLOSE57,1.0,0a69c31621660d21e772,retain_horizon_or_semantic_variant,alpha360_CLOSE57,1.0,pending,none_proposal_only,
alpha360_CLOSE58,e88b0b2e8560b3953d66,retain_horizon_or_semantic_variant,alpha360_CLOSE58,1.0,5747fe37574b3e22e149,retain_horizon_or_semantic_variant,alpha360_CLOSE58,1.0,cc4777fa6fc9a5f9feea,retain_horizon_or_semantic_variant,alpha360_CLOSE58,1.0,6cd93057366b847f2ac8,retain_horizon_or_semantic_variant,alpha360_CLOSE58,1.0,pending,none_proposal_only,
alpha360_CLOSE59,e88b0b2e8560b3953d66,retain_horizon_or_semantic_variant,alpha360_CLOSE59,1.0,5747fe37574b3e22e149,retain_horizon_or_semantic_variant,alpha360_CLOSE59,1.0,cc4777fa6fc9a5f9feea,retain_horizon_or_semantic_variant,alpha360_CLOSE59,1.0,43823a0576d9f1221e30,retain_horizon_or_semantic_variant,alpha360_CLOSE59,1.0,pending,none_proposal_only,
alpha360_CLOSE6,1e4d503306f15d3a7192,retain_horizon_or_semantic_variant,alpha360_CLOSE6,1.0,51eebe34ff4681e7a9d7,retain_horizon_or_semantic_variant,alpha360_CLOSE6,1.0,41bdbca241aab511b201,retain_horizon_or_semantic_variant,alpha360_CLOSE6,1.0,1020f2d34ce4536fe8b7,proposed_representative,alpha360_CLOSE6,1.0,pending,none_proposal_only,
