selection_source,name,category,source_project,source_file,source_function,source_commit,license,expected_direction,required_fields,labels,stage,enabled,runnable,compute_adapter,registry_name,notes
alpha360,alpha360_VWAP36,alpha360_vwap_window,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,"$close,$vwap","label_10d_t1,label_20d_t1",alpha360_adapter_v4_batch_passed,True,True,qlib_expression_adapter_pending,alpha360_VWAP36,"Qlib Alpha360 expression: Ref($vwap, 36)/$close Alpha360 batch V4 passed."
alpha360,alpha360_VWAP54,alpha360_vwap_window,qlib_alpha360,qlib/contrib/data/loader.py,Alpha360DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,"$close,$vwap","label_10d_t1,label_20d_t1",alpha360_adapter_v4_batch_passed,True,True,qlib_expression_adapter_pending,alpha360_VWAP54,"Qlib Alpha360 expression: Ref($vwap, 54)/$close Alpha360 batch V4 passed."
ta,ta_momentum_ppo_hist,ta_momentum,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,watch,"$open,$high,$low,$close,$volume","label_10d_t1,label_20d_t1",ta_adapter_v4_batch_passed,True,True,factor_research.ta_source.compute_ta_features,ta_momentum_ppo_hist,Generated from ta wrapper smoke; coverage=0.813296 TA batch V4 passed.
ta,ta_momentum_rsi,ta_momentum,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,watch,"$open,$high,$low,$close,$volume","label_10d_t1,label_20d_t1",ta_adapter_v4_smoke_passed,True,True,factor_research.ta_source.compute_ta_features,ta_momentum_rsi,Generated from ta wrapper smoke; coverage=0.926709 V4 smoke passed for selected TA adapter factor.
ta,ta_momentum_tsi,ta_momentum,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,watch,"$open,$high,$low,$close,$volume","label_10d_t1,label_20d_t1",ta_adapter_v4_batch_passed,True,True,factor_research.ta_source.compute_ta_features,ta_momentum_tsi,Generated from ta wrapper smoke; coverage=0.790698 TA batch V4 passed.
ta,ta_trend_adx_pos,ta_trend,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,watch,"$open,$high,$low,$close","label_10d_t1,label_20d_t1",ta_adapter_v4_batch_passed,True,True,factor_research.ta_source.compute_ta_features,ta_trend_adx_pos,Generated from ta wrapper smoke; coverage=0.967395 TA batch V4 passed.
ta,ta_trend_ema_fast,ta_trend,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,watch,"$open,$high,$low,$close","label_10d_t1,label_20d_t1",ta_adapter_v4_batch_passed,True,True,factor_research.ta_source.compute_ta_features,ta_trend_ema_fast,Generated from ta wrapper smoke; coverage=0.937327 TA batch V4 passed.
ta,ta_trend_ichimoku_conv,ta_trend,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,watch,"$open,$high,$low,$close","label_10d_t1,label_20d_t1",ta_adapter_v4_batch_passed,True,True,factor_research.ta_source.compute_ta_features,ta_trend_ichimoku_conv,Generated from ta wrapper smoke; coverage=0.943998 TA batch V4 passed.
ta,ta_trend_macd_diff,ta_trend,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,watch,"$open,$high,$low,$close","label_10d_t1,label_20d_t1",ta_adapter_v4_smoke_passed,True,True,factor_research.ta_source.compute_ta_features,ta_trend_macd_diff,Generated from ta wrapper smoke; coverage=0.813296 V4 smoke passed for selected TA adapter factor.
ta,ta_trend_psar_up_indicator,ta_trend,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,watch,"$open,$high,$low,$close","label_10d_t1,label_20d_t1",ta_adapter_v4_batch_passed,True,True,factor_research.ta_source.compute_ta_features,ta_trend_psar_up_indicator,Generated from ta wrapper smoke; coverage=1.000000 TA batch V4 passed.
ta,ta_trend_vortex_ind_diff,ta_trend,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,watch,"$open,$high,$low,$close","label_10d_t1,label_20d_t1",ta_adapter_v4_batch_passed,True,True,factor_research.ta_source.compute_ta_features,ta_trend_vortex_ind_diff,Generated from ta wrapper smoke; coverage=0.906601 TA batch V4 passed.
ta,ta_volatility_bbl,ta_volatility,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,watch,"$open,$high,$low,$close","label_10d_t1,label_20d_t1",ta_adapter_v4_batch_passed,True,True,factor_research.ta_source.compute_ta_features,ta_volatility_bbl,Generated from ta wrapper smoke; coverage=0.875828 TA batch V4 passed.
ta,ta_volatility_dcm,ta_volatility,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,watch,"$open,$high,$low,$close","label_10d_t1,label_20d_t1",ta_adapter_v4_batch_passed,True,True,factor_research.ta_source.compute_ta_features,ta_volatility_dcm,Generated from ta wrapper smoke; coverage=0.875828 TA batch V4 passed.
ta,ta_volatility_kcli,ta_volatility,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,watch,"$open,$high,$low,$close","label_10d_t1,label_20d_t1",ta_adapter_v4_batch_passed,True,True,factor_research.ta_source.compute_ta_features,ta_volatility_kcli,Generated from ta wrapper smoke; coverage=1.000000 TA batch V4 passed.
ta,ta_volume_em,ta_volume,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,watch,"$open,$high,$low,$close,$volume","label_10d_t1,label_20d_t1",ta_adapter_v4_batch_passed,True,True,factor_research.ta_source.compute_ta_features,ta_volume_em,Generated from ta wrapper smoke; coverage=0.988161 TA batch V4 passed.
ta,ta_volume_sma_em,ta_volume,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,watch,"$open,$high,$low,$close,$volume","label_10d_t1,label_20d_t1",ta_adapter_v4_batch_passed,True,True,factor_research.ta_source.compute_ta_features,ta_volume_sma_em,Generated from ta wrapper smoke; coverage=0.906601 TA batch V4 passed.
alpha101,kunquant_alpha101_alpha005,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha005,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$close,$open,$volume","label_10d_t1,label_20d_t1",alpha101_adapter_v4_batch_passed,True,True,factor_research.alpha101_source.compute_alpha101_features,alpha005,Alpha101 batch V4 passed.
alpha101,kunquant_alpha101_alpha012,alpha101,kunquant_alpha101,tests/KunTestUtil/ref_alpha101.py,alpha012,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$close,$volume","label_10d_t1,label_20d_t1",alpha101_adapter_v4_smoke_passed,True,True,factor_research.alpha101_source.compute_alpha101_features,alpha012,Generated from KunQuant pandas reference smoke; coverage=0.987213 V4 smoke passed for selected Alpha101 adapter factor.
alpha101,kunquant_alpha101_alpha020,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha020,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$close,$high,$low,$open","label_10d_t1,label_20d_t1",alpha101_adapter_v4_batch_passed,True,True,factor_research.alpha101_source.compute_alpha101_features,alpha020,Alpha101 batch V4 passed.
