factor,source_family,batch_id,dependency_class,cross_sectional_operator_present,max_lookback_trading_days,state_propagation_rule,classification_evidence,classifier_version,affected_date_count,fallback_sensitive,filter_only_reuse_allowed,recompute_policy,review_status
alpha158_RESI60,alpha158,alpha158_005,pure_time_series,False,60,instrument_local_history_only,"qlib_per_instrument_expression;expression=Resi($close, 60)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_ROC10,alpha158,alpha158_005,pure_time_series,False,10,instrument_local_history_only,"qlib_per_instrument_expression;expression=Ref($close, 10)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_ROC20,alpha158,alpha158_005,pure_time_series,False,20,instrument_local_history_only,"qlib_per_instrument_expression;expression=Ref($close, 20)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_ROC30,alpha158,alpha158_005,pure_time_series,False,30,instrument_local_history_only,"qlib_per_instrument_expression;expression=Ref($close, 30)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_ROC5,alpha158,alpha158_005,pure_time_series,False,5,instrument_local_history_only,"qlib_per_instrument_expression;expression=Ref($close, 5)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_ROC60,alpha158,alpha158_005,pure_time_series,False,60,instrument_local_history_only,"qlib_per_instrument_expression;expression=Ref($close, 60)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_RSQR10,alpha158,alpha158_005,pure_time_series,False,10,instrument_local_history_only,"qlib_per_instrument_expression;expression=Rsquare($close, 10);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_RSQR20,alpha158,alpha158_005,pure_time_series,False,20,instrument_local_history_only,"qlib_per_instrument_expression;expression=Rsquare($close, 20);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_RSQR30,alpha158,alpha158_005,pure_time_series,False,30,instrument_local_history_only,"qlib_per_instrument_expression;expression=Rsquare($close, 30);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_RSQR5,alpha158,alpha158_005,pure_time_series,False,5,instrument_local_history_only,"qlib_per_instrument_expression;expression=Rsquare($close, 5);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_RSQR60,alpha158,alpha158_005,pure_time_series,False,60,instrument_local_history_only,"qlib_per_instrument_expression;expression=Rsquare($close, 60);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_RSV10,alpha158,alpha158_005,pure_time_series,False,10,instrument_local_history_only,"qlib_per_instrument_expression;expression=($close-Min($low, 10))/(Max($high, 10)-Min($low, 10)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_RSV20,alpha158,alpha158_005,pure_time_series,False,20,instrument_local_history_only,"qlib_per_instrument_expression;expression=($close-Min($low, 20))/(Max($high, 20)-Min($low, 20)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_RSV30,alpha158,alpha158_005,pure_time_series,False,30,instrument_local_history_only,"qlib_per_instrument_expression;expression=($close-Min($low, 30))/(Max($high, 30)-Min($low, 30)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_RSV5,alpha158,alpha158_005,pure_time_series,False,5,instrument_local_history_only,"qlib_per_instrument_expression;expression=($close-Min($low, 5))/(Max($high, 5)-Min($low, 5)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_RSV60,alpha158,alpha158_005,pure_time_series,False,60,instrument_local_history_only,"qlib_per_instrument_expression;expression=($close-Min($low, 60))/(Max($high, 60)-Min($low, 60)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_STD10,alpha158,alpha158_005,pure_time_series,False,10,instrument_local_history_only,"qlib_per_instrument_expression;expression=Std($close, 10)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_STD20,alpha158,alpha158_005,pure_time_series,False,20,instrument_local_history_only,"qlib_per_instrument_expression;expression=Std($close, 20)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_STD30,alpha158,alpha158_005,pure_time_series,False,30,instrument_local_history_only,"qlib_per_instrument_expression;expression=Std($close, 30)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_STD5,alpha158,alpha158_005,pure_time_series,False,5,instrument_local_history_only,"qlib_per_instrument_expression;expression=Std($close, 5)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_STD60,alpha158,alpha158_005,pure_time_series,False,60,instrument_local_history_only,"qlib_per_instrument_expression;expression=Std($close, 60)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_SUMD10,alpha158,alpha158_001,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=(Sum(Greater($close-Ref($close, 1), 0), 10)-Sum(Greater(Ref($close, 1)-$close, 0), 10))/(Sum(Abs($close-Ref($close, 1)), 10)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_SUMD20,alpha158,alpha158_001,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=(Sum(Greater($close-Ref($close, 1), 0), 20)-Sum(Greater(Ref($close, 1)-$close, 0), 20))/(Sum(Abs($close-Ref($close, 1)), 20)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_SUMD30,alpha158,alpha158_002,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=(Sum(Greater($close-Ref($close, 1), 0), 30)-Sum(Greater(Ref($close, 1)-$close, 0), 30))/(Sum(Abs($close-Ref($close, 1)), 30)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_SUMD5,alpha158,alpha158_002,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=(Sum(Greater($close-Ref($close, 1), 0), 5)-Sum(Greater(Ref($close, 1)-$close, 0), 5))/(Sum(Abs($close-Ref($close, 1)), 5)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_SUMD60,alpha158,alpha158_002,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=(Sum(Greater($close-Ref($close, 1), 0), 60)-Sum(Greater(Ref($close, 1)-$close, 0), 60))/(Sum(Abs($close-Ref($close, 1)), 60)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_SUMN10,alpha158,alpha158_002,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Sum(Greater(Ref($close, 1)-$close, 0), 10)/(Sum(Abs($close-Ref($close, 1)), 10)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_SUMN20,alpha158,alpha158_002,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Sum(Greater(Ref($close, 1)-$close, 0), 20)/(Sum(Abs($close-Ref($close, 1)), 20)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_SUMN30,alpha158,alpha158_002,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Sum(Greater(Ref($close, 1)-$close, 0), 30)/(Sum(Abs($close-Ref($close, 1)), 30)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_SUMN5,alpha158,alpha158_002,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Sum(Greater(Ref($close, 1)-$close, 0), 5)/(Sum(Abs($close-Ref($close, 1)), 5)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_SUMN60,alpha158,alpha158_002,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Sum(Greater(Ref($close, 1)-$close, 0), 60)/(Sum(Abs($close-Ref($close, 1)), 60)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_SUMP10,alpha158,alpha158_002,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Sum(Greater($close-Ref($close, 1), 0), 10)/(Sum(Abs($close-Ref($close, 1)), 10)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_SUMP20,alpha158,alpha158_002,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Sum(Greater($close-Ref($close, 1), 0), 20)/(Sum(Abs($close-Ref($close, 1)), 20)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_SUMP30,alpha158,alpha158_002,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Sum(Greater($close-Ref($close, 1), 0), 30)/(Sum(Abs($close-Ref($close, 1)), 30)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_SUMP5,alpha158,alpha158_002,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Sum(Greater($close-Ref($close, 1), 0), 5)/(Sum(Abs($close-Ref($close, 1)), 5)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_SUMP60,alpha158,alpha158_002,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Sum(Greater($close-Ref($close, 1), 0), 60)/(Sum(Abs($close-Ref($close, 1)), 60)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VMA10,alpha158,alpha158_006,pure_time_series,False,10,instrument_local_history_only,"qlib_per_instrument_expression;expression=Mean($volume, 10)/($volume+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VMA20,alpha158,alpha158_006,pure_time_series,False,20,instrument_local_history_only,"qlib_per_instrument_expression;expression=Mean($volume, 20)/($volume+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VMA30,alpha158,alpha158_006,pure_time_series,False,30,instrument_local_history_only,"qlib_per_instrument_expression;expression=Mean($volume, 30)/($volume+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VMA5,alpha158,alpha158_006,pure_time_series,False,5,instrument_local_history_only,"qlib_per_instrument_expression;expression=Mean($volume, 5)/($volume+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VMA60,alpha158,alpha158_006,pure_time_series,False,60,instrument_local_history_only,"qlib_per_instrument_expression;expression=Mean($volume, 60)/($volume+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VSTD10,alpha158,alpha158_006,pure_time_series,False,10,instrument_local_history_only,"qlib_per_instrument_expression;expression=Std($volume, 10)/($volume+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VSTD20,alpha158,alpha158_006,pure_time_series,False,20,instrument_local_history_only,"qlib_per_instrument_expression;expression=Std($volume, 20)/($volume+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VSTD30,alpha158,alpha158_006,pure_time_series,False,30,instrument_local_history_only,"qlib_per_instrument_expression;expression=Std($volume, 30)/($volume+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VSTD5,alpha158,alpha158_006,pure_time_series,False,5,instrument_local_history_only,"qlib_per_instrument_expression;expression=Std($volume, 5)/($volume+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VSTD60,alpha158,alpha158_006,pure_time_series,False,60,instrument_local_history_only,"qlib_per_instrument_expression;expression=Std($volume, 60)/($volume+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VSUMD10,alpha158,alpha158_006,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=(Sum(Greater($volume-Ref($volume, 1), 0), 10)-Sum(Greater(Ref($volume, 1)-$volume, 0), 10))/(Sum(Abs($volume-Ref($volume, 1)), 10)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VSUMD20,alpha158,alpha158_006,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=(Sum(Greater($volume-Ref($volume, 1), 0), 20)-Sum(Greater(Ref($volume, 1)-$volume, 0), 20))/(Sum(Abs($volume-Ref($volume, 1)), 20)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VSUMD30,alpha158,alpha158_006,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=(Sum(Greater($volume-Ref($volume, 1), 0), 30)-Sum(Greater(Ref($volume, 1)-$volume, 0), 30))/(Sum(Abs($volume-Ref($volume, 1)), 30)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VSUMD5,alpha158,alpha158_006,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=(Sum(Greater($volume-Ref($volume, 1), 0), 5)-Sum(Greater(Ref($volume, 1)-$volume, 0), 5))/(Sum(Abs($volume-Ref($volume, 1)), 5)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VSUMD60,alpha158,alpha158_006,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=(Sum(Greater($volume-Ref($volume, 1), 0), 60)-Sum(Greater(Ref($volume, 1)-$volume, 0), 60))/(Sum(Abs($volume-Ref($volume, 1)), 60)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VSUMN10,alpha158,alpha158_006,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Sum(Greater(Ref($volume, 1)-$volume, 0), 10)/(Sum(Abs($volume-Ref($volume, 1)), 10)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VSUMN20,alpha158,alpha158_006,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Sum(Greater(Ref($volume, 1)-$volume, 0), 20)/(Sum(Abs($volume-Ref($volume, 1)), 20)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VSUMN30,alpha158,alpha158_006,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Sum(Greater(Ref($volume, 1)-$volume, 0), 30)/(Sum(Abs($volume-Ref($volume, 1)), 30)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VSUMN5,alpha158,alpha158_006,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Sum(Greater(Ref($volume, 1)-$volume, 0), 5)/(Sum(Abs($volume-Ref($volume, 1)), 5)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VSUMN60,alpha158,alpha158_006,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Sum(Greater(Ref($volume, 1)-$volume, 0), 60)/(Sum(Abs($volume-Ref($volume, 1)), 60)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VSUMP10,alpha158,alpha158_006,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Sum(Greater($volume-Ref($volume, 1), 0), 10)/(Sum(Abs($volume-Ref($volume, 1)), 10)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VSUMP20,alpha158,alpha158_006,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Sum(Greater($volume-Ref($volume, 1), 0), 20)/(Sum(Abs($volume-Ref($volume, 1)), 20)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VSUMP30,alpha158,alpha158_006,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Sum(Greater($volume-Ref($volume, 1), 0), 30)/(Sum(Abs($volume-Ref($volume, 1)), 30)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VSUMP5,alpha158,alpha158_006,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Sum(Greater($volume-Ref($volume, 1), 0), 5)/(Sum(Abs($volume-Ref($volume, 1)), 5)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VSUMP60,alpha158,alpha158_006,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Sum(Greater($volume-Ref($volume, 1), 0), 60)/(Sum(Abs($volume-Ref($volume, 1)), 60)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_VWAP0,alpha158,alpha158_003,pure_time_series,False,0,instrument_local_history_only,"qlib_per_instrument_expression;expression=$vwap/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_WVMA10,alpha158,alpha158_007,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Std(Abs($close/Ref($close, 1)-1)*$volume, 10)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 10)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_WVMA20,alpha158,alpha158_007,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Std(Abs($close/Ref($close, 1)-1)*$volume, 20)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 20)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_WVMA30,alpha158,alpha158_007,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Std(Abs($close/Ref($close, 1)-1)*$volume, 30)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 30)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_WVMA5,alpha158,alpha158_007,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Std(Abs($close/Ref($close, 1)-1)*$volume, 5)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 5)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha158_WVMA60,alpha158,alpha158_007,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Std(Abs($close/Ref($close, 1)-1)*$volume, 60)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 60)+1e-12);Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha360_CLOSE1,alpha360,alpha360_001,pure_time_series,False,1,instrument_local_history_only,"qlib_per_instrument_expression;expression=Ref($close, 1)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha360_CLOSE10,alpha360,alpha360_001,pure_time_series,False,10,instrument_local_history_only,"qlib_per_instrument_expression;expression=Ref($close, 10)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha360_CLOSE11,alpha360,alpha360_001,pure_time_series,False,11,instrument_local_history_only,"qlib_per_instrument_expression;expression=Ref($close, 11)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha360_CLOSE12,alpha360,alpha360_001,pure_time_series,False,12,instrument_local_history_only,"qlib_per_instrument_expression;expression=Ref($close, 12)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha360_CLOSE13,alpha360,alpha360_001,pure_time_series,False,13,instrument_local_history_only,"qlib_per_instrument_expression;expression=Ref($close, 13)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha360_CLOSE14,alpha360,alpha360_001,pure_time_series,False,14,instrument_local_history_only,"qlib_per_instrument_expression;expression=Ref($close, 14)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha360_CLOSE15,alpha360,alpha360_001,pure_time_series,False,15,instrument_local_history_only,"qlib_per_instrument_expression;expression=Ref($close, 15)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha360_CLOSE16,alpha360,alpha360_001,pure_time_series,False,16,instrument_local_history_only,"qlib_per_instrument_expression;expression=Ref($close, 16)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha360_CLOSE17,alpha360,alpha360_001,pure_time_series,False,17,instrument_local_history_only,"qlib_per_instrument_expression;expression=Ref($close, 17)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha360_CLOSE18,alpha360,alpha360_001,pure_time_series,False,18,instrument_local_history_only,"qlib_per_instrument_expression;expression=Ref($close, 18)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha360_CLOSE19,alpha360,alpha360_001,pure_time_series,False,19,instrument_local_history_only,"qlib_per_instrument_expression;expression=Ref($close, 19)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha360_CLOSE2,alpha360,alpha360_001,pure_time_series,False,2,instrument_local_history_only,"qlib_per_instrument_expression;expression=Ref($close, 2)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha360_CLOSE20,alpha360,alpha360_001,pure_time_series,False,20,instrument_local_history_only,"qlib_per_instrument_expression;expression=Ref($close, 20)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
alpha360_CLOSE21,alpha360,alpha360_001,pure_time_series,False,21,instrument_local_history_only,"qlib_per_instrument_expression;expression=Ref($close, 21)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank",factor_dependency_ast_v1,0,False,True,filter_only_common_keys_bit_identical_candidate,proven
