datetime,cash,nav,turnover,accounting_error,daily_return,holding_valuation_missing_count,unfilled_shares,calendar_mode,method
2021-09-13,2254955.8178122765,10732772.04886262,0.0,0.0,-0.004395106689266903,3,0,signal_date_only,old_candidate_equal
2021-09-14,2254955.8178122765,10713647.82549326,0.0,0.0,-0.0017818531207309807,3,0,signal_date_only,old_candidate_equal
2021-09-15,2254955.8178122765,10654513.55740611,0.0,0.0,-0.0055195269669438,3,0,signal_date_only,old_candidate_equal
2021-09-16,2254955.8178122765,10529851.20881681,0.0,0.0,-0.011700426107454365,3,0,signal_date_only,old_candidate_equal
2021-09-17,2254955.8178122765,10522454.430277986,0.0,0.0,-0.0007024580302359418,3,0,signal_date_only,old_candidate_equal
2021-09-22,2254955.8178122765,10471587.769188328,0.0,0.0,-0.004834106094419588,3,0,signal_date_only,old_candidate_equal
2021-09-23,2254955.8178122765,10597253.45620398,0.0,0.0,0.012000633503298497,3,0,signal_date_only,old_candidate_equal
2021-09-24,2254955.8178122765,10553949.340565844,0.0,0.0,-0.004086352734423371,3,0,signal_date_only,old_candidate_equal
2021-09-27,2254955.8178122765,10515870.672674818,0.0,0.0,-0.0036080017690310884,3,0,signal_date_only,old_candidate_equal
2021-09-28,2254955.8178122765,10456376.171683116,0.0,0.0,-0.005657591543636653,3,0,signal_date_only,old_candidate_equal
2021-09-29,2254955.8178122765,10160937.568278952,0.0,0.0,-0.028254396987384633,3,0,signal_date_only,old_candidate_equal
2021-09-30,1370875.7989082313,10410346.227737872,1.133760956359658,1.862645149230957e-09,0.02454583130571919,3,5784500,signal_date_only,old_candidate_equal
2021-10-08,1370875.7989082313,10399105.611776916,0.0,0.0,-0.0010797542862700515,3,0,signal_date_only,old_candidate_equal
2021-10-11,1370875.7989082313,10391652.910154669,0.0,0.0,-0.000716667557814521,3,0,signal_date_only,old_candidate_equal
2021-10-12,1370875.7989082313,10178679.126745073,0.0,0.0,-0.020494697547247642,3,0,signal_date_only,old_candidate_equal
2021-10-13,1370875.7989082313,10301802.580660192,0.0,0.0,0.012096211343533225,3,0,signal_date_only,old_candidate_equal
2021-10-14,1370875.7989082313,10440554.401769845,0.0,0.0,0.013468693466339055,3,0,signal_date_only,old_candidate_equal
2021-10-15,1370875.7989082313,10394221.401893703,0.0,0.0,-0.004437791145294634,3,0,signal_date_only,old_candidate_equal
2021-10-18,1370875.7989082313,10602651.13041362,0.0,0.0,0.020052461888289574,3,0,signal_date_only,old_candidate_equal
2021-10-19,1370875.7989082313,10674859.348338453,0.0,0.0,0.006810392706188884,3,0,signal_date_only,old_candidate_equal
2021-10-20,1370875.7989082313,10756622.105443088,0.0,0.0,0.007659375588621842,3,0,signal_date_only,old_candidate_equal
2021-10-21,1370875.7989082313,10733900.742452947,0.0,0.0,-0.0021123139557578385,3,0,signal_date_only,old_candidate_equal
2021-10-22,1370875.7989082313,10536858.00292751,0.0,0.0,-0.018357048779678586,3,0,signal_date_only,old_candidate_equal
2021-10-25,1370875.7989082313,10697427.608307807,0.0,0.0,0.01523885064558006,3,0,signal_date_only,old_candidate_equal
2021-10-26,1370875.7989082313,10733547.112086026,0.0,0.0,0.0033764662964550496,3,0,signal_date_only,old_candidate_equal
2021-10-27,1370875.7989082313,10535942.05069503,0.0,0.0,-0.018410042768479795,3,0,signal_date_only,old_candidate_equal
2021-10-28,1370875.7989082313,10145464.424514381,0.0,0.0,-0.037061481954040354,3,0,signal_date_only,old_candidate_equal
2021-10-29,1370875.7989082313,10266917.809071748,0.0,0.0,0.011971200082659506,3,0,signal_date_only,old_candidate_equal
2021-11-01,1370875.7989082313,10362280.586981384,0.0,0.0,0.009288355052903485,3,0,signal_date_only,old_candidate_equal
2021-11-02,1370875.7989082313,10235633.436813561,0.0,0.0,-0.012221937931977567,3,0,signal_date_only,old_candidate_equal
2021-11-03,1370875.7989082313,10247272.853913514,0.0,0.0,0.0011371467307621508,3,0,signal_date_only,old_candidate_equal
2021-11-04,3825700.7979568862,10258426.2804468,1.1988101458819245,0.0,0.001088428764637106,3,6381900,signal_date_only,old_candidate_equal
2021-11-05,3825700.7979568862,10083057.886656078,0.0,0.0,-0.017095058149902087,3,0,signal_date_only,old_candidate_equal
2021-11-08,3825700.7979568862,10167275.003953727,0.0,0.0,0.008352338967437811,3,0,signal_date_only,old_candidate_equal
2021-11-09,3825700.7979568862,10214431.90255657,0.0,0.0,0.004638105941317194,3,0,signal_date_only,old_candidate_equal
2021-11-10,3825700.7979568862,10231451.848976763,0.0,0.0,0.001666264612908419,3,0,signal_date_only,old_candidate_equal
2021-11-11,3825700.7979568862,10310952.731506975,0.0,0.0,0.007770244507201873,3,0,signal_date_only,old_candidate_equal
2021-11-12,3825700.7979568862,10286894.576134237,0.0,0.0,-0.0023332621144915855,3,0,signal_date_only,old_candidate_equal
2021-11-15,3825700.7979568862,10291788.013239654,0.0,0.0,0.0004756962433318801,3,0,signal_date_only,old_candidate_equal
2021-11-16,3825700.7979568862,10219910.042198451,0.0,0.0,-0.006984012005371354,3,0,signal_date_only,old_candidate_equal
2021-11-17,3825700.7979568862,10300328.875132354,0.0,0.0,0.007868839608357492,3,0,signal_date_only,old_candidate_equal
2021-11-18,3825700.7979568862,10306077.990033181,0.0,0.0,0.000558148673748482,3,0,signal_date_only,old_candidate_equal
2021-11-19,3825700.7979568862,10441994.626392873,0.0,0.0,0.013188007745636554,3,0,signal_date_only,old_candidate_equal
2021-11-22,3825700.7979568862,10479430.407996925,0.0,0.0,0.0035851178767540848,3,0,signal_date_only,old_candidate_equal
2021-11-23,3825700.7979568862,10524259.901617916,0.0,0.0,0.004277855940221897,3,0,signal_date_only,old_candidate_equal
2021-11-24,3825700.7979568862,10570638.169579657,0.0,0.0,0.004406796144839742,3,0,signal_date_only,old_candidate_equal
2021-11-25,3825700.7979568862,10593780.152668508,0.0,0.0,0.002189270195194881,3,0,signal_date_only,old_candidate_equal
2021-11-26,3825700.7979568862,10603389.66730431,0.0,0.0,0.0009070902451548957,3,0,signal_date_only,old_candidate_equal
2021-11-29,3825700.7979568862,10570152.981354745,0.0,0.0,-0.003134534049243687,3,0,signal_date_only,old_candidate_equal
2021-11-30,3825700.7979568862,10580960.859458597,0.0,0.0,0.0010224902253463952,3,0,signal_date_only,old_candidate_equal
2021-12-01,3825700.7979568862,10711545.395513328,0.0,0.0,0.012341462915250956,3,0,signal_date_only,old_candidate_equal
2021-12-02,2542510.223414073,10668897.400925377,1.0975738372990982,2.3283064365386963e-09,-0.003981497815041202,3,4185900,signal_date_only,old_candidate_equal
2021-12-03,2542510.223414073,10836579.134521702,0.0,0.0,0.015716875633444705,3,0,signal_date_only,old_candidate_equal
2021-12-06,2542510.223414073,10820785.909376362,0.0,0.0,-0.0014573995122711958,3,0,signal_date_only,old_candidate_equal
2021-12-07,2542510.223414073,10873200.270900944,0.0,0.0,0.004843859028683228,3,0,signal_date_only,old_candidate_equal
