window,sample,label,factor,category,expected_direction,coverage,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,valid_rows,ic_dates
main_research_2021_2023,raw,label_20d_t1,ret_10,momentum,watch,0.949410248001176,-0.0393492625194811,-0.3450865848739836,-0.0386443407264762,,-0.3004715267680101,1343256,
main_research_2021_2023,raw,label_20d_t1,ret_5,momentum,watch,0.9567369129338325,-0.0298149618423675,-0.2783797956004704,-0.0238927901940687,,-0.1909794741460034,1353622,
main_research_2021_2023,raw,label_20d_t1,rev_5,reversal,positive,0.9567369129338325,0.0298149618423675,0.2783797956004704,0.0238927901940687,0.0238927901940687,0.1909794741460034,1353622,
main_research_2021_2023,raw,label_20d_t1,volume_ratio_5_20,liquidity,watch,0.9303168149999436,-0.0183864685392296,-0.2318260979796904,-0.0228594831498654,,-0.2672637515690584,1316242,
recent_oos_2024_2026,raw,label_10d_t1,amount_std_20,liquidity,watch,0.9355245381675944,-0.016783629575475,-0.146872348984471,-0.0805325841620862,,-0.4611146181170771,1025551,
recent_oos_2024_2026,raw,label_10d_t1,ret_20,momentum,watch,0.940353812289563,-0.0405260052146156,-0.2945511593098612,-0.0748178195858401,,-0.4746483393341058,1030845,
recent_oos_2024_2026,raw,label_10d_t1,amount_mean_20,liquidity,watch,0.9355245381675944,-0.0089001319547042,-0.0766073379542937,-0.0679739859491363,,-0.3553985693170699,1025551,
recent_oos_2024_2026,raw,label_10d_t1,std_20,risk,negative,0.9334328257456684,-0.0088321649972462,-0.0519316578676298,-0.0473688389072974,0.0473688389072974,-0.2169766135676285,1023258,
recent_oos_2024_2026,raw,label_10d_t1,amplitude_20,risk,negative,0.9355245381675944,0.0002999720831373,0.0016367710016601,-0.0450890719677199,0.0450890719677199,-0.1956268424286869,1025551,
recent_oos_2024_2026,raw,label_10d_t1,ret_10,momentum,watch,0.9576886623348546,-0.0302675739121838,-0.2235975277460275,-0.0431701351403359,,-0.274011385717989,1049848,
recent_oos_2024_2026,raw,label_10d_t1,volume_ratio_5_20,liquidity,watch,0.9355245381675944,-0.0314537030458624,-0.404259572934484,-0.0406472431458379,,-0.4420108034378677,1025551,
recent_oos_2024_2026,raw,label_10d_t1,ret_5,momentum,watch,0.9667652164552908,-0.0288185291487411,-0.2246296823923633,-0.0341781263097398,,-0.2238499585351142,1059798,
recent_oos_2024_2026,raw,label_10d_t1,rev_5,reversal,positive,0.9667652164552908,0.0288185291487411,0.2246296823923633,0.0341781263097398,0.0341781263097398,0.2238499585351142,1059798,
recent_oos_2024_2026,raw,label_10d_t1,corr_ret_volume_20,price_volume,watch,0.9334328257456684,-0.0005432985366759,-0.007764045831007,-0.0188761560140754,,-0.2109711094517884,1023258,
recent_oos_2024_2026,raw,label_20d_t1,amount_std_20,liquidity,watch,0.918916724668432,-0.01843749835259,-0.1574200186850892,-0.0926828515543902,,-0.5098068283588941,1007345,
recent_oos_2024_2026,raw,label_20d_t1,amount_mean_20,liquidity,watch,0.918916724668432,-0.0108059413521137,-0.0913755477695913,-0.0819748025257284,,-0.4171558497838566,1007345,
recent_oos_2024_2026,raw,label_20d_t1,ret_20,momentum,watch,0.9230071034298428,-0.0451534639970551,-0.3219414827742377,-0.0795411456845891,,-0.4745214566087365,1011829,
recent_oos_2024_2026,raw,label_20d_t1,ret_10,momentum,watch,0.9403711444029588,-0.0374938814728146,-0.2884766811370069,-0.056839013693146,,-0.3720336506583679,1030864,
recent_oos_2024_2026,raw,label_20d_t1,std_20,risk,negative,0.9168396077104188,-0.0151723670195918,-0.0847867736017942,-0.0537867812788723,0.0537867812788723,-0.2364584604555954,1005068,
recent_oos_2024_2026,raw,label_20d_t1,amplitude_20,risk,negative,0.918916724668432,-0.0058324487140884,-0.0302782949090991,-0.0511235305671605,0.0511235305671605,-0.2134141013020098,1007345,
recent_oos_2024_2026,raw,label_20d_t1,ret_5,momentum,watch,0.9493938777502188,-0.0324448745270251,-0.2566203465568247,-0.0408045801640563,,-0.2671087614391162,1040755,
recent_oos_2024_2026,raw,label_20d_t1,rev_5,reversal,positive,0.9493938777502188,0.0324448745270251,0.2566203465568247,0.0408045801640563,0.0408045801640563,0.2671087614391162,1040755,
recent_oos_2024_2026,raw,label_20d_t1,volume_ratio_5_20,liquidity,watch,0.918916724668432,-0.0241530118933645,-0.2961407899566089,-0.0372545498569139,,-0.3750940078761813,1007345,
recent_oos_2024_2026,raw,label_20d_t1,corr_ret_volume_20,price_volume,watch,0.9168396077104188,0.0125255476625149,0.1710337360834586,-0.0060116764896575,,-0.066175641992524,1005068,
main_research_2021_2023,tradable_only,label_10d_t1,ret_5,momentum,watch,0.996952532540086,-0.024837591499123353,-0.20758819112960836,-0.025876354788088658,,-0.18782305948283148,821779,726
main_research_2021_2023,tradable_only,label_10d_t1,ret_10,momentum,watch,0.9963920508655317,-0.029623810426671615,-0.24380980273760783,-0.032945387941853164,,-0.2375914409119067,821317,726
main_research_2021_2023,tradable_only,label_10d_t1,ret_20,momentum,watch,0.9963714270809702,-0.03510245033380057,-0.25256550620722634,-0.04233280187302194,,-0.2782155272472915,821300,726
main_research_2021_2023,tradable_only,label_10d_t1,rev_5,reversal,positive,0.996952532540086,0.024837591499123353,0.20758819112960836,0.025876354788088658,0.025876354788088658,0.18782305948283148,821779,726
main_research_2021_2023,tradable_only,label_10d_t1,std_20,risk,negative,0.9901503231261776,-0.03398415488400885,-0.2292252821512305,-0.07875470880316246,0.07875470880316246,-0.49501344456401414,816172,726
main_research_2021_2023,tradable_only,label_10d_t1,amplitude_20,risk,negative,0.990511845937903,-0.04047176549715819,-0.24248595011810098,-0.08793626062263783,0.08793626062263783,-0.4944593773041928,816470,726
main_research_2021_2023,tradable_only,label_10d_t1,amount_mean_20,liquidity,watch,0.990511845937903,-0.040031428483985866,-0.3729870229813585,-0.07118507645120487,,-0.5349529834141771,816470,726
main_research_2021_2023,tradable_only,label_10d_t1,amount_std_20,liquidity,watch,0.990511845937903,-0.04301501273311093,-0.44090755073762394,-0.07886911861336533,,-0.6688812598092748,816470,726
main_research_2021_2023,tradable_only,label_10d_t1,volume_ratio_5_20,liquidity,watch,0.990511845937903,-0.0036239981739346425,-0.04204857625832774,-0.004880249521207786,,-0.049734371086794835,816470,726
main_research_2021_2023,tradable_only,label_10d_t1,corr_ret_volume_20,price_volume,watch,0.9901503231261776,-0.010242383536837756,-0.14119965037644996,-0.020764074460224543,,-0.24478606886154802,816172,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_5,momentum,watch,0.9968457741258852,-0.023914996159906405,-0.20953479459516755,-0.01959766619648346,,-0.1478217424436394,821691,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_10,momentum,watch,0.9962889319427242,-0.034082851403569675,-0.28714194964774886,-0.03432087231607268,,-0.25737202299807876,821232,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20,momentum,watch,0.9962610291753762,-0.04696382799572756,-0.3641217440829399,-0.0585407256333473,,-0.4101030654102864,821209,726
main_research_2021_2023,tradable_only,label_20d_t1,rev_5,reversal,positive,0.9968457741258852,0.023914996159906405,0.20953479459516755,0.01959766619648346,0.01959766619648346,0.1478217424436394,821691,726
main_research_2021_2023,tradable_only,label_20d_t1,std_20,risk,negative,0.990083599117302,-0.04450962394075422,-0.2916277768362717,-0.09434505805138182,0.09434505805138182,-0.56327849556555,816117,726
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20,risk,negative,0.9904511877480162,-0.05688054662401235,-0.33461814537916007,-0.10986349599668649,0.10986349599668649,-0.5946277743457585,816420,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20,liquidity,watch,0.9904511877480162,-0.05569269761141385,-0.5322868785875922,-0.0986293209068695,,-0.7882946490737213,816420,726
main_research_2021_2023,tradable_only,label_20d_t1,amount_std_20,liquidity,watch,0.9904511877480162,-0.057437104368841196,-0.5719284605525985,-0.10342624203187314,,-0.9102687143493075,816420,726
main_research_2021_2023,tradable_only,label_20d_t1,volume_ratio_5_20,liquidity,watch,0.9904511877480162,-0.0029994640383818718,-0.03496263459647509,-0.005344428666807667,,-0.05671568768949368,816420,726
main_research_2021_2023,tradable_only,label_20d_t1,corr_ret_volume_20,price_volume,watch,0.990083599117302,-0.017822120519803003,-0.2370932035580908,-0.028684798846288318,,-0.32849788886068226,816117,726
recent_oos_2024_2026,tradable_only,label_10d_t1,ret_5,momentum,watch,0.9785728562233145,-0.025392932767525158,-0.1892979477703236,-0.034651296806984894,,-0.21666574273789393,621794,575
recent_oos_2024_2026,tradable_only,label_10d_t1,ret_10,momentum,watch,0.9780251774841087,-0.02872909838923573,-0.20386038385614413,-0.04324488121565505,,-0.2629694875554219,621446,575
recent_oos_2024_2026,tradable_only,label_10d_t1,ret_20,momentum,watch,0.977970094852292,-0.03720108778023181,-0.25178532806561493,-0.06855102472613836,,-0.3978669530246016,621411,575
recent_oos_2024_2026,tradable_only,label_10d_t1,rev_5,reversal,positive,0.9785728562233145,0.025392932767525158,0.1892979477703236,0.034651296806984894,0.034651296806984894,0.21666574273789393,621794,575
recent_oos_2024_2026,tradable_only,label_10d_t1,std_20,risk,negative,0.9729638705148967,-0.019084747520585782,-0.09708249790190536,-0.06324270920319208,0.06324270920319208,-0.2579150820909628,618230,575
recent_oos_2024_2026,tradable_only,label_10d_t1,amplitude_20,risk,negative,0.9732880711478749,-0.015381291080404098,-0.07357362867323368,-0.06805362410826742,0.06805362410826742,-0.26889074893867226,618436,575
recent_oos_2024_2026,tradable_only,label_10d_t1,amount_mean_20,liquidity,watch,0.9732880711478749,0.005300168433896177,0.049740338599963484,-0.01699345928164849,,-0.1159404214830451,618436,575
recent_oos_2024_2026,tradable_only,label_10d_t1,amount_std_20,liquidity,watch,0.9732880711478749,-0.0073921611740908446,-0.07230238829716502,-0.044976995180325365,,-0.34008639011685615,618436,575
