factor,side,date_count,row_count,valid_count,coverage,nonfinite_count
alpha158_MAX20,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_MAX20,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_MAX30,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_MAX30,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_MAX5,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_MAX5,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_MAX60,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_MAX60,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_MIN10,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_MIN10,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_MIN20,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_MIN20,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_MIN30,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_MIN30,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_MIN5,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_MIN5,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_MIN60,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_MIN60,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_QTLD10,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_QTLD10,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_QTLD20,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_QTLD20,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_QTLD30,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_QTLD30,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_QTLD5,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_QTLD5,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_QTLD60,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_QTLD60,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_QTLU10,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_QTLU10,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_QTLU20,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_QTLU20,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_QTLU30,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_QTLU30,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_QTLU5,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_QTLU5,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_QTLU60,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_QTLU60,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_RANK10,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_RANK10,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_RANK20,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_RANK20,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_RANK30,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_RANK30,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_RANK60,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_RANK60,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_RESI10,historical_pre_boundary,20,40000,39923,0.998075,0
alpha158_RESI10,canonical_continuation_post_boundary,15,30000,29956,0.9985333333333334,0
alpha158_RESI20,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_RESI20,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_RESI30,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_RESI30,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_RESI5,historical_pre_boundary,20,40000,39919,0.997975,0
alpha158_RESI5,canonical_continuation_post_boundary,15,30000,29954,0.9984666666666666,0
alpha158_RESI60,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_RESI60,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_ROC10,historical_pre_boundary,20,40000,39872,0.9968,0
alpha158_ROC10,canonical_continuation_post_boundary,15,30000,29891,0.9963666666666666,0
alpha158_ROC20,historical_pre_boundary,20,40000,39851,0.996275,0
alpha158_ROC20,canonical_continuation_post_boundary,15,30000,29907,0.9969,0
alpha158_ROC30,historical_pre_boundary,20,40000,39864,0.9966,0
alpha158_ROC30,canonical_continuation_post_boundary,15,30000,29918,0.9972666666666666,0
alpha158_ROC5,historical_pre_boundary,20,40000,39885,0.997125,0
alpha158_ROC5,canonical_continuation_post_boundary,15,30000,29911,0.9970333333333333,0
alpha158_ROC60,historical_pre_boundary,20,40000,39865,0.996625,0
alpha158_ROC60,canonical_continuation_post_boundary,15,30000,29940,0.998,0
alpha158_RSQR10,historical_pre_boundary,20,40000,39986,0.99965,0
alpha158_RSQR10,canonical_continuation_post_boundary,15,30000,29996,0.9998666666666667,0
alpha158_RSQR20,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_RSQR20,canonical_continuation_post_boundary,15,30000,30000,1.0,0
