outer_split_id,factor,window_count,eligible_window_count,selected_window_count,selection_frequency,frozen_direction,direction_agreement_ratio,direction_adjusted_positive_window_ratio,median_train_ic,median_validation_ic,median_development_degradation,worst_development_degradation,upstream_fdr_pass,upstream_fdr_q_value,coverage_min,coverage_median,stability_role,role_reason
split_002,alpha158_CNTN20,3,3,0,0.0,1,1.0,0.6666666666666666,0.025816124780492476,0.016256828610745053,,,False,0.1687668766876687,1.0,1.0,holdout,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.667;worst_development_degradation=nan;upstream_fdr_pass=False
split_002,alpha158_CNTN30,3,3,0,0.0,1,1.0,0.3333333333333333,0.037318761249015876,-0.004759423526499865,,,False,0.1237623762376237,1.0,1.0,holdout,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.333;worst_development_degradation=nan;upstream_fdr_pass=False
split_002,alpha158_CNTN60,3,3,0,0.0,1,1.0,0.0,0.02975444820625571,-0.02009075661384193,,,False,0.3069306930693069,1.0,1.0,holdout,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.000;worst_development_degradation=nan;upstream_fdr_pass=False
split_002,alpha158_CNTP10,3,3,3,1.0,-1,1.0,1.0,-0.026929048023694304,-0.04025046541877069,0.013321417395076387,-0.01592443600030167,True,0.0495049504950495,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=1.000;worst_development_degradation=-0.01592443600030167;upstream_fdr_pass=True
split_002,alpha158_CNTP20,3,3,2,0.6666666666666666,-1,1.0,1.0,-0.043896800911424984,-0.03500706837837447,-0.004724864302031801,-0.015085873854519427,True,0.0206270627062706,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=1.000;worst_development_degradation=-0.015085873854519427;upstream_fdr_pass=True
split_002,alpha158_CNTP30,3,3,1,0.3333333333333333,-1,1.0,0.3333333333333333,-0.060720159058767514,0.003452759236358055,0.02111802983350615,0.02111802983350615,True,0.0206270627062706,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.333;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.333;worst_development_degradation=0.02111802983350615;upstream_fdr_pass=True
split_002,alpha158_CNTP5,3,3,0,0.0,-1,1.0,1.0,-0.017661718485566583,-0.029137686605390713,,,False,0.0618811881188118,1.0,1.0,holdout,eligible_windows=3;selection_frequency=0.000;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=1.000;worst_development_degradation=nan;upstream_fdr_pass=False
split_002,alpha158_CNTP60,3,3,1,0.3333333333333333,-1,1.0,0.3333333333333333,-0.06024934585636582,0.029919443201763436,0.013312721156818946,0.013312721156818946,True,0.0206270627062706,1.0,1.0,conditional_signal,eligible_windows=3;selection_frequency=0.333;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.333;worst_development_degradation=0.013312721156818946;upstream_fdr_pass=True
split_002,alpha158_CORD10,3,3,2,0.6666666666666666,-1,1.0,0.6666666666666666,-0.03220326782710593,-0.057557257928660156,0.03698187062463945,0.028071299166133705,True,0.0206270627062706,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.667;worst_development_degradation=0.028071299166133705;upstream_fdr_pass=True
split_002,alpha158_CORD20,3,3,2,0.6666666666666666,-1,1.0,0.6666666666666666,-0.05194540020755113,-0.048442257428837905,0.03200058664213927,-0.0035031427787132266,True,0.0206270627062706,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_validation_positive_ratio=0.667;worst_development_degradation=-0.0035031427787132266;upstream_fdr_pass=True
