outer_split_id,inner_split_id,factor,train_count,validation_count,train_total,validation_total,train_mean_ic,validation_mean_ic,train_coverage,validation_coverage,selection_eligible,fdr_bh_pass,fdr_bh_q_value,selected,frozen_direction,selection_reason,eligible,internally_recomputed_fdr
split_002,split_002_inner_001,alpha158_CNTN20,474.0,40.0,474.0,40.0,0.036903239437448006,0.020193339806625975,1.0,1.0,True,False,0.1687668766876687,False,1,fdr_not_passed,True,False
split_002,split_002_inner_001,alpha158_CNTN30,474.0,40.0,474.0,40.0,0.0560618953687882,-0.021581371369634575,1.0,1.0,True,False,0.1237623762376237,False,1,direction_mismatch;fdr_not_passed,True,False
split_002,split_002_inner_001,alpha158_CNTN60,474.0,40.0,474.0,40.0,0.05474756146830058,-0.06915279708994454,1.0,1.0,True,False,0.3069306930693069,False,1,direction_mismatch;fdr_not_passed,True,False
split_002,split_002_inner_001,alpha158_CNTP10,474.0,40.0,474.0,40.0,-0.02539216420055368,-0.06675269779575577,1.0,1.0,True,True,0.0495049504950495,True,-1,selected,True,False
split_002,split_002_inner_001,alpha158_CNTP20,474.0,40.0,474.0,40.0,-0.0500929422328939,-0.03500706837837447,1.0,1.0,True,True,0.0206270627062706,True,-1,selected,True,False
split_002,split_002_inner_001,alpha158_CNTP30,474.0,40.0,474.0,40.0,-0.07416001928139312,0.003452759236358055,1.0,1.0,True,True,0.0206270627062706,False,-1,direction_mismatch;weak_validation_ic,True,False
split_002,split_002_inner_001,alpha158_CNTP5,474.0,40.0,474.0,40.0,-0.015948972385684757,-0.05945261073881129,1.0,1.0,True,False,0.0618811881188118,False,-1,fdr_not_passed,True,False
split_002,split_002_inner_001,alpha158_CNTP60,474.0,40.0,474.0,40.0,-0.07884672132421924,0.04404257904599146,1.0,1.0,True,True,0.0206270627062706,False,-1,direction_mismatch,True,False
split_002,split_002_inner_001,alpha158_CORD10,474.0,40.0,474.0,40.0,-0.02948595876252645,-0.057557257928660156,1.0,1.0,True,True,0.0206270627062706,True,-1,selected,True,False
split_002,split_002_inner_001,alpha158_CORD20,474.0,40.0,474.0,40.0,-0.05194540020755113,-0.048442257428837905,1.0,1.0,True,True,0.0206270627062706,True,-1,selected,True,False
split_002,split_002_inner_001,alpha158_CORD30,474.0,40.0,474.0,40.0,-0.06306404262796313,-0.027655990303827694,1.0,1.0,True,True,0.0206270627062706,True,-1,selected,True,False
split_002,split_002_inner_001,alpha158_CORD5,474.0,40.0,474.0,40.0,-0.01682027166189523,-0.058915931986130446,1.0,1.0,True,True,0.038080731150038,True,-1,selected,True,False
split_002,split_002_inner_001,alpha158_CORD60,474.0,40.0,474.0,40.0,-0.05019815348723354,0.0016041869606095848,1.0,1.0,True,True,0.0206270627062706,False,-1,direction_mismatch;weak_validation_ic,True,False
split_002,split_002_inner_001,alpha158_CORR10,474.0,40.0,474.0,40.0,-0.041815562555715016,-0.03296550728714681,1.0,1.0,True,True,0.0206270627062706,True,-1,selected,True,False
split_002,split_002_inner_002,alpha158_BETA10,625.0,40.0,625.0,40.0,-0.03585147703480882,0.00045256673902647376,1.0,1.0,True,True,0.0206270627062706,False,-1,direction_mismatch;weak_validation_ic,True,False
split_002,split_002_inner_002,alpha158_BETA20,625.0,40.0,625.0,40.0,-0.06337939969251931,-0.006726502036165274,1.0,1.0,True,True,0.0206270627062706,False,-1,weak_validation_ic,True,False
split_002,split_002_inner_002,alpha158_BETA30,625.0,40.0,625.0,40.0,-0.08427930331767253,-0.056393235997987304,1.0,1.0,True,True,0.0206270627062706,True,-1,selected,True,False
split_002,split_002_inner_002,alpha158_BETA5,625.0,40.0,625.0,40.0,-0.020753827020799982,0.01822156750879253,1.0,1.0,True,False,0.1042209484106305,False,-1,direction_mismatch;fdr_not_passed,True,False
split_002,split_002_inner_002,alpha158_BETA60,625.0,40.0,625.0,40.0,-0.074062746871607,-0.1273720548748575,1.0,1.0,True,True,0.0206270627062706,True,-1,selected,True,False
split_002,split_002_inner_002,alpha158_CNTD10,625.0,40.0,625.0,40.0,-0.02093257474532908,-0.01344917497125057,1.0,1.0,True,False,0.1532296086751532,False,-1,fdr_not_passed,True,False
split_002,split_002_inner_002,alpha158_CNTD20,625.0,40.0,625.0,40.0,-0.03512826579873296,-0.014647566450185247,1.0,1.0,True,False,0.0825082508250825,False,-1,fdr_not_passed,True,False
split_002,split_002_inner_002,alpha158_CNTD30,625.0,40.0,625.0,40.0,-0.05014090792238772,-0.039826997128869855,1.0,1.0,True,True,0.0495049504950495,True,-1,selected,True,False
split_002,split_002_inner_002,alpha158_CNTD5,625.0,40.0,625.0,40.0,-0.013202898252778284,-0.008646571165767402,1.0,1.0,True,False,0.2152389151958674,False,-1,weak_validation_ic;fdr_not_passed,True,False
split_002,split_002_inner_002,alpha158_CNTD60,625.0,40.0,625.0,40.0,-0.046438847374683054,-0.028576261101296047,1.0,1.0,True,False,0.0825082508250825,False,-1,fdr_not_passed,True,False
split_002,split_002_inner_002,alpha158_CNTN10,625.0,40.0,625.0,40.0,0.015121390834951407,-0.012931934828826219,1.0,1.0,True,False,0.2681518151815181,False,1,direction_mismatch;fdr_not_passed,True,False
split_002,split_002_inner_002,alpha158_CNTN20,625.0,40.0,625.0,40.0,0.025816124780492476,-0.020195560951984805,1.0,1.0,True,False,0.1687668766876687,False,1,direction_mismatch;fdr_not_passed,True,False
split_002,split_002_inner_002,alpha158_CNTN30,625.0,40.0,625.0,40.0,0.037318761249015876,-0.004759423526499865,1.0,1.0,True,False,0.1237623762376237,False,1,direction_mismatch;weak_validation_ic;fdr_not_passed,True,False
split_002,split_002_inner_002,alpha158_CNTN60,625.0,40.0,625.0,40.0,0.02975444820625571,-0.02009075661384193,1.0,1.0,True,False,0.3069306930693069,False,1,direction_mismatch;fdr_not_passed,True,False
