datetime,instrument,alpha360_CLOSE0,alpha360_CLOSE5,alpha360_CLOSE20,alpha360_CLOSE59,alpha360_OPEN0,alpha360_OPEN5,alpha360_OPEN20,alpha360_OPEN59,alpha360_HIGH0,alpha360_HIGH5,alpha360_HIGH20,alpha360_HIGH59,alpha360_LOW0,alpha360_LOW5,alpha360_LOW20,alpha360_LOW59,alpha360_VWAP0,alpha360_VWAP5,alpha360_VWAP20,alpha360_VWAP59,alpha360_VOLUME0,alpha360_VOLUME5,alpha360_VOLUME20,alpha360_VOLUME59
2021-01-07,SH600000,1.0,0.96844584,1.0101886,0.9806873,1.0020387,0.97048473,1.0173241,0.972532,1.0122324,0.9725235,1.0285372,0.9908816,0.9847095,0.9623294,1.0101886,0.97151256,0.9946339,0.96577585,1.0190215,0.9830378,1.0,0.9613332,0.7722884,1.1585652
2021-01-08,SH600000,1.0,0.9847485,0.9990136,0.98884594,1.0,0.9674543,1.0081695,0.9776553,1.0071211,0.9857658,1.0132562,0.9939326,0.9898271,0.9654198,0.99290967,0.97663796,0.9972781,0.9799082,1.0024618,0.9872378,1.0,1.1826185,0.7060687,1.341318
2021-01-11,SH600000,1.0,1.0,1.0010777,0.9959203,1.0144479,0.99484,1.0155263,1.0041766,1.0257999,1.004128,1.0196544,1.0248175,0.99896806,0.98555213,1.0000457,0.99488825,1.0123236,0.9947451,1.0059202,1.0085447,1.0,0.8278966,0.63676995,1.1124477
2021-01-12,SH600000,1.0,0.9897803,0.9969493,0.97956073,0.99182004,0.9897803,0.9969493,0.98467314,1.0010225,0.9897803,1.0020618,0.9867182,0.97955,0.97342026,0.98979175,0.97240317,0.98815936,0.9817667,0.99477375,0.97875667,1.0,0.9493418,0.6829053,0.82291836
2021-01-13,SH600000,1.0,0.9979534,0.9867354,0.98574996,0.99085367,0.9776285,0.9887678,0.9735552,1.004065,0.99896973,0.989784,0.98574996,0.9878049,0.9776285,0.9755571,0.9664415,0.9969246,0.9920357,0.98063976,0.9771232,1.0,1.0828944,0.688163,1.078368
2021-01-14,SH600000,1.0,0.99387896,0.97770727,0.97770727,0.99594736,0.99590516,0.9847994,0.9797336,1.0091186,1.0060365,0.99087846,0.98885214,0.9888552,0.97868204,0.97669417,0.97162825,0.9994816,0.98854566,0.98192394,0.9786241,1.0,1.0317011,0.8673707,0.8545402
2021-01-15,SH600000,1.0,0.9909022,0.98488724,0.9778195,1.0060484,0.9909022,0.97178227,0.97076315,1.03125,0.9979585,0.98690337,0.9868921,1.0,0.98082185,0.9667419,0.96975505,1.0151458,0.9882051,0.9757442,0.97957414,1.0,0.3900455,0.2998666,0.4959522
2021-01-18,SH600000,1.0,0.9612994,0.96825516,0.95241976,0.984127,0.97518814,0.96627104,0.9643251,1.0039682,0.9861008,0.97123134,0.9673013,0.9791667,0.9603074,0.9613107,0.9514277,0.9909373,0.973146,0.96582645,0.95757824,1.0,0.7883105,0.3307873,0.54683656
2021-01-19,SH600000,1.0,0.9625606,0.9596241,0.9330495,0.9911417,0.9546869,0.954703,0.94387597,1.0059055,0.9635448,0.96159256,0.94387597,0.9822835,0.9428762,0.94978184,0.9330495,0.995326,0.95116323,0.9570069,0.9376974,1.0,0.6850727,0.38599005,0.45961612
2021-01-20,SH600000,1.0,0.9860239,0.9629297,0.94192827,1.01503,0.9770054,0.97695786,0.9499447,1.02004,0.99003214,0.97695786,0.95395285,0.997996,0.97399926,0.95691764,0.9399241,1.0069762,0.9829915,0.9658259,0.94369364,1.0,0.8578756,0.7569227,0.6887847
2021-01-21,SH600000,1.0,0.9899753,0.95788133,0.939777,1.002006,0.9859633,0.9628964,0.93777114,1.0100302,0.9990024,0.9669085,0.94780076,0.9959879,0.97894216,0.9508602,0.9367681,1.0029173,0.9894621,0.95696974,0.9408165,1.0,1.0319892,0.72088647,0.81512403
2021-01-22,SH600000,1.0,1.0132561,0.9754685,0.94583267,1.0173646,1.0193847,0.9754685,0.95808965,1.0183861,1.0449203,0.9867043,0.9652396,0.99693567,1.0132561,0.97138274,0.9448112,1.0031443,1.0286026,0.9785593,0.9537843,1.0,2.3120768,0.4019461,0.9059933
2021-01-25,SH600000,1.0,1.0369859,0.985574,0.9516574,1.005144,1.0205257,0.98351645,0.95474386,1.0061728,1.0411009,0.9886603,0.959888,0.994856,1.015382,0.9783725,0.94857097,0.99759936,1.0275879,0.9838965,0.9531762,1.0,1.8642887,0.43363723,0.9001279
2021-01-26,SH600000,1.0,1.0496224,0.9886731,0.9607798,1.0010331,1.0403246,0.98660696,0.96181285,1.0103306,1.0558211,0.9948717,0.9711107,0.99793386,1.0310268,0.98144144,0.95871353,1.002372,1.0447165,0.98771363,0.96340686,1.0,2.0766883,0.8467077,1.702047
2021-01-27,SH600000,1.0,1.0256803,0.97945577,0.959908,0.99383354,1.0410963,0.9856223,0.9609357,1.0154161,1.0462351,0.9887056,0.9660744,0.9928058,1.0236248,0.978428,0.95374155,1.0052358,1.0328357,0.98222524,0.9591246,1.0,1.2072575,0.8001921,0.9108671
2021-01-28,SH600000,1.0,1.0321211,0.9834761,0.9689599,1.0072464,1.0341915,0.98554665,0.979312,1.0082816,1.0424733,0.9876171,0.979312,0.994824,1.0279801,0.9772647,0.9658542,1.0004995,1.035132,0.9807647,0.970515,1.0,1.0240718,1.0481741,1.0670613
2021-01-29,SH600000,1.0,0.98300004,0.9719164,0.9427843,0.97289145,1.0000695,0.9548476,0.9407763,1.0170683,1.0010736,0.9729204,0.9468004,0.96887547,0.9799878,0.95283955,0.9367602,0.9953249,0.9860909,0.9671392,0.94266564,1.0,0.5368457,0.5725477,0.554573
2021-02-01,SH600000,1.0,0.9310567,0.92812747,0.903265,0.9521073,0.9358461,0.92333835,0.90230715,1.0038314,0.93680394,0.93195873,0.9080543,0.9482759,0.9262673,0.914718,0.89943355,0.983366,0.92882156,0.9232502,0.90376127,1.0,0.28427172,0.34587586,0.48897618
2021-02-02,SH600000,1.0,0.94716096,0.94716096,0.9256313,1.0127201,0.9481394,0.94716096,0.9266097,1.0244617,0.95694566,0.94716096,0.9383514,0.99315065,0.945204,0.9315054,0.92367435,1.0049815,0.94940764,0.9394924,0.9297618,1.0,0.30347386,0.40987542,0.6409113
2021-02-03,SH600000,1.0,0.94831353,0.95710963,0.9317389,0.9931775,0.9424658,0.9376166,0.9249165,1.0165693,0.9629329,0.95808434,0.93368816,0.9805069,0.9414911,0.9376166,0.9200434,1.0008067,0.9532787,0.95143414,0.9269154,1.0,0.42070812,0.4718362,0.4893165
2021-02-04,SH600000,1.0,0.9396358,0.9542189,0.9172894,0.99319065,0.9464447,0.9561643,0.92604405,1.012646,0.94741744,0.9658913,0.92701674,0.9844358,0.93477225,0.9396284,0.9172894,0.9980923,0.94010514,0.94909847,0.9204503,1.0,0.5690708,0.62047714,0.56394815
2021-02-05,SH600000,1.0,0.92909825,0.9169913,0.87315613,0.95895517,0.90391177,0.9169913,0.87782043,1.0093282,0.94495636,0.9235213,0.87782043,0.9561567,0.9001805,0.9076628,0.8703575,0.9918026,0.9247546,0.91449535,0.873112,1.0,0.58953774,0.2854162,0.22970627
2021-02-08,SH600000,1.0,0.97390753,0.90391034,0.8815752,0.9990671,0.9272645,0.91696995,0.87504506,1.0083956,0.977639,0.9272311,0.88250816,0.98041046,0.9235331,0.9029776,0.87411225,0.99876964,0.9577076,0.91504973,0.87941164,1.0,1.3267152,0.5542706,0.23252259
2021-02-09,SH600000,1.0,0.95691043,0.91570646,0.892311,1.0018727,0.9690825,0.908216,0.88575673,1.005618,0.9803182,0.9166428,0.892311,0.9868914,0.9503562,0.8969803,0.8838841,0.9950017,0.9616773,0.9048639,0.88867205,1.0,1.3157493,0.5680707,0.4735518
2021-02-10,SH600000,1.0,0.9598102,0.9205275,0.90740997,0.9981291,0.95326185,0.91210806,0.8915069,1.0149673,0.9757135,0.9242695,0.9139583,0.9878391,0.9411005,0.9093016,0.88870054,1.0004675,0.96058446,0.91769654,0.90619683,1.0,1.2479132,0.54373777,1.0411341
2021-02-18,SH600000,1.0,0.9492424,0.9113636,0.89938015,0.9972299,0.94277865,0.90767014,0.8956866,1.0175438,0.96124643,0.91967386,0.9030737,0.99168974,0.9344682,0.9012066,0.89014626,1.0035449,0.94743156,0.9108912,0.8975974,1.0,0.64166766,0.38590646,0.44518203
2021-02-19,SH600000,1.0,0.9771553,0.90426975,0.88149303,0.98723793,0.93704814,0.9097392,0.8824046,1.0136737,0.9862705,0.93252814,0.8860509,0.9817684,0.93431354,0.90426975,0.8760236,1.0020682,0.9691451,0.9179656,0.88000983,1.0,1.5905238,1.1638675,0.37934485
2021-02-22,SH600000,1.0,1.0009054,0.9411518,0.92436796,1.0196078,0.9999716,0.9262129,0.90195906,1.022409,1.0093085,0.94488657,0.92623544,0.9990663,0.9812981,0.92154455,0.89915794,1.0068169,0.99967384,0.93262243,0.91683555,1.0,1.0762602,0.7567315,0.7271067
2021-02-23,SH600000,1.0,0.99072856,0.9425033,0.9137203,0.9935065,0.9925838,0.93415433,0.92021376,1.0194805,0.99629444,0.9480693,0.92485195,0.9935065,0.9777415,0.9258054,0.9109374,1.0047987,0.98577654,0.938098,0.91795963,1.0,1.0701153,0.8873528,0.6559922
