datetime,cash,nav,turnover,accounting_error,daily_return,holding_valuation_missing_count,unfilled_shares,calendar_mode
2022-09-02,8267086.28705735,9960894.505143862,0.2626971548018342,8.381903171539307e-09,0.0011530634854075572,3,8379200,signal_date_only
2022-09-05,8267086.28705735,9973188.346702557,0.0,0.0,0.001234210597486518,3,0,signal_date_only
2022-09-06,8267086.28705735,9981078.075692754,0.0,0.0,0.0007910939526982741,3,0,signal_date_only
2022-09-07,8267086.28705735,9969201.843548518,0.0,0.0,-0.0011898746862986087,3,0,signal_date_only
2022-09-08,8267086.28705735,9968712.755493026,0.0,0.0,-4.905990099979274e-05,3,0,signal_date_only
2022-09-09,8267086.28705735,9976026.416925292,0.0,0.0,0.0007336615681132752,3,0,signal_date_only
2022-09-13,8267086.28705735,9977345.941439968,0.0,0.0,0.00013226954896961018,3,0,signal_date_only
2022-09-14,8267086.28705735,9962047.003326517,0.0,0.0,-0.0015333675110841272,3,0,signal_date_only
2022-09-15,8267086.28705735,9947487.876150709,0.0,0.0,-0.001461459393932385,3,0,signal_date_only
2022-09-16,8267086.28705735,9904665.101144414,0.0,0.0,-0.004304883357431621,3,0,signal_date_only
2022-09-19,8267086.28705735,9894239.136955839,0.0,0.0,-0.0010526316722582196,3,0,signal_date_only
2022-09-20,8267086.28705735,9901060.028139453,0.0,0.0,0.0006893800613871903,3,0,signal_date_only
2022-09-21,8267086.28705735,9906466.661829453,0.0,0.0,0.0005460661459109062,3,0,signal_date_only
2022-09-22,8267086.28705735,9892648.703855973,0.0,0.0,-0.001394842222275039,3,0,signal_date_only
2022-09-23,8267086.28705735,9876685.083994966,0.0,0.0,-0.0016136851048581535,3,0,signal_date_only
2022-09-26,8267086.28705735,9840596.924272876,0.0,0.0,-0.0036538736848631403,3,0,signal_date_only
2022-09-27,8267086.28705735,9872159.099737506,0.0,0.0,0.00320734358977548,3,0,signal_date_only
2022-09-28,8267086.28705735,9846334.639090996,0.0,0.0,-0.00261588780991151,3,0,signal_date_only
2022-09-29,8267086.28705735,9833868.930277925,0.0,0.0,-0.0012660253048459857,3,0,signal_date_only
2022-09-30,8267086.28705735,9836984.179425936,0.0,0.0,0.000316787743470881,3,0,signal_date_only
2022-10-10,7938342.495651498,9816911.932625577,0.22215800176884126,-1.862645149230957e-09,-0.0020404878603281773,3,7815500,signal_date_only
2022-10-11,7938342.495651498,9801296.373205587,0.0,0.0,-0.0015906793834110644,3,0,signal_date_only
2022-10-12,7938342.495651498,9840321.405496404,0.0,0.0,0.003981619451637108,3,0,signal_date_only
2022-10-13,7938342.495651498,9868378.701799318,0.0,0.0,0.00285125811919551,3,0,signal_date_only
2022-10-14,7938342.495651498,9919208.492466018,0.0,0.0,0.005150774225702426,3,0,signal_date_only
2022-10-17,7938342.495651498,9944497.567491934,0.0,0.0,0.0025495053405848456,3,0,signal_date_only
2022-10-18,7938342.495651498,9970432.915633127,0.0,0.0,0.0026080099034841986,3,0,signal_date_only
2022-10-19,7938342.495651498,9938842.673652574,0.0,0.0,-0.0031683922100333994,3,0,signal_date_only
2022-10-20,7938342.495651498,9934731.876542374,0.0,0.0,-0.0004136092345135012,3,0,signal_date_only
2022-10-21,7938342.495651498,9940975.4287384,0.0,0.0,0.0006284570407750767,3,0,signal_date_only
2022-10-24,7938342.495651498,9900241.17627959,0.0,0.0,-0.004097611220429287,3,0,signal_date_only
2022-10-25,7938342.495651498,9879673.825149938,0.0,0.0,-0.002077459605623444,3,0,signal_date_only
2022-10-26,7938342.495651498,9933530.568750903,0.0,0.0,0.005451267375231161,3,0,signal_date_only
2022-10-27,7938342.495651498,9953355.156176493,0.0,0.0,0.001995724207861649,3,0,signal_date_only
2022-10-28,7938342.495651498,9879115.165504023,0.0,0.0,-0.007458790478947153,3,0,signal_date_only
2022-10-31,7938342.495651498,9893903.898581073,0.0,0.0,0.0014969693974911102,3,0,signal_date_only
2022-11-01,7938342.495651498,9927622.90289323,0.0,0.0,0.0034080586043485628,3,0,signal_date_only
2022-11-02,7938342.495651498,9952379.122691557,0.0,0.0,0.002493670442610396,3,0,signal_date_only
2022-11-03,7938342.495651498,9956978.187825486,0.0,0.0,0.00046210710798222365,3,0,signal_date_only
