api,parameters,status,row_count,columns,elapsed_seconds,error
fina_indicator,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,end_date,current_ratio,cash_ratio,roa,debt_to_assets,netprofit_margin,grossprofit_margin,assets_yoy,or_yoy,netprofit_yoy,q_ocf_to_sales"", ""start_date"": 20090101, ""ts_code"": ""300507.SZ""}",accessible_nonempty,62,"ts_code,ann_date,end_date,current_ratio,cash_ratio,roa,debt_to_assets,netprofit_margin,grossprofit_margin,assets_yoy,or_yoy,netprofit_yoy,q_ocf_to_sales",0.1,
income,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,oper_cost,operate_profit,n_income_attr_p,update_flag"", ""start_date"": 20090101, ""ts_code"": ""603779.SH""}",accessible_nonempty,38,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,oper_cost,operate_profit,n_income_attr_p,update_flag",0.077,
balancesheet,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,update_flag"", ""start_date"": 20090101, ""ts_code"": ""603779.SH""}",accessible_nonempty,46,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,update_flag",0.086,
cashflow,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,n_cashflow_act,update_flag"", ""start_date"": 20090101, ""ts_code"": ""603779.SH""}",accessible_nonempty,37,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,n_cashflow_act,update_flag",0.082,
fina_indicator,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,end_date,current_ratio,cash_ratio,roa,debt_to_assets,netprofit_margin,grossprofit_margin,assets_yoy,or_yoy,netprofit_yoy,q_ocf_to_sales"", ""start_date"": 20090101, ""ts_code"": ""603779.SH""}",accessible_nonempty,58,"ts_code,ann_date,end_date,current_ratio,cash_ratio,roa,debt_to_assets,netprofit_margin,grossprofit_margin,assets_yoy,or_yoy,netprofit_yoy,q_ocf_to_sales",0.112,
income,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,oper_cost,operate_profit,n_income_attr_p,update_flag"", ""start_date"": 20090101, ""ts_code"": ""603989.SH""}",accessible_nonempty,45,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,oper_cost,operate_profit,n_income_attr_p,update_flag",0.089,
balancesheet,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,update_flag"", ""start_date"": 20090101, ""ts_code"": ""603989.SH""}",accessible_nonempty,53,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,update_flag",0.082,
cashflow,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,n_cashflow_act,update_flag"", ""start_date"": 20090101, ""ts_code"": ""603989.SH""}",accessible_nonempty,40,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,n_cashflow_act,update_flag",0.07,
fina_indicator,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,end_date,current_ratio,cash_ratio,roa,debt_to_assets,netprofit_margin,grossprofit_margin,assets_yoy,or_yoy,netprofit_yoy,q_ocf_to_sales"", ""start_date"": 20090101, ""ts_code"": ""603989.SH""}",accessible_nonempty,70,"ts_code,ann_date,end_date,current_ratio,cash_ratio,roa,debt_to_assets,netprofit_margin,grossprofit_margin,assets_yoy,or_yoy,netprofit_yoy,q_ocf_to_sales",0.078,
income,"{""end_date"": 20211231, ""fields"": ""ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,oper_cost,operate_profit,n_income_attr_p,update_flag"", ""start_date"": 20090101, ""ts_code"": ""300838.SZ""}",accessible_nonempty,31,"ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,oper_cost,operate_profit,n_income_attr_p,update_flag",0.08,
