factor,source_family,dependency_class,filter_only_reuse_allowed,common_key_count,bit_identical_count,difference_count,bit_identical,max_absolute_difference
alpha360_LOW24,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW25,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW26,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW27,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW28,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW29,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW3,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW30,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW31,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW32,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW33,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW34,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW35,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW36,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW37,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW38,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW39,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW4,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW40,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW41,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW42,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW43,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW44,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW45,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW46,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW47,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW48,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW49,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW5,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW50,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
alpha360_LOW51,alpha360,pure_time_series,True,2587671,2587671,0,True,0.0
