factor,split_id,test_family,metric,train_mean_ic,validation_mean_ic,test_mean_ic,train_count,validation_count,test_count,train_coverage,validation_coverage,test_coverage,selection_eligible,eligible,eligibility_reason,raw_statistic,bootstrap_standard_error,raw_p_value,bootstrap_samples,block_length,random_seed,observation_count,fdr_bh_q_value,fdr_by_q_value,fdr_bh_pass,fdr_by_pass,selected,frozen_direction,selection_reason,test_metrics_used_in_selection
std_20|10d_t1,split_004,split_004|selection_history,daily_rank_ic,-0.08545193839944873,-0.0920984080462856,-0.043003710252632533,78,83,118,0.07407407407407407,1.0,1.0,False,False,train_coverage=0.0740741<0.8,,,,1000,20,20260712,161,,,False,False,False,-1,selection_ineligible;fdr_not_passed,False
std_20|20d_t1,split_004,split_004|selection_history,daily_rank_ic,-0.09580287414557034,-0.12471090516701165,-0.03036704824684733,78,83,118,0.07407407407407407,1.0,1.0,False,False,train_coverage=0.0740741<0.8,,,,1000,20,20260712,161,,,False,False,False,-1,selection_ineligible;fdr_not_passed,False
amount_mean_20|10d_t1,split_005,split_005|selection_history,daily_rank_ic,-0.06072934318330409,-0.03690495108614349,-0.07286439305730176,202,77,125,0.17162276975361088,1.0,1.0,False,False,train_coverage=0.171623<0.8,,,,1000,20,20260712,279,,,False,False,False,-1,selection_ineligible;fdr_not_passed,False
amount_mean_20|20d_t1,split_005,split_005|selection_history,daily_rank_ic,-0.08757482220149834,-0.046493894247286505,-0.09297799116843072,202,77,125,0.17162276975361088,1.0,1.0,False,False,train_coverage=0.171623<0.8,,,,1000,20,20260712,279,,,False,False,False,-1,selection_ineligible;fdr_not_passed,False
downside_std_20|10d_t1,split_005,split_005|selection_history,daily_rank_ic,-0.044068477468315645,-0.007355362207406097,-0.07192278190007653,202,77,125,0.17162276975361088,1.0,1.0,False,False,train_coverage=0.171623<0.8,,,,1000,20,20260712,279,,,False,False,False,-1,selection_ineligible;weak_validation_ic;fdr_not_passed,False
downside_std_20|20d_t1,split_005,split_005|selection_history,daily_rank_ic,-0.04784080330731965,0.006459959558070155,-0.0781134586651213,202,77,125,0.17162276975361088,1.0,1.0,False,False,train_coverage=0.171623<0.8,,,,1000,20,20260712,279,,,False,False,False,-1,direction_mismatch;selection_ineligible;weak_validation_ic;fdr_not_passed,False
rev_20_exclude_5|10d_t1,split_005,split_005|selection_history,daily_rank_ic,0.007314267457230902,0.05943871294774023,0.08037382429220542,202,77,125,0.17162276975361088,1.0,1.0,False,False,train_coverage=0.171623<0.8,,,,1000,20,20260712,279,,,False,False,False,1,selection_ineligible;fdr_not_passed,False
rev_20_exclude_5|20d_t1,split_005,split_005|selection_history,daily_rank_ic,0.03865842242168149,0.08925910085282777,0.12939684902588938,202,77,125,0.17162276975361088,1.0,1.0,False,False,train_coverage=0.171623<0.8,,,,1000,20,20260712,279,,,False,False,False,1,selection_ineligible;fdr_not_passed,False
rev_5|10d_t1,split_005,split_005|selection_history,daily_rank_ic,0.016015677032252255,0.033363305154681916,0.021545603382700947,202,77,125,0.17162276975361088,1.0,1.0,False,False,train_coverage=0.171623<0.8,,,,1000,20,20260712,279,,,False,False,False,1,selection_ineligible;fdr_not_passed,False
rev_5|20d_t1,split_005,split_005|selection_history,daily_rank_ic,0.0012279116294705858,0.036247196135782936,0.05676894347441262,202,77,125,0.17162276975361088,1.0,1.0,False,False,train_coverage=0.171623<0.8,,,,1000,20,20260712,279,,,False,False,False,1,selection_ineligible;fdr_not_passed,False
