factor,rows,finite_count,missing_count,infinite_count,first_finite_date,last_finite_date,min_count_variable_dates,coverage,source,economic_family
alpha360_HIGH14,6640610,6352187,288423,0,2010-01-29,2023-12-29,3382,0.956566791303811,alpha360,PriceTrend
alpha360_HIGH15,6640610,6350283,290327,0,2010-01-29,2023-12-29,3382,0.9562800706561596,alpha360,PriceTrend
alpha360_HIGH16,6640610,6348525,292085,0,2010-01-29,2023-12-29,3382,0.9560153359405236,alpha360,PriceTrend
alpha360_HIGH17,6640610,6346772,293838,0,2010-01-29,2023-12-29,3382,0.9557513541677647,alpha360,PriceTrend
alpha360_HIGH18,6640610,6345106,295504,0,2010-01-29,2023-12-29,3382,0.9555004736010698,alpha360,PriceTrend
alpha360_HIGH19,6640610,6343480,297130,0,2010-01-29,2023-12-29,3382,0.9552556165773928,alpha360,PriceTrend
alpha360_HIGH2,6640610,6395477,245133,0,2010-01-29,2023-12-29,3382,0.9630857707349174,alpha360,PriceTrend
alpha360_HIGH20,6640610,6341899,298711,0,2010-01-29,2023-12-29,3382,0.9550175360396108,alpha360,PriceTrend
alpha360_HIGH21,6640610,6340412,300198,0,2010-01-29,2023-12-29,3382,0.9547936108279209,alpha360,PriceTrend
alpha360_HIGH22,6640610,6339002,301608,0,2010-01-29,2023-12-29,3382,0.9545812809365405,alpha360,PriceTrend
alpha360_HIGH23,6640610,6337558,303052,0,2010-01-29,2023-12-29,3382,0.9543638310335948,alpha360,PriceTrend
alpha360_HIGH24,6640610,6336228,304382,0,2010-01-29,2023-12-29,3382,0.9541635482282501,alpha360,PriceTrend
alpha360_HIGH25,6640610,6334877,305733,0,2010-01-29,2023-12-29,3382,0.9539601030628211,alpha360,PriceTrend
alpha360_HIGH26,6640610,6333673,306937,0,2010-01-29,2023-12-29,3382,0.9537787944179826,alpha360,PriceTrend
alpha360_HIGH27,6640610,6332455,308155,0,2010-01-29,2023-12-29,3382,0.9535953775330881,alpha360,PriceTrend
alpha360_HIGH28,6640610,6331273,309337,0,2010-01-29,2023-12-29,3382,0.9534173818369096,alpha360,PriceTrend
alpha360_HIGH29,6640610,6330110,310500,0,2010-01-29,2023-12-29,3382,0.9532422473236646,alpha360,PriceTrend
alpha360_HIGH3,6640610,6388709,251901,0,2010-01-29,2023-12-29,3382,0.9620665872562912,alpha360,PriceTrend
alpha360_HIGH30,6640610,6329007,311603,0,2010-01-29,2023-12-29,3382,0.9530761481249463,alpha360,PriceTrend
alpha360_HIGH31,6640610,6327915,312695,0,2010-01-29,2023-12-29,3382,0.952911705400558,alpha360,PriceTrend
alpha360_HIGH32,6640610,6326889,313721,0,2010-01-29,2023-12-29,3382,0.9527572015221493,alpha360,PriceTrend
alpha360_HIGH33,6640610,6325870,314740,0,2010-01-29,2023-12-29,3382,0.9526037517637687,alpha360,PriceTrend
alpha360_HIGH34,6640610,6324936,315674,0,2010-01-29,2023-12-29,3382,0.9524631020343011,alpha360,PriceTrend
alpha360_HIGH35,6640610,6323987,316623,0,2010-01-29,2023-12-29,3382,0.9523201934762018,alpha360,PriceTrend
alpha360_HIGH36,6640610,6323017,317593,0,2010-01-29,2023-12-29,3382,0.952174122558018,alpha360,PriceTrend
alpha360_HIGH37,6640610,6322102,318508,0,2010-01-29,2023-12-29,3382,0.9520363340114839,alpha360,PriceTrend
alpha360_HIGH38,6640610,6321176,319434,0,2010-01-29,2023-12-29,3382,0.9518968889906199,alpha360,PriceTrend
alpha360_HIGH39,6640610,6320261,320349,0,2010-01-29,2023-12-29,3382,0.9517591004440857,alpha360,PriceTrend
alpha360_HIGH4,6640610,6382683,257927,0,2010-01-29,2023-12-29,3382,0.9611591405006468,alpha360,PriceTrend
alpha360_HIGH40,6640610,6319416,321194,0,2010-01-29,2023-12-29,3382,0.9516318530978328,alpha360,PriceTrend
alpha360_HIGH41,6640610,6318588,322022,0,2010-01-29,2023-12-29,3382,0.9515071657573626,alpha360,PriceTrend
alpha360_HIGH42,6640610,6317813,322797,0,2010-01-29,2023-12-29,3382,0.9513904596113911,alpha360,PriceTrend
alpha360_HIGH43,6640610,6317032,323578,0,2010-01-29,2023-12-29,3382,0.9512728499339669,alpha360,PriceTrend
alpha360_HIGH44,6640610,6316250,324360,0,2010-01-29,2023-12-29,3382,0.9511550896679672,alpha360,PriceTrend
alpha360_HIGH45,6640610,6315494,325116,0,2010-01-29,2023-12-29,3382,0.9510412447049292,alpha360,PriceTrend
alpha360_HIGH46,6640610,6314760,325850,0,2010-01-29,2023-12-29,3382,0.9509307126905511,alpha360,PriceTrend
alpha360_HIGH47,6640610,6314052,326558,0,2010-01-29,2023-12-29,3382,0.9508240959791344,alpha360,PriceTrend
alpha360_HIGH48,6640610,6313347,327263,0,2010-01-29,2023-12-29,3382,0.9507179310334443,alpha360,PriceTrend
alpha360_HIGH49,6640610,6312696,327914,0,2010-01-29,2023-12-29,3382,0.9506198978708281,alpha360,PriceTrend
alpha360_HIGH5,6640610,6377363,263247,0,2010-01-29,2023-12-29,3382,0.9603580092792681,alpha360,PriceTrend
alpha360_HIGH50,6640610,6312038,328572,0,2010-01-29,2023-12-29,3382,0.9505208105881839,alpha360,PriceTrend
alpha360_HIGH51,6640610,6311393,329217,0,2010-01-29,2023-12-29,3382,0.9504236809570206,alpha360,PriceTrend
alpha360_HIGH52,6640610,6310744,329866,0,2010-01-29,2023-12-29,3382,0.9503259489715553,alpha360,PriceTrend
alpha360_HIGH53,6640610,6310075,330535,0,2010-01-29,2023-12-29,3382,0.9502252052145812,alpha360,PriceTrend
alpha360_HIGH54,6640610,6309489,331121,0,2010-01-29,2023-12-29,3382,0.9501369603093691,alpha360,PriceTrend
alpha360_HIGH55,6640610,6308932,331678,0,2010-01-29,2023-12-29,3382,0.9500530824728451,alpha360,PriceTrend
alpha360_HIGH56,6640610,6308422,332188,0,2010-01-29,2023-12-29,3382,0.949976282299367,alpha360,PriceTrend
alpha360_HIGH57,6640610,6307944,332666,0,2010-01-29,2023-12-29,3382,0.9499043009603033,alpha360,PriceTrend
alpha360_HIGH58,6640610,6307433,333177,0,2010-01-29,2023-12-29,3382,0.9498273501982498,alpha360,PriceTrend
alpha360_HIGH59,6640610,6306982,333628,0,2010-01-29,2023-12-29,3382,0.9497594347507232,alpha360,PriceTrend
alpha360_HIGH6,6640610,6373274,267336,0,2010-01-29,2023-12-29,3382,0.9597422525942647,alpha360,PriceTrend
alpha360_HIGH7,6640610,6369710,270900,0,2010-01-29,2023-12-29,3382,0.959205554911371,alpha360,PriceTrend
alpha360_HIGH8,6640610,6366413,274197,0,2010-01-29,2023-12-29,3382,0.9587090643781219,alpha360,PriceTrend
alpha360_HIGH9,6640610,6363307,277303,0,2010-01-29,2023-12-29,3382,0.9582413362627831,alpha360,PriceTrend
alpha360_LOW0,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha360,PriceTrend
alpha360_LOW1,6640610,6403308,237302,0,2010-01-29,2023-12-29,3382,0.9642650298692439,alpha360,PriceTrend
alpha360_LOW10,6640610,6360421,280189,0,2010-01-29,2023-12-29,3382,0.9578067376340427,alpha360,PriceTrend
alpha360_LOW11,6640610,6358242,282368,0,2010-01-29,2023-12-29,3382,0.9574786051281433,alpha360,PriceTrend
alpha360_LOW12,6640610,6356235,284375,0,2010-01-29,2023-12-29,3382,0.957176373857221,alpha360,PriceTrend
alpha360_LOW13,6640610,6354189,286421,0,2010-01-29,2023-12-29,3382,0.9568682696318561,alpha360,PriceTrend
alpha360_LOW14,6640610,6352187,288423,0,2010-01-29,2023-12-29,3382,0.956566791303811,alpha360,PriceTrend
alpha360_LOW15,6640610,6350283,290327,0,2010-01-29,2023-12-29,3382,0.9562800706561596,alpha360,PriceTrend
alpha360_LOW16,6640610,6348525,292085,0,2010-01-29,2023-12-29,3382,0.9560153359405236,alpha360,PriceTrend
alpha360_LOW17,6640610,6346772,293838,0,2010-01-29,2023-12-29,3382,0.9557513541677647,alpha360,PriceTrend
alpha360_LOW18,6640610,6345106,295504,0,2010-01-29,2023-12-29,3382,0.9555004736010698,alpha360,PriceTrend
alpha360_LOW19,6640610,6343480,297130,0,2010-01-29,2023-12-29,3382,0.9552556165773928,alpha360,PriceTrend
alpha360_LOW2,6640610,6395477,245133,0,2010-01-29,2023-12-29,3382,0.9630857707349174,alpha360,PriceTrend
alpha360_LOW20,6640610,6341899,298711,0,2010-01-29,2023-12-29,3382,0.9550175360396108,alpha360,PriceTrend
alpha360_LOW21,6640610,6340412,300198,0,2010-01-29,2023-12-29,3382,0.9547936108279209,alpha360,PriceTrend
alpha360_LOW22,6640610,6339002,301608,0,2010-01-29,2023-12-29,3382,0.9545812809365405,alpha360,PriceTrend
alpha360_LOW23,6640610,6337558,303052,0,2010-01-29,2023-12-29,3382,0.9543638310335948,alpha360,PriceTrend
alpha360_LOW24,6640610,6336228,304382,0,2010-01-29,2023-12-29,3382,0.9541635482282501,alpha360,PriceTrend
alpha360_LOW25,6640610,6334877,305733,0,2010-01-29,2023-12-29,3382,0.9539601030628211,alpha360,PriceTrend
alpha360_LOW26,6640610,6333673,306937,0,2010-01-29,2023-12-29,3382,0.9537787944179826,alpha360,PriceTrend
alpha360_LOW27,6640610,6332455,308155,0,2010-01-29,2023-12-29,3382,0.9535953775330881,alpha360,PriceTrend
alpha360_LOW28,6640610,6331273,309337,0,2010-01-29,2023-12-29,3382,0.9534173818369096,alpha360,PriceTrend
alpha360_LOW29,6640610,6330110,310500,0,2010-01-29,2023-12-29,3382,0.9532422473236646,alpha360,PriceTrend
alpha360_LOW3,6640610,6388709,251901,0,2010-01-29,2023-12-29,3382,0.9620665872562912,alpha360,PriceTrend
alpha360_LOW30,6640610,6329007,311603,0,2010-01-29,2023-12-29,3382,0.9530761481249463,alpha360,PriceTrend
alpha360_LOW31,6640610,6327915,312695,0,2010-01-29,2023-12-29,3382,0.952911705400558,alpha360,PriceTrend
alpha360_LOW32,6640610,6326889,313721,0,2010-01-29,2023-12-29,3382,0.9527572015221493,alpha360,PriceTrend
alpha360_LOW33,6640610,6325870,314740,0,2010-01-29,2023-12-29,3382,0.9526037517637687,alpha360,PriceTrend
alpha360_LOW34,6640610,6324936,315674,0,2010-01-29,2023-12-29,3382,0.9524631020343011,alpha360,PriceTrend
alpha360_LOW35,6640610,6323987,316623,0,2010-01-29,2023-12-29,3382,0.9523201934762018,alpha360,PriceTrend
alpha360_LOW36,6640610,6323017,317593,0,2010-01-29,2023-12-29,3382,0.952174122558018,alpha360,PriceTrend
alpha360_LOW37,6640610,6322102,318508,0,2010-01-29,2023-12-29,3382,0.9520363340114839,alpha360,PriceTrend
alpha360_LOW38,6640610,6321176,319434,0,2010-01-29,2023-12-29,3382,0.9518968889906199,alpha360,PriceTrend
alpha360_LOW39,6640610,6320261,320349,0,2010-01-29,2023-12-29,3382,0.9517591004440857,alpha360,PriceTrend
alpha360_LOW4,6640610,6382683,257927,0,2010-01-29,2023-12-29,3382,0.9611591405006468,alpha360,PriceTrend
alpha360_LOW40,6640610,6319416,321194,0,2010-01-29,2023-12-29,3382,0.9516318530978328,alpha360,PriceTrend
alpha360_LOW41,6640610,6318588,322022,0,2010-01-29,2023-12-29,3382,0.9515071657573626,alpha360,PriceTrend
alpha360_LOW42,6640610,6317813,322797,0,2010-01-29,2023-12-29,3382,0.9513904596113911,alpha360,PriceTrend
alpha360_LOW43,6640610,6317032,323578,0,2010-01-29,2023-12-29,3382,0.9512728499339669,alpha360,PriceTrend
alpha360_LOW44,6640610,6316250,324360,0,2010-01-29,2023-12-29,3382,0.9511550896679672,alpha360,PriceTrend
alpha360_LOW45,6640610,6315494,325116,0,2010-01-29,2023-12-29,3382,0.9510412447049292,alpha360,PriceTrend
alpha360_LOW46,6640610,6314760,325850,0,2010-01-29,2023-12-29,3382,0.9509307126905511,alpha360,PriceTrend
alpha360_LOW47,6640610,6314052,326558,0,2010-01-29,2023-12-29,3382,0.9508240959791344,alpha360,PriceTrend
alpha360_LOW48,6640610,6313347,327263,0,2010-01-29,2023-12-29,3382,0.9507179310334443,alpha360,PriceTrend
alpha360_LOW49,6640610,6312696,327914,0,2010-01-29,2023-12-29,3382,0.9506198978708281,alpha360,PriceTrend
alpha360_LOW5,6640610,6377363,263247,0,2010-01-29,2023-12-29,3382,0.9603580092792681,alpha360,PriceTrend
alpha360_LOW50,6640610,6312038,328572,0,2010-01-29,2023-12-29,3382,0.9505208105881839,alpha360,PriceTrend
alpha360_LOW51,6640610,6311393,329217,0,2010-01-29,2023-12-29,3382,0.9504236809570206,alpha360,PriceTrend
alpha360_LOW52,6640610,6310744,329866,0,2010-01-29,2023-12-29,3382,0.9503259489715553,alpha360,PriceTrend
alpha360_LOW53,6640610,6310075,330535,0,2010-01-29,2023-12-29,3382,0.9502252052145812,alpha360,PriceTrend
alpha360_LOW54,6640610,6309489,331121,0,2010-01-29,2023-12-29,3382,0.9501369603093691,alpha360,PriceTrend
alpha360_LOW55,6640610,6308932,331678,0,2010-01-29,2023-12-29,3382,0.9500530824728451,alpha360,PriceTrend
alpha360_LOW56,6640610,6308422,332188,0,2010-01-29,2023-12-29,3382,0.949976282299367,alpha360,PriceTrend
alpha360_LOW57,6640610,6307944,332666,0,2010-01-29,2023-12-29,3382,0.9499043009603033,alpha360,PriceTrend
alpha360_LOW58,6640610,6307433,333177,0,2010-01-29,2023-12-29,3382,0.9498273501982498,alpha360,PriceTrend
alpha360_LOW59,6640610,6306982,333628,0,2010-01-29,2023-12-29,3382,0.9497594347507232,alpha360,PriceTrend
alpha360_LOW6,6640610,6373274,267336,0,2010-01-29,2023-12-29,3382,0.9597422525942647,alpha360,PriceTrend
alpha360_LOW7,6640610,6369710,270900,0,2010-01-29,2023-12-29,3382,0.959205554911371,alpha360,PriceTrend
alpha360_LOW8,6640610,6366413,274197,0,2010-01-29,2023-12-29,3382,0.9587090643781219,alpha360,PriceTrend
alpha360_LOW9,6640610,6363307,277303,0,2010-01-29,2023-12-29,3382,0.9582413362627831,alpha360,PriceTrend
alpha360_OPEN0,6640610,6426163,214447,0,2010-01-29,2023-12-29,3382,0.9677067317610882,alpha360,PriceTrend
alpha360_OPEN1,6640610,6403308,237302,0,2010-01-29,2023-12-29,3382,0.9642650298692439,alpha360,PriceTrend
alpha360_OPEN10,6640610,6360421,280189,0,2010-01-29,2023-12-29,3382,0.9578067376340427,alpha360,PriceTrend
alpha360_OPEN11,6640610,6358242,282368,0,2010-01-29,2023-12-29,3382,0.9574786051281433,alpha360,PriceTrend
alpha360_OPEN12,6640610,6356235,284375,0,2010-01-29,2023-12-29,3382,0.957176373857221,alpha360,PriceTrend
alpha360_OPEN13,6640610,6354189,286421,0,2010-01-29,2023-12-29,3382,0.9568682696318561,alpha360,PriceTrend
alpha360_OPEN14,6640610,6352187,288423,0,2010-01-29,2023-12-29,3382,0.956566791303811,alpha360,PriceTrend
alpha360_OPEN15,6640610,6350283,290327,0,2010-01-29,2023-12-29,3382,0.9562800706561596,alpha360,PriceTrend
alpha360_OPEN16,6640610,6348525,292085,0,2010-01-29,2023-12-29,3382,0.9560153359405236,alpha360,PriceTrend
alpha360_OPEN17,6640610,6346772,293838,0,2010-01-29,2023-12-29,3382,0.9557513541677647,alpha360,PriceTrend
alpha360_OPEN18,6640610,6345106,295504,0,2010-01-29,2023-12-29,3382,0.9555004736010698,alpha360,PriceTrend
alpha360_OPEN19,6640610,6343480,297130,0,2010-01-29,2023-12-29,3382,0.9552556165773928,alpha360,PriceTrend
alpha360_OPEN2,6640610,6395477,245133,0,2010-01-29,2023-12-29,3382,0.9630857707349174,alpha360,PriceTrend
alpha360_OPEN20,6640610,6341899,298711,0,2010-01-29,2023-12-29,3382,0.9550175360396108,alpha360,PriceTrend
alpha360_OPEN21,6640610,6340412,300198,0,2010-01-29,2023-12-29,3382,0.9547936108279209,alpha360,PriceTrend
alpha360_OPEN22,6640610,6339002,301608,0,2010-01-29,2023-12-29,3382,0.9545812809365405,alpha360,PriceTrend
alpha360_OPEN23,6640610,6337558,303052,0,2010-01-29,2023-12-29,3382,0.9543638310335948,alpha360,PriceTrend
alpha360_OPEN24,6640610,6336228,304382,0,2010-01-29,2023-12-29,3382,0.9541635482282501,alpha360,PriceTrend
alpha360_OPEN25,6640610,6334877,305733,0,2010-01-29,2023-12-29,3382,0.9539601030628211,alpha360,PriceTrend
alpha360_OPEN26,6640610,6333673,306937,0,2010-01-29,2023-12-29,3382,0.9537787944179826,alpha360,PriceTrend
alpha360_OPEN27,6640610,6332455,308155,0,2010-01-29,2023-12-29,3382,0.9535953775330881,alpha360,PriceTrend
alpha360_OPEN28,6640610,6331273,309337,0,2010-01-29,2023-12-29,3382,0.9534173818369096,alpha360,PriceTrend
alpha360_OPEN29,6640610,6330110,310500,0,2010-01-29,2023-12-29,3382,0.9532422473236646,alpha360,PriceTrend
alpha360_OPEN3,6640610,6388709,251901,0,2010-01-29,2023-12-29,3382,0.9620665872562912,alpha360,PriceTrend
alpha360_OPEN30,6640610,6329007,311603,0,2010-01-29,2023-12-29,3382,0.9530761481249463,alpha360,PriceTrend
alpha360_OPEN31,6640610,6327915,312695,0,2010-01-29,2023-12-29,3382,0.952911705400558,alpha360,PriceTrend
alpha360_OPEN32,6640610,6326889,313721,0,2010-01-29,2023-12-29,3382,0.9527572015221493,alpha360,PriceTrend
alpha360_OPEN33,6640610,6325870,314740,0,2010-01-29,2023-12-29,3382,0.9526037517637687,alpha360,PriceTrend
alpha360_OPEN34,6640610,6324936,315674,0,2010-01-29,2023-12-29,3382,0.9524631020343011,alpha360,PriceTrend
alpha360_OPEN35,6640610,6323987,316623,0,2010-01-29,2023-12-29,3382,0.9523201934762018,alpha360,PriceTrend
alpha360_OPEN36,6640610,6323017,317593,0,2010-01-29,2023-12-29,3382,0.952174122558018,alpha360,PriceTrend
alpha360_OPEN37,6640610,6322102,318508,0,2010-01-29,2023-12-29,3382,0.9520363340114839,alpha360,PriceTrend
alpha360_OPEN38,6640610,6321176,319434,0,2010-01-29,2023-12-29,3382,0.9518968889906199,alpha360,PriceTrend
alpha360_OPEN39,6640610,6320261,320349,0,2010-01-29,2023-12-29,3382,0.9517591004440857,alpha360,PriceTrend
alpha360_OPEN4,6640610,6382683,257927,0,2010-01-29,2023-12-29,3382,0.9611591405006468,alpha360,PriceTrend
alpha360_OPEN40,6640610,6319416,321194,0,2010-01-29,2023-12-29,3382,0.9516318530978328,alpha360,PriceTrend
alpha360_OPEN41,6640610,6318588,322022,0,2010-01-29,2023-12-29,3382,0.9515071657573626,alpha360,PriceTrend
alpha360_OPEN42,6640610,6317813,322797,0,2010-01-29,2023-12-29,3382,0.9513904596113911,alpha360,PriceTrend
alpha360_OPEN43,6640610,6317032,323578,0,2010-01-29,2023-12-29,3382,0.9512728499339669,alpha360,PriceTrend
alpha360_OPEN44,6640610,6316250,324360,0,2010-01-29,2023-12-29,3382,0.9511550896679672,alpha360,PriceTrend
alpha360_OPEN45,6640610,6315494,325116,0,2010-01-29,2023-12-29,3382,0.9510412447049292,alpha360,PriceTrend
alpha360_OPEN46,6640610,6314760,325850,0,2010-01-29,2023-12-29,3382,0.9509307126905511,alpha360,PriceTrend
alpha360_OPEN47,6640610,6314052,326558,0,2010-01-29,2023-12-29,3382,0.9508240959791344,alpha360,PriceTrend
alpha360_OPEN48,6640610,6313347,327263,0,2010-01-29,2023-12-29,3382,0.9507179310334443,alpha360,PriceTrend
alpha360_OPEN49,6640610,6312696,327914,0,2010-01-29,2023-12-29,3382,0.9506198978708281,alpha360,PriceTrend
alpha360_OPEN5,6640610,6377363,263247,0,2010-01-29,2023-12-29,3382,0.9603580092792681,alpha360,PriceTrend
alpha360_OPEN50,6640610,6312038,328572,0,2010-01-29,2023-12-29,3382,0.9505208105881839,alpha360,PriceTrend
alpha360_OPEN51,6640610,6311393,329217,0,2010-01-29,2023-12-29,3382,0.9504236809570206,alpha360,PriceTrend
alpha360_OPEN52,6640610,6310744,329866,0,2010-01-29,2023-12-29,3382,0.9503259489715553,alpha360,PriceTrend
alpha360_OPEN53,6640610,6310075,330535,0,2010-01-29,2023-12-29,3382,0.9502252052145812,alpha360,PriceTrend
alpha360_OPEN54,6640610,6309489,331121,0,2010-01-29,2023-12-29,3382,0.9501369603093691,alpha360,PriceTrend
alpha360_OPEN55,6640610,6308932,331678,0,2010-01-29,2023-12-29,3382,0.9500530824728451,alpha360,PriceTrend
alpha360_OPEN56,6640610,6308422,332188,0,2010-01-29,2023-12-29,3382,0.949976282299367,alpha360,PriceTrend
alpha360_OPEN57,6640610,6307944,332666,0,2010-01-29,2023-12-29,3382,0.9499043009603033,alpha360,PriceTrend
alpha360_OPEN58,6640610,6307433,333177,0,2010-01-29,2023-12-29,3382,0.9498273501982498,alpha360,PriceTrend
alpha360_OPEN59,6640610,6306982,333628,0,2010-01-29,2023-12-29,3382,0.9497594347507232,alpha360,PriceTrend
alpha360_OPEN6,6640610,6373274,267336,0,2010-01-29,2023-12-29,3382,0.9597422525942647,alpha360,PriceTrend
alpha360_OPEN7,6640610,6369710,270900,0,2010-01-29,2023-12-29,3382,0.959205554911371,alpha360,PriceTrend
alpha360_OPEN8,6640610,6366413,274197,0,2010-01-29,2023-12-29,3382,0.9587090643781219,alpha360,PriceTrend
alpha360_OPEN9,6640610,6363307,277303,0,2010-01-29,2023-12-29,3382,0.9582413362627831,alpha360,PriceTrend
alpha360_VOLUME1,6640610,6403308,237302,0,2010-01-29,2023-12-29,3382,0.9642650298692439,alpha360,Liquidity
alpha360_VOLUME10,6640610,6360421,280189,0,2010-01-29,2023-12-29,3382,0.9578067376340427,alpha360,Liquidity
alpha360_VOLUME11,6640610,6358242,282368,0,2010-01-29,2023-12-29,3382,0.9574786051281433,alpha360,Liquidity
alpha360_VOLUME12,6640610,6356235,284375,0,2010-01-29,2023-12-29,3382,0.957176373857221,alpha360,Liquidity
alpha360_VOLUME13,6640610,6354189,286421,0,2010-01-29,2023-12-29,3382,0.9568682696318561,alpha360,Liquidity
alpha360_VOLUME14,6640610,6352187,288423,0,2010-01-29,2023-12-29,3382,0.956566791303811,alpha360,Liquidity
alpha360_VOLUME15,6640610,6350283,290327,0,2010-01-29,2023-12-29,3382,0.9562800706561596,alpha360,Liquidity
alpha360_VOLUME16,6640610,6348525,292085,0,2010-01-29,2023-12-29,3382,0.9560153359405236,alpha360,Liquidity
alpha360_VOLUME17,6640610,6346772,293838,0,2010-01-29,2023-12-29,3382,0.9557513541677647,alpha360,Liquidity
alpha360_VOLUME18,6640610,6345106,295504,0,2010-01-29,2023-12-29,3382,0.9555004736010698,alpha360,Liquidity
alpha360_VOLUME19,6640610,6343480,297130,0,2010-01-29,2023-12-29,3382,0.9552556165773928,alpha360,Liquidity
alpha360_VOLUME2,6640610,6395477,245133,0,2010-01-29,2023-12-29,3382,0.9630857707349174,alpha360,Liquidity
alpha360_VOLUME20,6640610,6341899,298711,0,2010-01-29,2023-12-29,3382,0.9550175360396108,alpha360,Liquidity
alpha360_VOLUME21,6640610,6340412,300198,0,2010-01-29,2023-12-29,3382,0.9547936108279209,alpha360,Liquidity
alpha360_VOLUME22,6640610,6339002,301608,0,2010-01-29,2023-12-29,3382,0.9545812809365405,alpha360,Liquidity
alpha360_VOLUME23,6640610,6337558,303052,0,2010-01-29,2023-12-29,3382,0.9543638310335948,alpha360,Liquidity
alpha360_VOLUME24,6640610,6336228,304382,0,2010-01-29,2023-12-29,3382,0.9541635482282501,alpha360,Liquidity
alpha360_VOLUME25,6640610,6334877,305733,0,2010-01-29,2023-12-29,3382,0.9539601030628211,alpha360,Liquidity
alpha360_VOLUME26,6640610,6333673,306937,0,2010-01-29,2023-12-29,3382,0.9537787944179826,alpha360,Liquidity
alpha360_VOLUME27,6640610,6332455,308155,0,2010-01-29,2023-12-29,3382,0.9535953775330881,alpha360,Liquidity
alpha360_VOLUME28,6640610,6331273,309337,0,2010-01-29,2023-12-29,3382,0.9534173818369096,alpha360,Liquidity
alpha360_VOLUME29,6640610,6330110,310500,0,2010-01-29,2023-12-29,3382,0.9532422473236646,alpha360,Liquidity
alpha360_VOLUME3,6640610,6388709,251901,0,2010-01-29,2023-12-29,3382,0.9620665872562912,alpha360,Liquidity
alpha360_VOLUME30,6640610,6329007,311603,0,2010-01-29,2023-12-29,3382,0.9530761481249463,alpha360,Liquidity
alpha360_VOLUME31,6640610,6327915,312695,0,2010-01-29,2023-12-29,3382,0.952911705400558,alpha360,Liquidity
alpha360_VOLUME32,6640610,6326889,313721,0,2010-01-29,2023-12-29,3382,0.9527572015221493,alpha360,Liquidity
alpha360_VOLUME33,6640610,6325870,314740,0,2010-01-29,2023-12-29,3382,0.9526037517637687,alpha360,Liquidity
alpha360_VOLUME34,6640610,6324936,315674,0,2010-01-29,2023-12-29,3382,0.9524631020343011,alpha360,Liquidity
alpha360_VOLUME35,6640610,6323987,316623,0,2010-01-29,2023-12-29,3382,0.9523201934762018,alpha360,Liquidity
alpha360_VOLUME36,6640610,6323017,317593,0,2010-01-29,2023-12-29,3382,0.952174122558018,alpha360,Liquidity
alpha360_VOLUME37,6640610,6322102,318508,0,2010-01-29,2023-12-29,3382,0.9520363340114839,alpha360,Liquidity
alpha360_VOLUME38,6640610,6321176,319434,0,2010-01-29,2023-12-29,3382,0.9518968889906199,alpha360,Liquidity
alpha360_VOLUME39,6640610,6320261,320349,0,2010-01-29,2023-12-29,3382,0.9517591004440857,alpha360,Liquidity
alpha360_VOLUME4,6640610,6382683,257927,0,2010-01-29,2023-12-29,3382,0.9611591405006468,alpha360,Liquidity
alpha360_VOLUME40,6640610,6319416,321194,0,2010-01-29,2023-12-29,3382,0.9516318530978328,alpha360,Liquidity
alpha360_VOLUME41,6640610,6318588,322022,0,2010-01-29,2023-12-29,3382,0.9515071657573626,alpha360,Liquidity
alpha360_VOLUME42,6640610,6317813,322797,0,2010-01-29,2023-12-29,3382,0.9513904596113911,alpha360,Liquidity
alpha360_VOLUME43,6640610,6317032,323578,0,2010-01-29,2023-12-29,3382,0.9512728499339669,alpha360,Liquidity
alpha360_VOLUME44,6640610,6316250,324360,0,2010-01-29,2023-12-29,3382,0.9511550896679672,alpha360,Liquidity
alpha360_VOLUME45,6640610,6315494,325116,0,2010-01-29,2023-12-29,3382,0.9510412447049292,alpha360,Liquidity
alpha360_VOLUME46,6640610,6314760,325850,0,2010-01-29,2023-12-29,3382,0.9509307126905511,alpha360,Liquidity
alpha360_VOLUME47,6640610,6314052,326558,0,2010-01-29,2023-12-29,3382,0.9508240959791344,alpha360,Liquidity
alpha360_VOLUME48,6640610,6313347,327263,0,2010-01-29,2023-12-29,3382,0.9507179310334443,alpha360,Liquidity
alpha360_VOLUME49,6640610,6312696,327914,0,2010-01-29,2023-12-29,3382,0.9506198978708281,alpha360,Liquidity
alpha360_VOLUME5,6640610,6377363,263247,0,2010-01-29,2023-12-29,3382,0.9603580092792681,alpha360,Liquidity
alpha360_VOLUME50,6640610,6312038,328572,0,2010-01-29,2023-12-29,3382,0.9505208105881839,alpha360,Liquidity
alpha360_VOLUME51,6640610,6311393,329217,0,2010-01-29,2023-12-29,3382,0.9504236809570206,alpha360,Liquidity
alpha360_VOLUME52,6640610,6310744,329866,0,2010-01-29,2023-12-29,3382,0.9503259489715553,alpha360,Liquidity
alpha360_VOLUME53,6640610,6310075,330535,0,2010-01-29,2023-12-29,3382,0.9502252052145812,alpha360,Liquidity
alpha360_VOLUME54,6640610,6309489,331121,0,2010-01-29,2023-12-29,3382,0.9501369603093691,alpha360,Liquidity
alpha360_VOLUME55,6640610,6308932,331678,0,2010-01-29,2023-12-29,3382,0.9500530824728451,alpha360,Liquidity
alpha360_VOLUME56,6640610,6308422,332188,0,2010-01-29,2023-12-29,3382,0.949976282299367,alpha360,Liquidity
