window,sample,slice_type,slice_value,label,factor,category,expected_direction,coverage,missing_rate,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,directional_rank_icir,ic_win_rate,ic_dates,valid_rows
main_research_2021_2023,volatility_bucket=4.0,volatility_bucket,4.0,label_20d_t1,amount_mean_20__raw,liquidity,watch,0.9976323613983139,0.002367638601686095,-0.0443862288031595,-0.39396008132653676,-0.05881497360524659,,-0.39747646936733566,,,726,163067
main_research_2021_2023,volatility_bucket=5.0,volatility_bucket,5.0,label_20d_t1,ret_20__raw,momentum,watch,0.996696485818093,0.003303514181906997,-0.06977629175120478,-0.4863858771261193,-0.09508239311650588,,-0.6241563723922353,,,726,163224
main_research_2021_2023,volatility_bucket=5.0,volatility_bucket,5.0,label_20d_t1,rev_5__raw,reversal,positive,0.9975452630293409,0.0024547369706591216,0.05562000323770904,0.4085800726321755,0.07443435054643202,0.07443435054643202,0.49716735246829763,0.49716735246829763,0.696969696969697,726,163363
main_research_2021_2023,volatility_bucket=5.0,volatility_bucket,5.0,label_20d_t1,std_20__raw,risk,negative,0.996696485818093,0.003303514181906997,-0.031556037766772224,-0.2741920910385687,-0.05638121490456696,0.05638121490456696,-0.48504876338037767,0.48504876338037767,0.699724517906336,726,163224
main_research_2021_2023,volatility_bucket=5.0,volatility_bucket,5.0,label_20d_t1,amplitude_20__raw,risk,negative,0.9975452630293409,0.0024547369706591216,-0.060552137376573646,-0.4772568269648295,-0.09054874572665839,0.09054874572665839,-0.725205875985809,0.725205875985809,0.778236914600551,726,163363
main_research_2021_2023,volatility_bucket=5.0,volatility_bucket,5.0,label_20d_t1,amount_mean_20__raw,liquidity,watch,0.9975452630293409,0.0024547369706591216,-0.04674611569671306,-0.3531746867995735,-0.07299533974838843,,-0.435603868671332,,,726,163363
main_research_2021_2023,market_state=down,market_state,down,label_20d_t1,ret_20__raw,momentum,watch,0.9961120675838465,0.0038879324161534834,-0.08768041571355516,-0.8267661251463316,-0.0909785745255775,,-0.7567233498601383,,,171,192667
main_research_2021_2023,market_state=down,market_state,down,label_20d_t1,rev_5__raw,reversal,positive,0.9964015944659005,0.0035984055340995136,0.04602468448904224,0.3949109459748258,0.04392134349074775,0.04392134349074775,0.32985466185445445,0.32985466185445445,0.6140350877192983,171,192723
main_research_2021_2023,market_state=down,market_state,down,label_20d_t1,std_20__raw,risk,negative,0.9898407085136414,0.010159291486358635,-0.013711775809490406,-0.07697805499435195,-0.036789445245912045,0.036789445245912045,-0.19382033175438387,0.19382033175438387,0.6198830409356725,171,191454
main_research_2021_2023,market_state=down,market_state,down,label_20d_t1,amplitude_20__raw,risk,negative,0.9901457457643769,0.009854254235623139,-0.03538686678752789,-0.18215395024280703,-0.06452952902801413,0.06452952902801413,-0.31231272579117164,0.31231272579117164,0.631578947368421,171,191513
main_research_2021_2023,market_state=down,market_state,down,label_20d_t1,amount_mean_20__raw,liquidity,watch,0.9901457457643769,0.009854254235623139,-0.06511177592188196,-0.5534472633994799,-0.11347623412277658,,-0.843725233206754,,,171,191513
main_research_2021_2023,market_state=sideways,market_state,sideways,label_20d_t1,ret_20__raw,momentum,watch,0.9964708505494047,0.003529149450595348,-0.058472792537269086,-0.4327087709446783,-0.06544791541193709,,-0.44672531357800177,,,253,286025
main_research_2021_2023,market_state=sideways,market_state,sideways,label_20d_t1,rev_5__raw,reversal,positive,0.9971153645161964,0.002884635483803577,0.029765053644767586,0.27602714642482606,0.029005354806913648,0.029005354806913648,0.22540490419340475,0.22540490419340475,0.5968379446640316,253,286210
main_research_2021_2023,market_state=sideways,market_state,sideways,label_20d_t1,std_20__raw,risk,negative,0.9912729325037103,0.008727067496289709,-0.06416331353690084,-0.41342335099133426,-0.11063602535594853,0.11063602535594853,-0.6663973919867251,0.6663973919867251,0.6877470355731226,253,284533
main_research_2021_2023,market_state=sideways,market_state,sideways,label_20d_t1,amplitude_20__raw,risk,negative,0.9915377058089869,0.008462294191013076,-0.07705309344895923,-0.4571974206185151,-0.1250497801389815,0.1250497801389815,-0.6935524683279012,0.6935524683279012,0.6996047430830039,253,284609
main_research_2021_2023,market_state=sideways,market_state,sideways,label_20d_t1,amount_mean_20__raw,liquidity,watch,0.9915377058089869,0.008462294191013076,-0.06558724858374519,-0.6108540199127659,-0.09959316970529697,,-0.7664525282477958,,,253,284609
main_research_2021_2023,market_state=unknown,market_state,unknown,label_20d_t1,ret_20__raw,momentum,watch,0.9956979806848112,0.00430201931518881,0.01775517770980735,0.3449140393184218,0.0018951374738983462,,0.033881166941500146,,,10,11341
main_research_2021_2023,market_state=unknown,market_state,unknown,label_20d_t1,rev_5__raw,reversal,positive,0.9962247585601405,0.0037752414398595224,-0.04901248377660662,-0.9560971467027626,-0.05023874862323385,-0.05023874862323385,-0.8486881457404206,-0.8486881457404206,0.3,10,11347
main_research_2021_2023,market_state=unknown,market_state,unknown,label_20d_t1,std_20__raw,risk,negative,0.9886742756804214,0.011325724319578567,-0.13902869763318249,-2.2838747954516108,-0.18378925848427902,0.18378925848427902,-2.6174028778386687,2.6174028778386687,1.0,10,11261
main_research_2021_2023,market_state=unknown,market_state,unknown,label_20d_t1,amplitude_20__raw,risk,negative,0.9891132572431958,0.010886742756804235,-0.12481448442091048,-2.024943297940691,-0.16747907523621794,0.16747907523621794,-2.476634475718605,2.476634475718605,1.0,10,11266
main_research_2021_2023,market_state=unknown,market_state,unknown,label_20d_t1,amount_mean_20__raw,liquidity,watch,0.9891132572431958,0.010886742756804235,0.06787159728499692,2.0083789068934252,0.005102895331180685,,0.11140583503772591,,,10,11266
main_research_2021_2023,market_state=up,market_state,up,label_20d_t1,ret_20__raw,momentum,watch,0.9961858237778393,0.0038141762221607367,-0.015364120900853675,-0.1187326788183753,-0.03562965527895646,,-0.23845555000347018,,,292,331176
main_research_2021_2023,market_state=up,market_state,up,label_20d_t1,rev_5__raw,reversal,positive,0.996892709749612,0.0031072902503880284,0.008396001472964711,0.0719235220593387,-0.0004062032814646689,-0.0004062032814646689,-0.0030284321375334015,-0.0030284321375334015,0.4828767123287671,292,331411
main_research_2021_2023,market_state=up,market_state,up,label_20d_t1,std_20__raw,risk,negative,0.9892463091528197,0.010753690847180253,-0.04227968498766085,-0.321249020042306,-0.11087229454915919,0.11087229454915919,-0.7458409867308434,0.7458409867308434,0.7157534246575342,292,328869
main_research_2021_2023,market_state=up,market_state,up,label_20d_t1,amplitude_20__raw,risk,negative,0.9897366172949429,0.010263382705057111,-0.049662825827294185,-0.31798564186282613,-0.12128069692561468,0.12128069692561468,-0.698345353283498,0.698345353283498,0.6815068493150684,292,329032
main_research_2021_2023,market_state=up,market_state,up,label_20d_t1,amount_mean_20__raw,liquidity,watch,0.9897366172949429,0.010263382705057111,-0.04583536597399684,-0.4997987909135578,-0.09265208205912374,,-0.80607892987847,,,292,329032
recent_oos_2024_2026,year_slice=2024,year_slice,2024,label_20d_t1,ret_20__raw,momentum,watch,0.99711431489659,0.0028856851034100295,-0.0705852906756467,-0.4381707117469789,-0.07583960200445787,,-0.39001287417662595,,,241,262609
