window,sample,label,factor,category,expected_direction,coverage,missing_rate,mean_ic,icir,mean_rank_ic,directional_mean_rank_ic,rank_icir,directional_rank_icir,ic_win_rate,ic_dates,valid_rows
recent_oos_2024_2026,tradable_only,label_20d_t1,ret_20__raw,momentum,watch,0.9609826112000303,0.03901738879996974,-0.03873829712079331,-0.2685929974815458,-0.07354394426069193,,-0.4265073836877405,,,565,610617
recent_oos_2024_2026,tradable_only,label_20d_t1,ret_20__cs_rank,momentum,watch,0.9609826112000303,0.03901738879996974,-0.027480585074118533,-0.1841572471343196,-0.07354394426069193,,-0.4265073836877405,,,565,610617
recent_oos_2024_2026,tradable_only,label_20d_t1,ret_20__cs_zscore,momentum,watch,0.9609826112000303,0.03901738879996974,-0.03169968014392575,-0.2124379919320251,-0.07341451454640491,,-0.42567350497268097,,,565,610617
recent_oos_2024_2026,tradable_only,label_20d_t1,ret_20__liquidity_bucket_zscore,momentum,watch,0.9609826112000303,0.03901738879996974,-0.030982359536827233,-0.21650604873800325,-0.06824272214530307,,-0.4049170840120477,,,565,610617
recent_oos_2024_2026,tradable_only,label_20d_t1,ret_20__volatility_bucket_zscore,momentum,watch,0.9562848496008083,0.043715150399191716,-0.00922244292011694,-0.08710647141527708,-0.031138923664459157,,-0.2363906338290014,,,565,607632
recent_oos_2024_2026,tradable_only,label_20d_t1,ret_20__amount_proxy_residual,momentum,watch,0.9562848496008083,0.043715150399191716,-0.03730100193033373,-0.26163014948348784,-0.06658198687206657,,-0.3899754611478084,,,565,607632
recent_oos_2024_2026,tradable_only,label_20d_t1,ret_20__liquidity_volatility_residual,momentum,watch,0.9562848496008083,0.043715150399191716,-0.019659780843746723,-0.1870716516740783,-0.02050152045995537,,-0.14849664202478646,,,565,607632
recent_oos_2024_2026,tradable_only,label_20d_t1,rev_5__raw,reversal,positive,0.9615554705709236,0.03844452942907639,0.02411735862790356,0.1788116801000064,0.035178144534385,0.035178144534385,0.21611863796060476,0.21611863796060476,0.5734513274336284,565,610981
recent_oos_2024_2026,tradable_only,label_20d_t1,rev_5__cs_rank,reversal,positive,0.9615554705709236,0.03844452942907639,0.013301146165116363,0.09517650714499545,0.035178144534385,0.035178144534385,0.21611863796060476,0.21611863796060476,0.5734513274336284,565,610981
recent_oos_2024_2026,tradable_only,label_20d_t1,rev_5__cs_zscore,reversal,positive,0.9615554705709236,0.03844452942907639,0.017316496186843666,0.1263903546365869,0.035038994545187954,0.035038994545187954,0.21525233618845138,0.21525233618845138,0.5734513274336284,565,610981
recent_oos_2024_2026,tradable_only,label_20d_t1,rev_5__liquidity_bucket_zscore,reversal,positive,0.9615554705709236,0.03844452942907639,0.01569997099967772,0.11948006767741486,0.030730430729260832,0.030730430729260832,0.19454640004508303,0.19454640004508303,0.5504424778761062,565,610981
recent_oos_2024_2026,tradable_only,label_20d_t1,rev_5__volatility_bucket_zscore,reversal,positive,0.9565964599179426,0.04340354008205738,0.015418239916948646,0.14986947258181635,0.03303056390435079,0.03303056390435079,0.27248606646735596,0.27248606646735596,0.5964601769911504,565,607830
recent_oos_2024_2026,tradable_only,label_20d_t1,rev_5__amount_proxy_residual,reversal,positive,0.9565964599179426,0.04340354008205738,0.025940617908593724,0.19698560887012026,0.03748918658865938,0.03748918658865938,0.24055611213886013,0.24055611213886013,0.5964601769911504,565,607830
recent_oos_2024_2026,tradable_only,label_20d_t1,rev_5__liquidity_volatility_residual,reversal,positive,0.9565964599179426,0.04340354008205738,0.018371923480181556,0.18522634913488167,0.01991851044628274,0.01991851044628274,0.17998033797091165,0.17998033797091165,0.5486725663716814,565,607830
recent_oos_2024_2026,tradable_only,label_20d_t1,std_20__raw,risk,negative,0.9562848496008083,0.043715150399191716,-0.02432167823181087,-0.1198383239555123,-0.06825844209526678,0.06825844209526678,-0.2737304960489619,0.2737304960489619,0.6230088495575221,565,607632
recent_oos_2024_2026,tradable_only,label_20d_t1,std_20__cs_rank,risk,negative,0.9562848496008083,0.043715150399191716,-0.01164241279272492,-0.05444011636039385,-0.06825844209526678,0.06825844209526678,-0.2737304960489619,0.2737304960489619,0.6230088495575221,565,607632
