api,segment,row_count,data_sha256,cache_hit,cache_root
moneyflow,20100224,1694,95897c16a975156875ae397acd019a610646f3e0c4fda37e62124aaca5d08c04,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100225,1678,085b8dd0c1f212884d487022332761a90fca8f8c307fe61cd2176c826b877ae0,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100225,1676,2afa2db19e8ad7001bd9f0bcf46782256644b864fbbb5c3fad43df07f7cf9644,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100226,1662,d01b0dc0d46688cc05bf240ae48393c0a06977b07f53b2099dea8459ebee88a5,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100226,1660,b6a1495a66c0d8887634460f819f43a1721f72f16f11de3077aee942b1131346,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100301,1685,f50a820ec317ea2665d0397eb9c5c82c1cf1ed4f73a42418e3dc7199046c709a,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100301,1683,82a17143d64aa8bd78ff20120fb34018ac8d34d67be2db1a98bd56bac746716b,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100302,1673,5ccaad080e232a5ad3ae742f92cc0cfeff69eef880b33c012e11bf82667936a2,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100302,1671,5ea40e6a9be634ec57ea10ce95dc478c2aed3f478789c574c01723dcaea5598c,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100303,1686,c860eb56f3f8e092f2add05129f458e4601fae0d11c733f3293e7a22c2444552,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100303,1685,21f65a33203349579a5afb75e540b484f9917720bd3bf3fadd8b4636760115ef,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100304,1697,6d2089984650fef1a87aa7d3ec84dd8382214c9081393f806f974d5342e4eb61,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100304,1695,cdedd8f989c14b0be99a52cdb910a00b19fd5d032522cf6bf1b67a101a647af2,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100305,1692,1853dbd90a14e78a576ef1120f16714a51bd623c77fbc18e83eb1bcaecbf3b3c,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100305,1690,a60126fa0d0335a7dc25d8b4e3521a56782e720d456a5b1d2537a6b3d364fa5f,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100308,1698,d1387faa9196db5ab04976498a893e9d559278dd12a576c1695e2bffb93f0814,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
moneyflow,20100308,1696,1d513ef94bb0fae8c462abeffc8f7b64f6a79f32933e2ee73e30dcc46f0641c8,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
daily_basic,20100309,1708,68bb85c70651b6c94b0afed7089e8d9d291b860d47d8ffd826497f3711e1fad4,True,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/raw
