api,ts_code,offset,page_size,row_count,terminal,elapsed_seconds,status
cashflow,002633.SZ,0,100,46,True,0.08259299999917857,pass
income,002634.SZ,0,100,52,True,0.08248280000043451,pass
balancesheet,002634.SZ,0,100,64,True,0.08611369999925955,pass
cashflow,002634.SZ,0,100,48,True,0.0787521000020206,pass
income,002635.SZ,0,100,53,True,0.082889500001329,pass
balancesheet,002635.SZ,0,100,66,True,0.10884789999909117,pass
cashflow,002635.SZ,0,100,50,True,0.09479770000325516,pass
income,002636.SZ,0,100,49,True,0.08396360000187997,pass
balancesheet,002636.SZ,0,100,64,True,0.08240889999797218,pass
cashflow,002636.SZ,0,100,48,True,0.06684999999924912,pass
income,002637.SZ,0,100,50,True,0.07492249999995693,pass
balancesheet,002637.SZ,0,100,64,True,0.08235169999898062,pass
cashflow,002637.SZ,0,100,46,True,0.1178421000004164,pass
income,002638.SZ,0,100,47,True,0.08416569999826606,pass
balancesheet,002638.SZ,0,100,64,True,0.06495080000240705,pass
cashflow,002638.SZ,0,100,46,True,0.07949899999948684,pass
income,002639.SZ,0,100,50,True,0.07961749999958556,pass
balancesheet,002639.SZ,0,100,64,True,0.08324970000103349,pass
cashflow,002639.SZ,0,100,46,True,0.0686268999997992,pass
income,002640.SZ,0,100,50,True,0.08058160000291537,pass
balancesheet,002640.SZ,0,100,64,True,0.0895849000007729,pass
cashflow,002640.SZ,0,100,48,True,0.0678604999993695,pass
income,002641.SZ,0,100,51,True,0.09615599999960978,pass
balancesheet,002641.SZ,0,100,63,True,0.06647370000064257,pass
cashflow,002641.SZ,0,100,48,True,0.07887379999738187,pass
income,002642.SZ,0,100,51,True,0.07759879999866826,pass
balancesheet,002642.SZ,0,100,61,True,0.07883399999991525,pass
cashflow,002642.SZ,0,100,46,True,0.08954159999848343,pass
income,002643.SZ,0,100,55,True,0.06719810000140569,pass
balancesheet,002643.SZ,0,100,70,True,0.07071599999835598,pass
cashflow,002643.SZ,0,100,52,True,0.06748230000084732,pass
income,002644.SZ,0,100,52,True,0.10301249999974971,pass
balancesheet,002644.SZ,0,100,66,True,0.11478050000005169,pass
cashflow,002644.SZ,0,100,50,True,0.09453039999789326,pass
income,002645.SZ,0,100,50,True,0.0691380999996909,pass
balancesheet,002645.SZ,0,100,64,True,0.07176550000076531,pass
cashflow,002645.SZ,0,100,46,True,0.10929860000032932,pass
income,002646.SZ,0,100,50,True,0.08524460000262479,pass
balancesheet,002646.SZ,0,100,64,True,0.13174179999987246,pass
cashflow,002646.SZ,0,100,48,True,0.07009230000039679,pass
income,002647.SZ,0,100,51,True,0.10656879999805824,pass
balancesheet,002647.SZ,0,100,64,True,0.06663970000226982,pass
cashflow,002647.SZ,0,100,48,True,0.08849950000148965,pass
income,002648.SZ,0,100,51,True,0.06800740000107908,pass
balancesheet,002648.SZ,0,100,64,True,0.08813430000009248,pass
cashflow,002648.SZ,0,100,46,True,0.07063720000223839,pass
income,002649.SZ,0,100,53,True,0.07560890000240761,pass
balancesheet,002649.SZ,0,100,66,True,0.07133109999995213,pass
cashflow,002649.SZ,0,100,48,True,0.12743719999707537,pass
income,002650.SZ,0,100,51,True,0.06955379999999423,pass
balancesheet,002650.SZ,0,100,64,True,0.08613359999799286,pass
cashflow,002650.SZ,0,100,48,True,0.0767928999994183,pass
income,002651.SZ,0,100,50,True,0.08094379999965895,pass
balancesheet,002651.SZ,0,100,63,True,0.07542739999917103,pass
cashflow,002651.SZ,0,100,48,True,0.08370520000244142,pass
income,002652.SZ,0,100,48,True,0.09071579999726964,pass
balancesheet,002652.SZ,0,100,62,True,0.07282570000097621,pass
cashflow,002652.SZ,0,100,47,True,0.06509730000107083,pass
income,002653.SZ,0,100,52,True,0.0760798999981489,pass
balancesheet,002653.SZ,0,100,66,True,0.06289900000047055,pass
cashflow,002653.SZ,0,100,50,True,0.06923490000190213,pass
income,002654.SZ,0,100,49,True,0.16394930000024033,pass
balancesheet,002654.SZ,0,100,61,True,0.07088579999981448,pass
cashflow,002654.SZ,0,100,45,True,0.10618539999995846,pass
income,002655.SZ,0,100,52,True,0.0804227999979048,pass
balancesheet,002655.SZ,0,100,64,True,0.07872850000057952,pass
cashflow,002655.SZ,0,100,49,True,0.08436939999955939,pass
income,002656.SZ,0,100,47,True,0.07689459999892279,pass
balancesheet,002656.SZ,0,100,62,True,0.07849100000021281,pass
cashflow,002656.SZ,0,100,45,True,0.08698509999885573,pass
income,002657.SZ,0,100,49,True,0.08047529999748804,pass
balancesheet,002657.SZ,0,100,62,True,0.07974520000061602,pass
cashflow,002657.SZ,0,100,45,True,0.08469619999959832,pass
income,002658.SZ,0,100,49,True,0.08545520000188844,pass
balancesheet,002658.SZ,0,100,62,True,0.07981540000037057,pass
cashflow,002658.SZ,0,100,45,True,0.07784710000123596,pass
income,002659.SZ,0,100,48,True,0.07987399999910849,pass
balancesheet,002659.SZ,0,100,62,True,0.08226529999956256,pass
cashflow,002659.SZ,0,100,47,True,0.06815420000202721,pass
income,002660.SZ,0,100,50,True,0.1329571999995096,pass
balancesheet,002660.SZ,0,100,61,True,0.09757770000214805,pass
cashflow,002660.SZ,0,100,45,True,0.06529429999864078,pass
income,002661.SZ,0,100,49,True,0.12386319999859552,pass
balancesheet,002661.SZ,0,100,62,True,0.08408820000113337,pass
cashflow,002661.SZ,0,100,45,True,0.10415009999996983,pass
income,002662.SZ,0,100,55,True,0.08187969999926281,pass
balancesheet,002662.SZ,0,100,64,True,0.09561349999785307,pass
cashflow,002662.SZ,0,100,49,True,0.10038949999943725,pass
income,002663.SZ,0,100,55,True,0.07890270000279997,pass
balancesheet,002663.SZ,0,100,75,True,0.0997921000016504,pass
cashflow,002663.SZ,0,100,53,True,0.08392610000009881,pass
income,002664.SZ,0,100,50,True,0.10069750000184285,pass
balancesheet,002664.SZ,0,100,62,True,0.11282310000024154,pass
cashflow,002664.SZ,0,100,45,True,0.08086630000252626,pass
income,002665.SZ,0,100,49,True,0.0816028000008373,pass
balancesheet,002665.SZ,0,100,63,True,0.06397709999873769,pass
cashflow,002665.SZ,0,100,47,True,0.09470829999918351,pass
income,002666.SZ,0,100,50,True,0.06532390000211308,pass
balancesheet,002666.SZ,0,100,62,True,0.07680640000035055,pass
cashflow,002666.SZ,0,100,47,True,0.06457280000176979,pass
income,002667.SZ,0,100,52,True,0.08410770000045886,pass
balancesheet,002667.SZ,0,100,63,True,0.08439419999922393,pass
cashflow,002667.SZ,0,100,49,True,0.07215480000013486,pass
income,002668.SZ,0,100,49,True,0.07318660000237287,pass
balancesheet,002668.SZ,0,100,62,True,0.0645896999994875,pass
cashflow,002668.SZ,0,100,47,True,0.07231599999795435,pass
income,002669.SZ,0,100,51,True,0.07740870000270661,pass
balancesheet,002669.SZ,0,100,64,True,0.07751420000204234,pass
cashflow,002669.SZ,0,100,49,True,0.07933530000082101,pass
income,002670.SZ,0,100,51,True,0.07774859999699402,pass
balancesheet,002670.SZ,0,100,59,True,0.08004219999929774,pass
cashflow,002670.SZ,0,100,45,True,0.10899779999817838,pass
income,002671.SZ,0,100,49,True,0.07747840000229189,pass
balancesheet,002671.SZ,0,100,61,True,0.08288460000039777,pass
cashflow,002671.SZ,0,100,45,True,0.08525809999991907,pass
income,002672.SZ,0,100,51,True,0.07209589999911259,pass
balancesheet,002672.SZ,0,100,64,True,0.08280790000208071,pass
cashflow,002672.SZ,0,100,48,True,0.0859193000032974,pass
income,002673.SZ,0,100,50,True,0.10894810000172583,pass
balancesheet,002673.SZ,0,100,68,True,0.08044840000002296,pass
cashflow,002673.SZ,0,100,46,True,0.09700250000241795,pass
income,002674.SZ,0,100,49,True,0.08976809999876423,pass
balancesheet,002674.SZ,0,100,62,True,0.08272059999944759,pass
cashflow,002674.SZ,0,100,45,True,0.07809800000177347,pass
