source_evidence,outer_split_id,method,importance_type,factor,feature_order,importance,selection_authority
remaining,split_003,lightgbm,gain,amount_cv_20,28,0.3140626740496373,diagnostic_only
remaining,split_003,lightgbm,gain,amount_mean_20,29,10.27143009800966,diagnostic_only
remaining,split_003,lightgbm,gain,corr_ret_amount_20,30,0.2564182019814325,diagnostic_only
remaining,split_003,lightgbm,gain,kunquant_alpha101_alpha002,31,0.0,diagnostic_only
remaining,split_003,lightgbm,gain,kunquant_alpha101_alpha003,32,0.0358199024740315,diagnostic_only
remaining,split_003,lightgbm,gain,kunquant_alpha101_alpha005,33,0.3393215342439362,diagnostic_only
remaining,split_003,lightgbm,gain,kunquant_alpha101_alpha011,34,0.2382291764952242,diagnostic_only
remaining,split_003,lightgbm,gain,kunquant_alpha101_alpha012,35,0.0022103899682406,diagnostic_only
remaining,split_003,lightgbm,gain,kunquant_alpha101_alpha013,36,0.8202053065906512,diagnostic_only
remaining,split_003,lightgbm,gain,kunquant_alpha101_alpha020,37,0.059062663000077,diagnostic_only
remaining,split_003,lightgbm,gain,kunquant_alpha101_alpha024,38,0.3384170528515824,diagnostic_only
remaining,split_003,lightgbm,gain,kunquant_alpha101_alpha026,39,0.0304192880139453,diagnostic_only
remaining,split_003,lightgbm,gain,kunquant_alpha101_alpha043,40,0.003054441032873,diagnostic_only
remaining,split_003,lightgbm,gain,kunquant_alpha101_alpha050,41,0.0379798495614522,diagnostic_only
remaining,split_003,lightgbm,gain,kunquant_alpha101_alpha055,42,0.0210487497970461,diagnostic_only
remaining,split_003,lightgbm,gain,kunquant_alpha101_alpha062,43,0.020880373660475,diagnostic_only
remaining,split_003,lightgbm,gain,kunquant_alpha101_alpha071,44,0.6206327569889254,diagnostic_only
remaining,split_003,lightgbm,gain,kunquant_alpha101_alpha072,45,0.3677776128497498,diagnostic_only
remaining,split_003,lightgbm,gain,kunquant_alpha101_alpha094,46,0.5205057677849254,diagnostic_only
remaining,split_003,lightgbm,gain,ta_trend_adx_pos,47,1.6252710345834205,diagnostic_only
remaining,split_003,lightgbm,gain,ta_trend_dpo,48,0.0482031273531902,diagnostic_only
remaining,split_003,lightgbm,gain,ta_trend_mass_index,49,0.2190578361844473,diagnostic_only
remaining,split_003,lightgbm,gain,ta_volatility_bbhi,50,0.0,diagnostic_only
remaining,split_003,lightgbm,gain,ta_volume_em,51,0.0769378326249352,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_CORD10,0,70.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_CORD20,1,105.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_CORD5,2,22.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_CORR10,3,78.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_CORR20,4,144.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_CORR5,5,14.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_HIGH0,6,15.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_IMAX30,7,149.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_IMAX60,8,179.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_IMIN20,9,215.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_IMIN5,10,29.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_KLEN,11,351.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_KLOW,12,84.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_KMID,13,14.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_KUP,14,55.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_LOW0,15,20.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_MAX5,16,273.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_MIN10,17,319.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_QTLD10,18,42.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_QTLD5,19,40.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_RSQR30,20,274.0,diagnostic_only
remaining,split_003,lightgbm,split,alpha158_STD60,21,610.0,diagnostic_only
