datetime,factor,n_total,n_valid,coverage,corr_raw_residual,r2_approx,var_factor_z,var_residual_z
2021-01-28,ta_volatility_kch,500,120,0.24,0.4292888404251558,0.47196250934170747,1.843905339633771,0.973651148551643
2021-01-29,ta_volatility_kch,500,120,0.24,0.4319647784969256,0.47796380275045913,1.84511592810044,0.963217302590111
2021-02-01,ta_volatility_kch,500,120,0.24,0.47027525539929366,0.43838418422752834,1.8398544060203055,1.0332913331396703
2021-02-02,ta_volatility_kch,500,119,0.238,0.44215075215259303,0.4980240181869656,1.8225667210575875,0.9148847192226454
2021-02-03,ta_volatility_kch,500,120,0.24,0.38195222120071487,0.5067713440855893,1.8358875944497275,0.9055123706203798
2021-02-04,ta_volatility_kch,500,120,0.24,0.4324426731752572,0.4744967848693634,1.8698835783533279,0.9826298323446534
2021-02-05,ta_volatility_kch,500,120,0.24,0.44211422332314476,0.5064270229534379,1.8873718403455277,0.9315557380331908
2021-02-08,ta_volatility_kch,500,120,0.24,0.4480870860842038,0.5055954630639026,1.8895687040118836,0.9342113401159372
2021-02-09,ta_volatility_kch,500,120,0.24,0.42849274245428637,0.5272256898400489,1.8978945981928097,0.8972758094169031
2021-02-10,ta_volatility_kch,500,120,0.24,0.4142571601532354,0.5571026006817539,1.8883639966191905,0.8363515030688488
2021-02-18,ta_volatility_kch,500,120,0.24,0.38506303078330767,0.5577410889236496,1.8933614004071715,0.8373559512180694
2021-02-19,ta_volatility_kch,500,120,0.24,0.4009754492199047,0.527493208422528,1.894910183119902,0.8953579309534648
2021-02-22,ta_volatility_kch,500,120,0.24,0.42700395804689406,0.46056533397173893,1.8929007982754185,1.0210963099423291
2021-02-23,ta_volatility_kch,500,120,0.24,0.4418037285065328,0.47416922926264016,1.896148823036943,0.9970533970502534
2021-02-24,ta_volatility_kch,500,120,0.24,0.39519935234394726,0.5122523705218904,1.8910080425241425,0.9223346900651908
2021-02-25,ta_volatility_kch,500,120,0.24,0.3914933596015084,0.5270920657773255,1.8824184358351708,0.8902106138334889
2021-02-26,ta_volatility_kch,500,120,0.24,0.4063595507103169,0.5150455256715123,1.8782730452704282,0.9108769173144882
2021-03-01,ta_volatility_kch,500,120,0.24,0.41506814812542603,0.4563498505368194,1.874847886739947,1.0192613338469003
2021-03-02,ta_volatility_kch,500,120,0.24,0.4290811817607825,0.4814271718791556,1.878682456287537,0.9742336744980428
2021-03-03,ta_volatility_kch,500,120,0.24,0.45842077683409177,0.41297799804148194,1.8843416054799609,1.1061499816225746
2021-03-04,ta_volatility_kch,500,120,0.24,0.4307600329102893,0.4127590421733818,1.885406717135405,1.107188046463335
2021-03-05,ta_volatility_kch,500,120,0.24,0.42036357020493165,0.41366159999791885,1.8784074853556323,1.1013824395153542
2021-03-08,ta_volatility_kch,500,120,0.24,0.42463617341487764,0.46488595557786694,1.8734372871471807,1.002502603696557
2021-03-09,ta_volatility_kch,500,120,0.24,0.47262984415015463,0.384660354569327,1.8559615279764068,1.1420467085579722
