system,factor,metric,horizon,value,source_file,batch
qlib_eval,alpha360_VOLUME29,std,label_10d_t1,0.1179560597515208,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME29/label_10d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME29,std,label_20d_t1,0.1162108494657045,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME29/label_20d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME30,annualized_return,label_10d_t1,9.61246412708981,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME30/label_10d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME30,annualized_return,label_20d_t1,10.318997026219794,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME30/label_20d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME30,information_ratio,label_10d_t1,5.406472546290338,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME30/label_10d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME30,information_ratio,label_20d_t1,5.898347481595963,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME30/label_20d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME30,max_drawdown,label_10d_t1,-2.076456903775706,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME30/label_10d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME30,max_drawdown,label_20d_t1,-2.0552909327552853,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME30/label_20d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME30,mean,label_10d_t1,0.0403885047356714,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME30/label_10d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME30,mean,label_20d_t1,0.043357130362268,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME30/label_20d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME30,std,label_10d_t1,0.1152476959115702,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME30/label_10d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME30,std,label_20d_t1,0.1134014623009212,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME30/label_20d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME31,annualized_return,label_10d_t1,9.54149372677982,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME31/label_10d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME31,annualized_return,label_20d_t1,10.618169703801348,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME31/label_20d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME31,information_ratio,label_10d_t1,5.317764194938359,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME31/label_10d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME31,information_ratio,label_20d_t1,6.179046870999593,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME31/label_20d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME31,max_drawdown,label_10d_t1,-2.216316983995362,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME31/label_10d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME31,max_drawdown,label_20d_t1,-1.9259885691881744,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME31/label_20d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME31,mean,label_10d_t1,0.0400903097763858,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME31/label_10d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME31,mean,label_20d_t1,0.0446141584193333,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME31/label_20d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME31,std,label_10d_t1,0.1163051149924106,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME31/label_10d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME31,std,label_20d_t1,0.1113883303202616,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME31/label_20d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME32,annualized_return,label_10d_t1,10.381311415915818,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME32/label_10d_t1_risk_analysis.csv,batch_066
qlib_eval,alpha360_VOLUME32,annualized_return,label_20d_t1,10.91582978003182,E:/qlib_prj/qlib_baseline/outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/runs/batch_066/qlib_eval/alpha360_VOLUME32/label_20d_t1_risk_analysis.csv,batch_066
