rolling_interval_id,datetime,instrument,resolution
2973,2024-05-23,SZ000961,truncated_to_lifecycle
2973,2024-05-24,SZ000961,truncated_to_lifecycle
2973,2024-05-27,SZ000961,truncated_to_lifecycle
2973,2024-05-28,SZ000961,truncated_to_lifecycle
2973,2024-05-29,SZ000961,truncated_to_lifecycle
2973,2024-05-30,SZ000961,truncated_to_lifecycle
2973,2024-05-31,SZ000961,truncated_to_lifecycle
2999,2024-06-24,SZ000982,truncated_to_lifecycle
2999,2024-06-25,SZ000982,truncated_to_lifecycle
2999,2024-06-26,SZ000982,truncated_to_lifecycle
2999,2024-06-27,SZ000982,truncated_to_lifecycle
2999,2024-06-28,SZ000982,truncated_to_lifecycle
3091,2024-01-19,SZ002002,truncated_to_lifecycle
3091,2024-01-22,SZ002002,truncated_to_lifecycle
3091,2024-01-23,SZ002002,truncated_to_lifecycle
3091,2024-01-24,SZ002002,truncated_to_lifecycle
3091,2024-01-25,SZ002002,truncated_to_lifecycle
3091,2024-01-26,SZ002002,truncated_to_lifecycle
3091,2024-01-29,SZ002002,truncated_to_lifecycle
3091,2024-01-30,SZ002002,truncated_to_lifecycle
3091,2024-01-31,SZ002002,truncated_to_lifecycle
3107,2023-02-08,SZ002013,truncated_to_lifecycle
3107,2023-02-09,SZ002013,truncated_to_lifecycle
3107,2023-02-10,SZ002013,truncated_to_lifecycle
3107,2023-02-13,SZ002013,truncated_to_lifecycle
3107,2023-02-14,SZ002013,truncated_to_lifecycle
3107,2023-02-15,SZ002013,truncated_to_lifecycle
3107,2023-02-16,SZ002013,truncated_to_lifecycle
3107,2023-02-17,SZ002013,truncated_to_lifecycle
3107,2023-02-20,SZ002013,truncated_to_lifecycle
3107,2023-02-21,SZ002013,truncated_to_lifecycle
3107,2023-02-22,SZ002013,truncated_to_lifecycle
3107,2023-02-23,SZ002013,truncated_to_lifecycle
3107,2023-02-24,SZ002013,truncated_to_lifecycle
3107,2023-02-27,SZ002013,truncated_to_lifecycle
3107,2023-02-28,SZ002013,truncated_to_lifecycle
3483,2024-06-27,SZ002280,truncated_to_lifecycle
3483,2024-06-28,SZ002280,truncated_to_lifecycle
3522,2024-08-23,SZ002308,truncated_to_lifecycle
3522,2024-08-26,SZ002308,truncated_to_lifecycle
3522,2024-08-27,SZ002308,truncated_to_lifecycle
3522,2024-08-28,SZ002308,truncated_to_lifecycle
3522,2024-08-29,SZ002308,truncated_to_lifecycle
3522,2024-08-30,SZ002308,truncated_to_lifecycle
3664,2023-07-12,SZ002411,truncated_to_lifecycle
3664,2023-07-13,SZ002411,truncated_to_lifecycle
3664,2023-07-14,SZ002411,truncated_to_lifecycle
3664,2023-07-17,SZ002411,truncated_to_lifecycle
3664,2023-07-18,SZ002411,truncated_to_lifecycle
3664,2023-07-19,SZ002411,truncated_to_lifecycle
3664,2023-07-20,SZ002411,truncated_to_lifecycle
3664,2023-07-21,SZ002411,truncated_to_lifecycle
3664,2023-07-24,SZ002411,truncated_to_lifecycle
3664,2023-07-25,SZ002411,truncated_to_lifecycle
3664,2023-07-26,SZ002411,truncated_to_lifecycle
3664,2023-07-27,SZ002411,truncated_to_lifecycle
3664,2023-07-28,SZ002411,truncated_to_lifecycle
3664,2023-07-31,SZ002411,truncated_to_lifecycle
3782,2024-07-03,SZ002505,truncated_to_lifecycle
3782,2024-07-04,SZ002505,truncated_to_lifecycle
3782,2024-07-05,SZ002505,truncated_to_lifecycle
3782,2024-07-08,SZ002505,truncated_to_lifecycle
3782,2024-07-09,SZ002505,truncated_to_lifecycle
3782,2024-07-10,SZ002505,truncated_to_lifecycle
3782,2024-07-11,SZ002505,truncated_to_lifecycle
3782,2024-07-12,SZ002505,truncated_to_lifecycle
3782,2024-07-15,SZ002505,truncated_to_lifecycle
3782,2024-07-16,SZ002505,truncated_to_lifecycle
3782,2024-07-17,SZ002505,truncated_to_lifecycle
3782,2024-07-18,SZ002505,truncated_to_lifecycle
3782,2024-07-19,SZ002505,truncated_to_lifecycle
3782,2024-07-22,SZ002505,truncated_to_lifecycle
3782,2024-07-23,SZ002505,truncated_to_lifecycle
3782,2024-07-24,SZ002505,truncated_to_lifecycle
3782,2024-07-25,SZ002505,truncated_to_lifecycle
3782,2024-07-26,SZ002505,truncated_to_lifecycle
3782,2024-07-29,SZ002505,truncated_to_lifecycle
3782,2024-07-30,SZ002505,truncated_to_lifecycle
3782,2024-07-31,SZ002505,truncated_to_lifecycle
3935,2024-06-19,SZ002610,truncated_to_lifecycle
3935,2024-06-20,SZ002610,truncated_to_lifecycle
3935,2024-06-21,SZ002610,truncated_to_lifecycle
3935,2024-06-24,SZ002610,truncated_to_lifecycle
3935,2024-06-25,SZ002610,truncated_to_lifecycle
3935,2024-06-26,SZ002610,truncated_to_lifecycle
3935,2024-06-27,SZ002610,truncated_to_lifecycle
3935,2024-06-28,SZ002610,truncated_to_lifecycle
4004,2024-06-28,SZ002665,truncated_to_lifecycle
4601,2025-02-17,SZ300114,truncated_to_lifecycle
4601,2025-02-18,SZ300114,truncated_to_lifecycle
4601,2025-02-19,SZ300114,truncated_to_lifecycle
4601,2025-02-20,SZ300114,truncated_to_lifecycle
4601,2025-02-21,SZ300114,truncated_to_lifecycle
4601,2025-02-24,SZ300114,truncated_to_lifecycle
4601,2025-02-25,SZ300114,truncated_to_lifecycle
4601,2025-02-26,SZ300114,truncated_to_lifecycle
4601,2025-02-27,SZ300114,truncated_to_lifecycle
4601,2025-02-28,SZ300114,truncated_to_lifecycle
4604,2024-05-17,SZ300116,truncated_to_lifecycle
4604,2024-05-20,SZ300116,truncated_to_lifecycle
4604,2024-05-21,SZ300116,truncated_to_lifecycle
4604,2024-05-22,SZ300116,truncated_to_lifecycle
4604,2024-05-23,SZ300116,truncated_to_lifecycle
4604,2024-05-24,SZ300116,truncated_to_lifecycle
4604,2024-05-27,SZ300116,truncated_to_lifecycle
4604,2024-05-28,SZ300116,truncated_to_lifecycle
4604,2024-05-29,SZ300116,truncated_to_lifecycle
4604,2024-05-30,SZ300116,truncated_to_lifecycle
4604,2024-05-31,SZ300116,truncated_to_lifecycle
5028,2026-01-22,SZ300379,truncated_to_lifecycle
5028,2026-01-23,SZ300379,truncated_to_lifecycle
5028,2026-01-26,SZ300379,truncated_to_lifecycle
5028,2026-01-27,SZ300379,truncated_to_lifecycle
5028,2026-01-28,SZ300379,truncated_to_lifecycle
5028,2026-01-29,SZ300379,truncated_to_lifecycle
5028,2026-01-30,SZ300379,truncated_to_lifecycle
5406,2025-05-22,SZ300630,truncated_to_lifecycle
5406,2025-05-23,SZ300630,truncated_to_lifecycle
5406,2025-05-26,SZ300630,truncated_to_lifecycle
5406,2025-05-27,SZ300630,truncated_to_lifecycle
5406,2025-05-28,SZ300630,truncated_to_lifecycle
5406,2025-05-29,SZ300630,truncated_to_lifecycle
5406,2025-05-30,SZ300630,truncated_to_lifecycle
