batch_id,factor,ic_days,mean_rank_ic,std_rank_ic,min_pair_count,median_pair_count,max_factor_missing_count,max_label_missing_count,rank_ic_ir
alpha360_004,alpha360_HIGH41,1273,0.07304205070306001,0.16982915157378733,0,1991.0,24,2000,0.4300913596175196
alpha360_004,alpha360_HIGH42,1273,0.07267705692217985,0.16960697034324812,0,1991.0,23,2000,0.42850277187958186
alpha360_004,alpha360_HIGH43,1273,0.07227321811662683,0.16942908162590584,0,1991.0,24,2000,0.4265691428122349
alpha360_004,alpha360_HIGH44,1273,0.07172908838873088,0.16904054445564273,0,1991.0,24,2000,0.42433067534015795
alpha360_004,alpha360_HIGH45,1273,0.07099224473441583,0.1685837854142532,0,1991.0,23,2000,0.42110956614225886
alpha360_005,alpha360_HIGH46,1273,0.07038734002221099,0.16837463697354735,0,1991.0,24,2000,0.41804004027797403
alpha360_005,alpha360_HIGH47,1273,0.06973832307386976,0.1681076657269583,0,1991.0,24,2000,0.41484320641950534
alpha360_005,alpha360_HIGH48,1273,0.06914499402550055,0.16783577491016607,0,1991.0,23,2000,0.4119800683883417
alpha360_005,alpha360_HIGH49,1273,0.06880656749673217,0.16728169136717871,0,1991.0,22,2000,0.4113215674374289
alpha360_005,alpha360_HIGH5,1273,0.017627969560844402,0.14921530729937124,0,1992.0,25,2000,0.11813780958462484
alpha360_005,alpha360_HIGH50,1273,0.06850843624425289,0.16673452589587465,0,1991.0,23,2000,0.41088332411150563
alpha360_005,alpha360_HIGH51,1273,0.0682960094595991,0.16610433307101924,0,1991.0,23,2000,0.4111633224546803
alpha360_005,alpha360_HIGH52,1273,0.06783605628734755,0.1658434563701302,0,1991.0,22,2000,0.4090366769488374
alpha360_005,alpha360_HIGH53,1273,0.06729165808549087,0.1658533188299593,0,1991.0,21,2000,0.40572994595592915
alpha360_005,alpha360_HIGH54,1273,0.06667657011868895,0.16609923868926207,0,1991.0,22,2000,0.4014261031227679
alpha360_005,alpha360_HIGH55,1273,0.06598875498464493,0.16680382749119385,0,1991.0,22,2000,0.39560695924755507
alpha360_005,alpha360_HIGH56,1273,0.06530550810920022,0.16786242423511422,0,1991.0,22,2000,0.38904185023404014
alpha360_005,alpha360_HIGH57,1273,0.06481116103182918,0.1686822122002418,0,1991.0,22,2000,0.3842204829214131
alpha360_005,alpha360_HIGH58,1273,0.06454120676364812,0.1692986276754152,0,1991.0,22,2000,0.3812269930940528
alpha360_005,alpha360_HIGH59,1273,0.0643869207357198,0.16996667352490807,0,1991.0,25,2000,0.3788208558796328
alpha360_005,alpha360_HIGH6,1273,0.02223275575888596,0.1489172243590667,0,1992.0,27,2000,0.14929606601637105
alpha360_005,alpha360_HIGH7,1273,0.02622738414250164,0.14926497052689686,0,1992.0,27,2000,0.17571024232892998
alpha360_005,alpha360_HIGH8,1273,0.02970451236887874,0.15002028003301607,0,1992.0,26,2000,0.19800331236777752
alpha360_005,alpha360_HIGH9,1273,0.03317308536396879,0.1507120754618938,0,1992.0,26,2000,0.22010900760474436
alpha360_005,alpha360_LOW0,1273,0.045654062693054755,0.13650539636776207,0,1994.0,21,2000,0.3344487757103549
alpha360_005,alpha360_LOW1,1273,0.03529574938457243,0.14808260242823007,0,1993.0,24,2000,0.23835176317676426
alpha360_005,alpha360_LOW10,1273,0.053708320201204106,0.15485283436801317,0,1992.0,26,2000,0.34683459570113134
alpha360_005,alpha360_LOW11,1273,0.056054530037513546,0.15559046060799692,0,1992.0,24,2000,0.36026970945693376
alpha360_005,alpha360_LOW12,1273,0.05787378739540613,0.1566722252002112,0,1992.0,23,2000,0.36939404748639587
alpha360_005,alpha360_LOW13,1273,0.0596868403459811,0.1573558712611555,0,1992.0,23,2000,0.3793111745218703
alpha360_006,alpha360_LOW14,1273,0.06126956996495032,0.1580054886818971,0,1992.0,25,2000,0.3877686178883358
alpha360_006,alpha360_LOW15,1273,0.06251347614693316,0.15915720124974977,0,1992.0,24,2000,0.39277818192364977
alpha360_006,alpha360_LOW16,1273,0.06388193260669969,0.16013121410961995,0,1991.5,27,2000,0.39893491697982425
alpha360_006,alpha360_LOW17,1273,0.0656369617773923,0.16117166302528466,0,1991.0,25,2000,0.40724877156038997
alpha360_006,alpha360_LOW18,1273,0.06732876281961772,0.16239324268279565,0,1991.0,24,2000,0.4146032292189132
alpha360_006,alpha360_LOW19,1273,0.06895978715338703,0.16373250216177893,0,1991.0,23,2000,0.42117347651140175
alpha360_006,alpha360_LOW2,1273,0.03471382515160409,0.1503725753509471,0,1993.0,29,2000,0.23085210232375955
alpha360_006,alpha360_LOW20,1273,0.07047782550284068,0.16485547808092801,0,1991.0,24,2000,0.4275127907380968
alpha360_006,alpha360_LOW21,1273,0.07234843095275738,0.16555250558990875,0,1991.0,23,2000,0.4370119962543616
alpha360_006,alpha360_LOW22,1273,0.073993687360371,0.16606265089080158,0,1991.0,25,2000,0.44557693715865887
alpha360_006,alpha360_LOW23,1273,0.07545532147478475,0.16651875368536348,0,1991.0,24,2000,0.45313407532077304
alpha360_006,alpha360_LOW24,1273,0.07697407839081154,0.16706473286840293,0,1991.0,25,2000,0.4607440305874975
