factor,year,rows,finite_count,missing_count,infinite_count,finite_dates,observed_dates,first_finite_date,last_finite_date,constant_dates,min_count_variable_dates,coverage
ta_trend_kst_diff,2013,475975,403375,72600,0,238,238,2013-01-04,2013-12-31,0,238,0.8474709806187299
ta_trend_kst_diff,2014,489995,386999,102996,0,245,245,2014-01-02,2014-12-31,0,245,0.7898019367544566
ta_trend_kst_diff,2015,487993,320853,167140,0,244,244,2015-01-05,2015-12-31,0,244,0.6574950870196908
ta_trend_kst_diff,2016,488000,390383,97617,0,244,244,2016-01-04,2016-12-30,0,244,0.7999651639344262
ta_trend_kst_diff,2017,488000,399059,88941,0,244,244,2017-01-03,2017-12-29,0,244,0.8177438524590164
ta_trend_kst_diff,2018,485999,416723,69276,0,243,243,2018-01-02,2018-12-28,0,243,0.8574564968240675
ta_trend_kst_diff,2019,487969,442619,45350,0,244,244,2019-01-02,2019-12-31,0,244,0.9070637683951236
ta_trend_kst_diff,2020,485973,444240,41733,0,243,243,2020-01-02,2020-12-31,0,243,0.9141248587884512
ta_trend_kst_diff,2021,485981,475039,10942,0,243,243,2021-01-04,2021-12-31,0,243,0.9774847164806856
ta_trend_kst_diff,2022,483983,476841,7142,0,242,242,2022-01-04,2022-12-30,0,242,0.9852432833384644
ta_trend_kst_diff,2023,483926,480429,3497,0,242,242,2023-01-03,2023-12-29,0,242,0.9927736885391568
ta_trend_kst_sig,2010,355454,194093,161361,0,223,223,2010-01-29,2010-12-31,0,223,0.5460425258964592
ta_trend_kst_sig,2011,455402,250144,205258,0,244,244,2011-01-04,2011-12-30,0,244,0.54928173350139
ta_trend_kst_sig,2012,485960,318665,167295,0,243,243,2012-01-04,2012-12-31,0,243,0.6557432710511153
ta_trend_kst_sig,2013,475975,411139,64836,0,238,238,2013-01-04,2013-12-31,0,238,0.863782761699669
ta_trend_kst_sig,2014,489995,397933,92062,0,245,245,2014-01-02,2014-12-31,0,245,0.8121164501678588
ta_trend_kst_sig,2015,487993,336073,151920,0,244,244,2015-01-05,2015-12-31,0,244,0.6886840589926495
ta_trend_kst_sig,2016,488000,397825,90175,0,244,244,2016-01-04,2016-12-30,0,244,0.8152151639344263
ta_trend_kst_sig,2017,488000,405082,82918,0,244,244,2017-01-03,2017-12-29,0,244,0.8300860655737705
ta_trend_kst_sig,2018,485999,420049,65950,0,243,243,2018-01-02,2018-12-28,0,243,0.864300132304799
ta_trend_kst_sig,2019,487969,444578,43391,0,244,244,2019-01-02,2019-12-31,0,244,0.911078367683193
ta_trend_kst_sig,2020,485973,445896,40077,0,243,243,2020-01-02,2020-12-31,0,243,0.9175324555067874
ta_trend_kst_sig,2021,485981,476343,9638,0,243,243,2021-01-04,2021-12-31,0,243,0.9801679489527368
ta_trend_kst_sig,2022,483983,477972,6011,0,242,242,2022-01-04,2022-12-30,0,242,0.9875801422777246
ta_trend_kst_sig,2023,483926,480969,2957,0,242,242,2023-01-03,2023-12-29,0,242,0.9938895616271908
ta_trend_psar_down,2010,355454,146333,209121,0,223,223,2010-01-29,2010-12-31,0,215,0.4116791483567494
ta_trend_psar_down,2011,455402,200146,255256,0,244,244,2011-01-04,2011-12-30,0,241,0.4394930193543287
ta_trend_psar_down,2012,485960,175540,310420,0,243,243,2012-01-04,2012-12-31,0,243,0.3612231459379372
ta_trend_psar_down,2013,475975,183689,292286,0,238,238,2013-01-04,2013-12-31,0,238,0.3859215294920952
ta_trend_psar_down,2014,489995,186613,303382,0,245,245,2014-01-02,2014-12-31,0,245,0.3808467433341156
ta_trend_psar_down,2015,487993,162688,325305,0,244,244,2015-01-05,2015-12-31,0,244,0.3333818312967604
ta_trend_psar_down,2016,488000,179767,308233,0,244,244,2016-01-04,2016-12-30,0,244,0.368375
ta_trend_psar_down,2017,488000,162954,325046,0,244,244,2017-01-03,2017-12-29,0,244,0.333922131147541
ta_trend_psar_down,2018,485999,170361,315638,0,243,243,2018-01-02,2018-12-28,0,243,0.3505377583081446
ta_trend_psar_down,2019,487969,155832,332137,0,244,244,2019-01-02,2019-12-31,0,243,0.3193481553131448
ta_trend_psar_down,2020,485973,171527,314446,0,243,243,2020-01-02,2020-12-31,0,243,0.3529558226485834
ta_trend_psar_down,2021,485981,245112,240869,0,243,243,2021-01-04,2021-12-31,0,243,0.5043653970011174
ta_trend_psar_down,2022,483983,259154,224829,0,242,242,2022-01-04,2022-12-30,0,242,0.5354609562732575
ta_trend_psar_down,2023,483926,259877,224049,0,242,242,2023-01-03,2023-12-29,0,242,0.5370180564797097
ta_volatility_atr,2010,355454,43,355411,0,43,223,2010-01-29,2010-04-07,43,0,0.0001209720526425
ta_volatility_atr,2011,455402,198,455204,0,165,244,2011-01-04,2011-09-02,132,0,0.0004347806992503
ta_volatility_atr,2012,485960,88,485872,0,88,243,2012-01-04,2012-05-18,88,0,0.0001810848629516
ta_volatility_atr,2013,475975,1575,474400,0,238,238,2013-01-04,2013-12-31,0,0,0.0033089973212878
ta_volatility_atr,2014,489995,154242,335753,0,245,245,2014-01-02,2014-12-31,0,245,0.3147828039061623
ta_volatility_atr,2015,487993,102925,385068,0,244,244,2015-01-05,2015-12-31,0,244,0.2109149106647021
ta_volatility_atr,2016,488000,71517,416483,0,244,244,2016-01-04,2016-12-30,0,244,0.1465512295081967
ta_volatility_atr,2017,488000,129921,358079,0,244,244,2017-01-03,2017-12-29,0,244,0.2662315573770492
ta_volatility_atr,2018,485999,158937,327062,0,243,243,2018-01-02,2018-12-28,0,243,0.3270315371019281
ta_volatility_atr,2019,487969,203468,284501,0,244,244,2019-01-02,2019-12-31,0,244,0.4169691107426906
ta_volatility_atr,2020,485973,248349,237624,0,243,243,2020-01-02,2020-12-31,0,243,0.5110345636485978
ta_volatility_atr,2021,485981,438476,47505,0,243,243,2021-01-04,2021-12-31,0,243,0.9022492648889564
ta_volatility_atr,2022,483983,427171,56812,0,242,242,2022-01-04,2022-12-30,0,242,0.8826157117088823
ta_volatility_atr,2023,483926,417727,66199,0,242,242,2023-01-03,2023-12-29,0,242,0.8632042915652394
