datetime,factor,quantile,mean_label,count
2018-10-10,amplitude_20,5,-0.0037472765,383
2018-10-11,amplitude_20,1,-0.0156140225,383
2018-10-11,amplitude_20,2,-0.01658359,383
2018-10-11,amplitude_20,3,-0.014270787,383
2018-10-11,amplitude_20,4,-0.015356562,383
2018-10-11,amplitude_20,5,-0.014354071,383
2018-10-12,amplitude_20,1,-0.016657174,384
2018-10-12,amplitude_20,2,-0.02005971,383
2018-10-12,amplitude_20,3,-0.02237554,383
2018-10-12,amplitude_20,4,-0.02314906,383
2018-10-12,amplitude_20,5,-0.021740649,383
2018-10-15,amplitude_20,1,0.0094229635,384
2018-10-15,amplitude_20,2,0.010137694,383
2018-10-15,amplitude_20,3,0.011598457,383
2018-10-15,amplitude_20,4,0.010014105,383
2018-10-15,amplitude_20,5,0.009595121,384
2018-10-16,amplitude_20,1,-0.024579743,383
2018-10-16,amplitude_20,2,-0.03022606,383
2018-10-16,amplitude_20,3,-0.031193536,383
2018-10-16,amplitude_20,4,-0.032031428,383
2018-10-16,amplitude_20,5,-0.03916943,383
2018-10-17,amplitude_20,1,0.016453294,382
2018-10-17,amplitude_20,2,0.019962184,382
2018-10-17,amplitude_20,3,0.021507299,382
2018-10-17,amplitude_20,4,0.025097936,382
2018-10-17,amplitude_20,5,0.026496442,382
2018-10-18,amplitude_20,1,0.0452548,382
2018-10-18,amplitude_20,2,0.049217913,382
2018-10-18,amplitude_20,3,0.049155176,382
2018-10-18,amplitude_20,4,0.051281475,382
2018-10-18,amplitude_20,5,0.056903798,382
2018-10-19,amplitude_20,1,-0.014164785,383
2018-10-19,amplitude_20,2,-0.014161485,382
2018-10-19,amplitude_20,3,-0.015859464,382
2018-10-19,amplitude_20,4,-0.012026971,382
2018-10-19,amplitude_20,5,-0.010049439,382
2018-10-22,amplitude_20,1,0.0053482777,383
2018-10-22,amplitude_20,2,0.004010221,382
2018-10-22,amplitude_20,3,0.0032997956,382
2018-10-22,amplitude_20,4,0.0015557344,382
2018-10-22,amplitude_20,5,-0.0019757098,383
2018-10-23,amplitude_20,1,0.0006292011,383
2018-10-23,amplitude_20,2,-0.0011763127,382
2018-10-23,amplitude_20,3,-0.0029362508,382
2018-10-23,amplitude_20,4,-0.00554461,382
2018-10-23,amplitude_20,5,-0.007971611,382
2018-10-24,amplitude_20,1,0.009716778,382
2018-10-24,amplitude_20,2,0.007323822,382
2018-10-24,amplitude_20,3,0.006317636,382
2018-10-24,amplitude_20,4,0.0029511433,382
2018-10-24,amplitude_20,5,-0.0026835173,382
2018-10-25,amplitude_20,1,-0.0092257885,383
2018-10-25,amplitude_20,2,-0.014104975,382
2018-10-25,amplitude_20,3,-0.01407977,382
2018-10-25,amplitude_20,4,-0.01643893,382
2018-10-25,amplitude_20,5,-0.020108074,382
2018-10-26,amplitude_20,1,0.01077652,383
2018-10-26,amplitude_20,2,0.011423634,382
2018-10-26,amplitude_20,3,0.01267577,382
2018-10-26,amplitude_20,4,0.01327607,382
2018-10-26,amplitude_20,5,0.01491687,382
2018-10-29,amplitude_20,1,0.012070748,382
2018-10-29,amplitude_20,2,0.015785757,382
2018-10-29,amplitude_20,3,0.016940538,381
2018-10-29,amplitude_20,4,0.01647828,382
2018-10-29,amplitude_20,5,0.017812174,382
2018-10-30,amplitude_20,1,0.0020437783,382
2018-10-30,amplitude_20,2,0.0051413407,381
2018-10-30,amplitude_20,3,0.0069769,382
2018-10-30,amplitude_20,4,0.00774308,381
2018-10-30,amplitude_20,5,0.008976979,382
2018-10-31,amplitude_20,1,0.022183238,382
2018-10-31,amplitude_20,2,0.026086435,382
2018-10-31,amplitude_20,3,0.028787991,381
2018-10-31,amplitude_20,4,0.032371752,382
2018-10-31,amplitude_20,5,0.03423446,382
2018-11-01,amplitude_20,1,0.0050794017,382
2018-11-01,amplitude_20,2,0.008229339,382
2018-11-01,amplitude_20,3,0.008996751,382
2018-11-01,amplitude_20,4,0.009498764,382
2018-11-01,amplitude_20,5,0.012621629,382
2018-11-02,amplitude_20,1,0.0026405258,382
2018-11-02,amplitude_20,2,0.0024548157,382
2018-11-02,amplitude_20,3,0.0017032721,382
2018-11-02,amplitude_20,4,-4.605426e-05,382
2018-11-02,amplitude_20,5,-0.0031099506,382
2018-11-05,amplitude_20,1,-0.0034596876,384
2018-11-05,amplitude_20,2,-0.0028798943,383
2018-11-05,amplitude_20,3,-0.0048498088,383
2018-11-05,amplitude_20,4,-0.0021219824,383
2018-11-05,amplitude_20,5,0.0005469897,384
2018-11-06,amplitude_20,1,-0.0012818193,384
2018-11-06,amplitude_20,2,0.0005795582,383
2018-11-06,amplitude_20,3,-0.00095477654,384
2018-11-06,amplitude_20,4,-0.0017367186,383
2018-11-06,amplitude_20,5,0.0008528009,384
2018-11-07,amplitude_20,1,-0.004156439,384
2018-11-07,amplitude_20,2,-0.0011335631,383
2018-11-07,amplitude_20,3,-0.0026163433,383
2018-11-07,amplitude_20,4,0.00061611953,383
2018-11-07,amplitude_20,5,-0.0036307806,383
2018-11-08,amplitude_20,1,0.02581673,384
2018-11-08,amplitude_20,2,0.028308136,383
2018-11-08,amplitude_20,3,0.030389078,383
2018-11-08,amplitude_20,4,0.033955745,383
2018-11-08,amplitude_20,5,0.03443119,384
2018-11-09,amplitude_20,1,0.019727211,384
2018-11-09,amplitude_20,2,0.023834636,383
2018-11-09,amplitude_20,3,0.020737749,383
2018-11-09,amplitude_20,4,0.022960702,383
2018-11-09,amplitude_20,5,0.023641905,383
2018-11-12,amplitude_20,1,-0.0015573943,384
