datetime,factor,top_count,turnover
2017-12-19,corr_ret_volume_20,359,0.13649025069637888
2017-12-20,corr_ret_volume_20,359,0.14763231197771587
2017-12-21,corr_ret_volume_20,358,0.23398328690807801
2017-12-22,corr_ret_volume_20,358,0.13128491620111726
2017-12-25,corr_ret_volume_20,358,0.15642458100558654
2017-12-26,corr_ret_volume_20,357,0.15921787709497204
2017-12-27,corr_ret_volume_20,358,0.15406162464985995
2017-12-28,corr_ret_volume_20,358,0.16759776536312854
2017-12-29,corr_ret_volume_20,358,0.15921787709497204
2018-01-02,corr_ret_volume_20,357,0.1815642458100558
2018-01-03,corr_ret_volume_20,358,0.40336134453781514
2018-01-04,corr_ret_volume_20,359,0.2094972067039106
2018-01-05,corr_ret_volume_20,359,0.20612813370473537
2018-01-08,corr_ret_volume_20,359,0.17270194986072418
2018-01-09,corr_ret_volume_20,359,0.17270194986072418
2018-01-10,corr_ret_volume_20,358,0.21169916434540392
2018-01-11,corr_ret_volume_20,358,0.16759776536312854
2018-01-12,corr_ret_volume_20,359,0.16480446927374304
2018-01-15,corr_ret_volume_20,359,0.2701949860724234
2018-01-16,corr_ret_volume_20,360,0.19220055710306405
2018-01-17,corr_ret_volume_20,360,0.18055555555555558
2018-01-18,corr_ret_volume_20,360,0.15000000000000002
2018-01-19,corr_ret_volume_20,361,0.13611111111111107
2018-01-22,corr_ret_volume_20,361,0.15512465373961215
2018-01-23,corr_ret_volume_20,361,0.14404432132963985
2018-01-24,corr_ret_volume_20,362,0.16897506925207761
2018-01-25,corr_ret_volume_20,362,0.1933701657458563
2018-01-26,corr_ret_volume_20,362,0.1353591160220995
2018-01-29,corr_ret_volume_20,362,0.19613259668508287
2018-01-30,corr_ret_volume_20,362,0.1353591160220995
2018-01-31,corr_ret_volume_20,362,0.25138121546961323
2018-02-01,corr_ret_volume_20,360,0.27071823204419887
2018-02-02,corr_ret_volume_20,355,0.14166666666666672
2018-02-05,corr_ret_volume_20,350,0.14647887323943665
2018-02-06,corr_ret_volume_20,348,0.2171428571428572
2018-02-07,corr_ret_volume_20,348,0.13505747126436785
2018-02-08,corr_ret_volume_20,346,0.11206896551724133
2018-02-09,corr_ret_volume_20,346,0.16763005780346818
2018-02-12,corr_ret_volume_20,347,0.1936416184971098
2018-02-13,corr_ret_volume_20,348,0.1527377521613833
2018-02-14,corr_ret_volume_20,348,0.11494252873563215
2018-02-22,corr_ret_volume_20,348,0.08333333333333337
2018-02-23,corr_ret_volume_20,349,0.0977011494252874
2018-02-26,corr_ret_volume_20,349,0.13753581661891112
2018-02-27,corr_ret_volume_20,349,0.09169054441260749
2018-02-28,corr_ret_volume_20,349,0.12320916905444124
2018-03-01,corr_ret_volume_20,348,0.16905444126074498
2018-03-02,corr_ret_volume_20,348,0.08620689655172409
2018-03-05,corr_ret_volume_20,348,0.09482758620689657
2018-03-06,corr_ret_volume_20,348,0.0977011494252874
2018-03-07,corr_ret_volume_20,349,0.11494252873563215
2018-03-08,corr_ret_volume_20,350,0.24641833810888247
2018-03-09,corr_ret_volume_20,350,0.18571428571428572
2018-03-12,corr_ret_volume_20,349,0.16000000000000003
2018-03-13,corr_ret_volume_20,349,0.3839541547277937
2018-03-14,corr_ret_volume_20,349,0.2063037249283668
2018-03-15,corr_ret_volume_20,349,0.15759312320916907
2018-03-16,corr_ret_volume_20,349,0.38968481375358166
2018-03-19,corr_ret_volume_20,350,0.22636103151862463
2018-03-20,corr_ret_volume_20,350,0.18571428571428572
2018-03-21,corr_ret_volume_20,351,0.21999999999999997
2018-03-22,corr_ret_volume_20,352,0.23931623931623935
2018-03-23,corr_ret_volume_20,353,0.4545454545454546
2018-03-26,corr_ret_volume_20,355,0.20113314447592068
2018-03-27,corr_ret_volume_20,356,0.19436619718309855
2018-03-28,corr_ret_volume_20,355,0.1713483146067416
2018-03-29,corr_ret_volume_20,355,0.14084507042253525
2018-03-30,corr_ret_volume_20,356,0.15774647887323945
2018-04-02,corr_ret_volume_20,356,0.148876404494382
2018-04-03,corr_ret_volume_20,356,0.1460674157303371
2018-04-04,corr_ret_volume_20,357,0.1123595505617978
2018-04-09,corr_ret_volume_20,355,0.13725490196078427
2018-04-10,corr_ret_volume_20,355,0.16901408450704225
2018-04-11,corr_ret_volume_20,356,0.11830985915492953
2018-04-12,corr_ret_volume_20,356,0.1151685393258427
2018-04-13,corr_ret_volume_20,356,0.1039325842696629
2018-04-16,corr_ret_volume_20,356,0.1123595505617978
2018-04-17,corr_ret_volume_20,355,0.1376404494382022
2018-04-18,corr_ret_volume_20,355,0.15492957746478875
2018-04-19,corr_ret_volume_20,354,0.10704225352112673
2018-04-20,corr_ret_volume_20,356,0.11581920903954801
2018-04-23,corr_ret_volume_20,356,0.1376404494382022
2018-04-24,corr_ret_volume_20,356,0.4719101123595506
2018-04-25,corr_ret_volume_20,357,0.1797752808988764
2018-04-26,corr_ret_volume_20,356,0.22689075630252098
2018-04-27,corr_ret_volume_20,356,0.2050561797752809
2018-05-02,corr_ret_volume_20,353,0.1966292134831461
2018-05-03,corr_ret_volume_20,354,0.1388101983002833
2018-05-04,corr_ret_volume_20,354,0.12429378531073443
2018-05-07,corr_ret_volume_20,355,0.1610169491525424
2018-05-08,corr_ret_volume_20,355,0.11830985915492953
2018-05-09,corr_ret_volume_20,355,0.12394366197183093
2018-05-10,corr_ret_volume_20,355,0.16056338028169015
2018-05-11,corr_ret_volume_20,355,0.16056338028169015
2018-05-14,corr_ret_volume_20,355,0.12112676056338023
2018-05-15,corr_ret_volume_20,356,0.14647887323943665
2018-05-16,corr_ret_volume_20,357,0.1629213483146067
2018-05-17,corr_ret_volume_20,357,0.19047619047619047
2018-05-18,corr_ret_volume_20,357,0.2016806722689075
2018-05-21,corr_ret_volume_20,357,0.14565826330532217
2018-05-22,corr_ret_volume_20,357,0.22408963585434172
2018-05-23,corr_ret_volume_20,358,0.22689075630252098
2018-05-24,corr_ret_volume_20,357,0.15921787709497204
2018-05-25,corr_ret_volume_20,358,0.13725490196078427
2018-05-28,corr_ret_volume_20,357,0.1955307262569832
2018-05-29,corr_ret_volume_20,358,0.2016806722689075
2018-05-30,corr_ret_volume_20,360,0.3100558659217877
2018-05-31,corr_ret_volume_20,360,0.21666666666666667
2018-06-01,corr_ret_volume_20,360,0.17222222222222228
2018-06-04,corr_ret_volume_20,361,0.17222222222222228
2018-06-05,corr_ret_volume_20,360,0.11634349030470914
2018-06-06,corr_ret_volume_20,360,0.10277777777777775
2018-06-07,corr_ret_volume_20,360,0.10833333333333328
2018-06-08,corr_ret_volume_20,361,0.12777777777777777
2018-06-11,corr_ret_volume_20,361,0.1246537396121884
2018-06-12,corr_ret_volume_20,361,0.10249307479224379
2018-06-13,corr_ret_volume_20,361,0.09695290858725758
2018-06-14,corr_ret_volume_20,360,0.11080332409972304
2018-06-15,corr_ret_volume_20,359,0.19166666666666665
2018-06-19,corr_ret_volume_20,357,0.3259052924791086
2018-06-20,corr_ret_volume_20,358,0.10084033613445376
2018-06-21,corr_ret_volume_20,358,0.11731843575418999
2018-06-22,corr_ret_volume_20,358,0.11452513966480449
2018-06-25,corr_ret_volume_20,359,0.06703910614525144
2018-06-26,corr_ret_volume_20,360,0.10863509749303624
2018-06-27,corr_ret_volume_20,360,0.11388888888888893
2018-06-28,corr_ret_volume_20,360,0.11944444444444446
2018-06-29,corr_ret_volume_20,361,0.19999999999999996
2018-07-02,corr_ret_volume_20,361,0.10803324099722988
2018-07-03,corr_ret_volume_20,363,0.1578947368421053
2018-07-04,corr_ret_volume_20,363,0.11845730027548207
2018-07-05,corr_ret_volume_20,364,0.11019283746556474
2018-07-06,corr_ret_volume_20,364,0.10164835164835162
2018-07-09,corr_ret_volume_20,364,0.14560439560439564
2018-07-10,corr_ret_volume_20,366,0.10164835164835162
2018-07-11,corr_ret_volume_20,366,0.1202185792349727
2018-07-12,corr_ret_volume_20,367,0.1202185792349727
2018-07-13,corr_ret_volume_20,368,0.10081743869209814
2018-07-16,corr_ret_volume_20,368,0.11956521739130432
2018-07-17,corr_ret_volume_20,369,0.42391304347826086
2018-07-18,corr_ret_volume_20,369,0.17615176151761514
2018-07-19,corr_ret_volume_20,370,0.2710027100271003
