profile_id,stage,execution_class,execution_profile,outer_split_id,policy_id,fold,batch_index,structural_row_id,candidate_sha256,boosting_round,feature_count,train_rows,validation_rows,output_rows,wall_seconds,cpu_seconds,cpu_core_equivalent,read_bytes,write_bytes,rss_before_mib,rss_after_mib,peak_rss_mib,execution_dtype,thread_count,cache_hit,dataset_identity_sha256,input_date_count,cache_key,cache_status,factor_batch_size,median_workers
baseline_cache_off,feature_spooling,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,15.0,,,,45,,,79964.0,0.3556938000037917,0.34375,0.9664211183786044,0,19996147,569.609375,429.3984375,569.609375,float64,8,,,,,,,
baseline_cache_off,feature_projection,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,16.0,,,,45,,,80000.0,2.02115380000032,2.53125,1.2523787155631596,208338944,0,429.3984375,553.16015625,553.16015625,float64,8,,,40.0,,,,
baseline_cache_off,label_loading_and_join,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,16.0,,,,45,,,80000.0,0.1323120000015478,0.125,0.9447366829806644,4565279,0,553.16015625,554.375,554.375,float64,8,,,40.0,,,,
baseline_cache_off,feature_spooling,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,16.0,,,,45,,,79925.0,0.3565966999958618,0.40625,1.1392421747164636,0,20141045,561.24609375,422.04296875,561.24609375,float64,8,,,,,,,
baseline_cache_off,feature_projection,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,17.0,,,,45,,,16000.0,1.1088862999968114,1.671875,1.5077064258119226,208338944,0,422.04296875,558.42578125,558.42578125,float64,8,,,8.0,,,,
baseline_cache_off,label_loading_and_join,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,17.0,,,,45,,,16000.0,0.0613853999966522,0.046875,0.7636180590589356,4565279,0,558.42578125,546.71875,558.42578125,float64,8,,,8.0,,,,
baseline_cache_off,feature_spooling,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,train,17.0,,,,45,,,15985.0,0.074133800000709,0.09375,1.2646053486952429,0,4085424,524.6640625,360.40234375,524.6640625,float64,8,,,,,,,
baseline_cache_off,feature_projection,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,validation,0.0,,,,45,,,80000.0,2.0098044000042137,2.40625,1.1972558125531794,208338944,0,348.2890625,508.87109375,508.87109375,float64,8,,,40.0,,,,
baseline_cache_off,label_loading_and_join,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,validation,0.0,,,,45,,,80000.0,0.1775896999970427,0.15625,0.8798370626370892,4565279,0,508.87109375,543.02734375,543.02734375,float64,8,,,40.0,,,,
baseline_cache_off,feature_spooling,full_development,full_research_acceleration_v3_baseline_cache_off,split_001,strict_current_baseline,validation,0.0,,,,45,,,79923.0,0.3456203000023379,0.359375,1.0397971415381824,0,20322461,556.9296875,431.48046875,556.9296875,float64,8,,,,,,,
