outer_split_id,variant_id,variant_type,date_count,row_coverage,mean_rank_ic,rank_ic_std,rank_ic_ir_annualized,positive_ic_fraction,quintile_1_mean_label,quintile_2_mean_label,quintile_3_mean_label,quintile_4_mean_label,quintile_5_mean_label,quintile_5_minus_1,nondecreasing_quintile_steps,top50_five_day_one_way_turnover,mean_size_rank_corr,mean_turnover_rank_corr,mean_idiosyncratic_volatility_rank_corr,evidence_class
split_002,accounting_quality,sleeve,124,1.0,-0.003890002224691214,0.10030909494832298,-0.6156158716010639,0.3387096774193548,0.023472387343645096,0.02950163744390011,0.024667663499712944,0.024924691766500473,0.024216588586568832,0.0007442012429237366,2,0.05833333333333334,0.18930698352693417,-0.145591523113355,-0.14666186200040954,post_observation_research_diagnostic_only
split_002,investment_growth,sleeve,124,0.9986770566122969,0.006533476160473706,0.04947133298039053,2.0964811832623593,0.6290322580645161,0.022405141964554787,0.024262797087430954,0.02774961106479168,0.025458520278334618,0.027099916711449623,0.004694774746894836,3,0.059166666666666666,-0.14260515210530975,0.1233867260040101,0.1100216730277784,post_observation_research_diagnostic_only
split_002,illiquidity_premium,sleeve,124,0.9802889501960215,0.07529473144160684,0.09803096825334393,12.192747127401281,0.7096774193548387,0.01732661947607994,0.019025081768631935,0.02232503890991211,0.030293839052319527,0.03781408444046974,0.0204874649643898,4,0.2416666666666667,-0.7621267374472166,0.21089734689463066,0.13954322698555205,post_observation_research_diagnostic_only
split_002,speculative_activity,sleeve,124,0.9977574496232838,0.06680377508708692,0.11165809703510733,9.497538300253428,0.7580645161290323,0.018301431089639664,0.026867007836699486,0.027483226731419563,0.027270769700407982,0.02686489373445511,0.008563462644815445,2,0.9125,0.17328211185468315,-0.6747226911989634,-0.218665225220653,post_observation_research_diagnostic_only
split_002,institutional_flow,sleeve,124,0.9977574496232838,-0.03822543962474611,0.108286785091029,-5.603731254086564,0.3951612903225806,0.027269305661320686,0.02539055235683918,0.025587383657693863,0.025423504412174225,0.023126017302274704,-0.004143288359045982,1,0.8141666666666666,0.3147847489722562,-0.02497741292128683,-0.07614234237675024,post_observation_research_diagnostic_only
split_002,short_term_reversal,sleeve,124,0.9813779584724844,0.056021308960093566,0.16427604564364146,5.413514224109608,0.5403225806451613,0.01951254904270172,0.02461967244744301,0.026106249541044235,0.02951860800385475,0.027000177651643753,0.007487628608942032,3,0.5625,-0.13378707674950138,-0.05341017702331033,0.09525385408682205,post_observation_research_diagnostic_only
split_002,traditional_momentum,sleeve,124,0.7781165803526774,-0.031751903219606546,0.1814463342139894,-2.777933429274861,0.3951612903225806,0.020547060295939445,0.02501056343317032,0.02638367936015129,0.0283448938280344,0.020439276471734047,-0.00010778382420539856,3,0.155,-0.04298350153789063,0.33137785014002236,0.403338245798722,post_observation_research_diagnostic_only
split_002,trend_anchor,sleeve,124,0.8672740912830937,-0.08122884357882258,0.09961864072893692,-12.944042469704385,0.22580645161290322,0.030890289694070816,0.030047878623008728,0.02493506483733654,0.020131489261984825,0.021253474056720734,-0.009636815637350082,1,0.6758333333333333,0.24430209502559105,-0.020963368643537948,-0.021933442003291045,post_observation_research_diagnostic_only
split_002,low_risk_lottery,sleeve,124,0.9467192617330559,0.04708771900070994,0.2850538923777608,2.6222913830498316,0.45161290322580644,0.02075314149260521,0.029540536925196648,0.03216662257909775,0.02676483243703842,0.019258590415120125,-0.0014945510774850845,2,0.19416666666666668,0.4892294691502938,-0.7172689243301856,-0.8546805588640112,post_observation_research_diagnostic_only
split_002,value_profitability,archetype,124,1.0,0.03440743242642731,0.2064403803160562,2.6458053210292247,0.4596774193548387,0.02259216271340847,0.024699799716472626,0.027772031724452972,0.02913614735007286,0.022586718201637268,-5.444511771202087e-06,3,0.08833333333333333,0.4351214383205249,-0.41491322443932066,-0.42691441550326525,post_observation_research_diagnostic_only
