datetime,variant_id,rank_ic,n,outer_split_id
2024-12-31,trend_flow_confirmation,-0.1543243484354298,1991,split_001
2025-01-02,trend_flow_confirmation,-0.23049028484510992,1990,split_001
2025-01-03,trend_flow_confirmation,-0.30126933763269154,1988,split_001
2025-01-06,trend_flow_confirmation,-0.28908172331174176,1989,split_001
2025-01-07,trend_flow_confirmation,-0.24985823282053765,1991,split_001
2025-01-08,trend_flow_confirmation,-0.24691260947787275,1991,split_001
2025-01-09,trend_flow_confirmation,-0.23744514526770472,1990,split_001
2025-01-10,trend_flow_confirmation,-0.14435345172751585,1990,split_001
2025-01-13,trend_flow_confirmation,-0.13572511086926642,1991,split_001
2025-01-14,trend_flow_confirmation,-0.04372596532027982,1992,split_001
2025-01-15,trend_flow_confirmation,-0.04452609495143147,1992,split_001
2025-01-16,trend_flow_confirmation,-0.14669343419570435,1993,split_001
2025-01-17,trend_flow_confirmation,-0.18692793692385198,1993,split_001
2025-01-20,trend_flow_confirmation,-0.23741330322740678,1993,split_001
2025-01-21,trend_flow_confirmation,-0.21476090540294027,1992,split_001
2025-01-22,trend_flow_confirmation,-0.20345692542234792,1994,split_001
2025-01-23,trend_flow_confirmation,-0.22275087916934877,1993,split_001
2025-01-24,trend_flow_confirmation,-0.1733090130555535,1993,split_001
2025-01-27,trend_flow_confirmation,-0.17793261671284755,1993,split_001
2024-08-01,diversified_economic,0.15961907045240023,1993,split_001
2024-08-02,diversified_economic,0.13069744640467593,1993,split_001
2024-08-05,diversified_economic,0.13205646667868656,1993,split_001
2024-08-06,diversified_economic,0.14836496467870217,1993,split_001
2024-08-07,diversified_economic,0.022379995277468114,1995,split_001
2024-08-08,diversified_economic,0.014507417782719656,1993,split_001
2024-08-09,diversified_economic,-0.11130834763345612,1993,split_001
2024-08-12,diversified_economic,-0.1398110789776167,1993,split_001
2024-08-13,diversified_economic,-0.11617568550280509,1994,split_001
2024-08-14,diversified_economic,-0.10842558085498433,1994,split_001
2024-08-15,diversified_economic,-0.09811203927611903,1994,split_001
2024-08-16,diversified_economic,-0.03777879751286539,1993,split_001
2024-08-19,diversified_economic,-0.11398693629834794,1996,split_001
2024-08-20,diversified_economic,-0.14409040153124167,1996,split_001
2024-08-21,diversified_economic,-0.17514150884036497,1995,split_001
2024-08-22,diversified_economic,-0.21417076434010468,1994,split_001
2024-08-23,diversified_economic,-0.1862504061397238,1995,split_001
2024-08-26,diversified_economic,-0.2006529020664175,1994,split_001
2024-08-27,diversified_economic,-0.2513905922085217,1993,split_001
2024-08-28,diversified_economic,-0.32676206547819336,1992,split_001
2024-08-29,diversified_economic,-0.4006657401708706,1990,split_001
2024-08-30,diversified_economic,-0.3888874695988142,1989,split_001
2024-09-02,diversified_economic,-0.2805975630970114,1993,split_001
2024-09-03,diversified_economic,-0.21645386796973398,1993,split_001
2024-09-04,diversified_economic,-0.2643780393800743,1994,split_001
2024-09-05,diversified_economic,-0.3499576657462259,1993,split_001
2024-09-06,diversified_economic,-0.3393799991130335,1994,split_001
2024-09-09,diversified_economic,-0.3313156892977029,1995,split_001
2024-09-10,diversified_economic,-0.3717268590410013,1996,split_001
2024-09-11,diversified_economic,-0.3707803209500202,1995,split_001
2024-09-12,diversified_economic,-0.4240719733295445,1995,split_001
2024-09-13,diversified_economic,-0.4620016646688336,1993,split_001
2024-09-18,diversified_economic,-0.4038459517005577,1996,split_001
2024-09-19,diversified_economic,-0.41016855192640345,1996,split_001
2024-09-20,diversified_economic,-0.450940672142599,1994,split_001
2024-09-23,diversified_economic,-0.48588317689056676,1995,split_001
2024-09-24,diversified_economic,-0.4957502901038263,1993,split_001
2024-09-25,diversified_economic,-0.5058933641530468,1993,split_001
2024-09-26,diversified_economic,-0.33806194928885197,1993,split_001
2024-09-27,diversified_economic,-0.28946222063012805,1994,split_001
2024-09-30,diversified_economic,-0.06827831384841733,1994,split_001
2024-10-08,diversified_economic,-0.20364359360013126,1993,split_001
2024-10-09,diversified_economic,-0.3231546175589653,1991,split_001
2024-10-10,diversified_economic,-0.4550851945134206,1994,split_001
2024-10-11,diversified_economic,-0.4878290393671143,1995,split_001
2024-10-14,diversified_economic,-0.41776877517130223,1995,split_001
2024-10-15,diversified_economic,-0.44938425632853224,1996,split_001
2024-10-16,diversified_economic,-0.3355590835915379,1996,split_001
2024-10-17,diversified_economic,-0.19516957200517926,1995,split_001
2024-10-18,diversified_economic,0.13172404133225143,1993,split_001
2024-10-21,diversified_economic,-0.03636501442822215,1995,split_001
2024-10-22,diversified_economic,-0.14980615070486766,1995,split_001
2024-10-23,diversified_economic,-0.18308106804705995,1995,split_001
2024-10-24,diversified_economic,-0.05048738094595844,1995,split_001
2024-10-25,diversified_economic,-0.03354123717362837,1993,split_001
2024-10-28,diversified_economic,-0.015414937243242086,1995,split_001
2024-10-29,diversified_economic,-0.015939570096378083,1993,split_001
2024-10-30,diversified_economic,0.07520998279451978,1992,split_001
2024-10-31,diversified_economic,-0.21630925827545955,1995,split_001
2024-11-01,diversified_economic,-0.21196627649248645,1995,split_001
2024-11-04,diversified_economic,-0.0780548674930603,1996,split_001
2024-11-05,diversified_economic,0.012504484052396242,1995,split_001
2024-11-06,diversified_economic,-0.10524890879591323,1994,split_001
2024-11-07,diversified_economic,-0.004087412669484217,1995,split_001
2024-11-08,diversified_economic,0.18336913008690467,1997,split_001
2024-11-11,diversified_economic,0.1092726894116873,1996,split_001
2024-11-12,diversified_economic,0.09527419777055234,1995,split_001
2024-11-13,diversified_economic,0.0029654569955516893,1995,split_001
2024-11-14,diversified_economic,-0.05866801375648635,1994,split_001
2024-11-15,diversified_economic,-0.21642220851123167,1993,split_001
2024-11-18,diversified_economic,-0.01007555747982028,1993,split_001
2024-11-19,diversified_economic,0.08642034395331073,1994,split_001
2024-11-20,diversified_economic,0.05001961469721504,1994,split_001
2024-11-21,diversified_economic,-0.04873817287306159,1994,split_001
2024-11-22,diversified_economic,0.20823463822430008,1994,split_001
2024-11-25,diversified_economic,0.18456271805731225,1995,split_001
2024-11-26,diversified_economic,0.3214934006666922,1995,split_001
2024-11-27,diversified_economic,0.2680602584926044,1993,split_001
2024-11-28,diversified_economic,0.3170871319377947,1994,split_001
2024-11-29,diversified_economic,0.39216917747132046,1991,split_001
2024-12-02,diversified_economic,0.4337854223439756,1994,split_001
2024-12-03,diversified_economic,0.4294853128595956,1991,split_001
2024-12-04,diversified_economic,0.5518990452971891,1993,split_001
2024-12-05,diversified_economic,0.6031867824785156,1991,split_001
2024-12-06,diversified_economic,0.5543696663479933,1995,split_001
2024-12-09,diversified_economic,0.5428587438807136,1994,split_001
2024-12-10,diversified_economic,0.5524838281978504,1993,split_001
2024-12-11,diversified_economic,0.5392167891750509,1993,split_001
2024-12-12,diversified_economic,0.5640160898178989,1994,split_001
2024-12-13,diversified_economic,0.4680315684007362,1996,split_001
2024-12-16,diversified_economic,0.35405763727590284,1994,split_001
2024-12-17,diversified_economic,0.37564912547566726,1995,split_001
2024-12-18,diversified_economic,0.425076300846617,1996,split_001
2024-12-19,diversified_economic,0.45143173699264494,1996,split_001
2024-12-20,diversified_economic,0.27720554708229184,1995,split_001
2024-12-23,diversified_economic,0.25559180560114575,1996,split_001
2024-12-24,diversified_economic,0.18309317514374762,1997,split_001
2024-12-25,diversified_economic,0.19266637696636427,1996,split_001
2024-12-26,diversified_economic,0.2630176249567251,1994,split_001
2024-12-27,diversified_economic,0.060285503455338486,1992,split_001
2024-12-30,diversified_economic,-0.15595781624867008,1993,split_001
2024-12-31,diversified_economic,-0.19506685241277716,1991,split_001
