outer_split_id,inner_split_id,factor,frozen_direction
split_001,split_001_inner_001,alpha360_OPEN25,1
split_001,split_001_inner_001,alpha360_OPEN26,1
split_001,split_001_inner_001,alpha360_OPEN27,1
split_001,split_001_inner_001,alpha360_OPEN28,1
split_001,split_001_inner_001,alpha360_OPEN29,1
split_001,split_001_inner_001,alpha360_OPEN3,1
split_001,split_001_inner_001,alpha360_OPEN30,1
split_001,split_001_inner_001,alpha360_OPEN31,1
split_001,split_001_inner_001,alpha360_OPEN32,1
split_001,split_001_inner_001,alpha360_OPEN33,1
split_001,split_001_inner_001,alpha360_OPEN34,1
split_001,split_001_inner_001,alpha360_OPEN35,1
split_001,split_001_inner_001,alpha360_OPEN36,1
split_001,split_001_inner_001,alpha360_OPEN37,1
split_001,split_001_inner_001,alpha360_OPEN38,1
split_001,split_001_inner_001,alpha360_OPEN39,1
split_001,split_001_inner_001,alpha360_OPEN4,1
split_001,split_001_inner_001,alpha360_OPEN40,1
split_001,split_001_inner_001,alpha360_OPEN41,1
split_001,split_001_inner_001,alpha360_OPEN42,1
split_001,split_001_inner_001,alpha360_OPEN43,1
split_001,split_001_inner_001,alpha360_OPEN44,1
split_001,split_001_inner_001,alpha360_OPEN45,1
split_001,split_001_inner_001,alpha360_OPEN46,1
split_001,split_001_inner_001,alpha360_OPEN47,1
split_001,split_001_inner_001,alpha360_OPEN48,1
split_001,split_001_inner_001,alpha360_OPEN49,1
split_001,split_001_inner_001,alpha360_OPEN5,1
split_001,split_001_inner_001,alpha360_OPEN50,1
split_001,split_001_inner_001,alpha360_OPEN51,1
split_001,split_001_inner_001,alpha360_OPEN52,1
split_001,split_001_inner_001,alpha360_OPEN53,1
split_001,split_001_inner_001,alpha360_OPEN54,1
split_001,split_001_inner_001,alpha360_OPEN55,1
split_001,split_001_inner_001,alpha360_OPEN56,1
split_001,split_001_inner_001,alpha360_OPEN57,1
split_001,split_001_inner_001,alpha360_OPEN58,1
split_001,split_001_inner_001,alpha360_OPEN59,1
split_001,split_001_inner_001,alpha360_OPEN6,1
split_001,split_001_inner_001,alpha360_OPEN7,1
split_001,split_001_inner_001,alpha360_OPEN8,1
split_001,split_001_inner_001,alpha360_OPEN9,1
split_001,split_001_inner_001,alpha360_VOLUME1,1
split_001,split_001_inner_001,alpha360_VOLUME10,1
split_001,split_001_inner_001,alpha360_VOLUME11,1
split_001,split_001_inner_001,alpha360_VOLUME12,1
split_001,split_001_inner_001,alpha360_VOLUME13,1
split_001,split_001_inner_001,alpha360_VOLUME14,1
split_001,split_001_inner_001,alpha360_VOLUME15,1
split_001,split_001_inner_001,alpha360_VOLUME16,1
split_001,split_001_inner_001,alpha360_VOLUME17,1
split_001,split_001_inner_001,alpha360_VOLUME18,1
split_001,split_001_inner_001,alpha360_VOLUME19,1
split_001,split_001_inner_001,alpha360_VOLUME2,1
split_001,split_001_inner_001,alpha360_VOLUME20,1
split_001,split_001_inner_001,alpha360_VOLUME21,1
split_001,split_001_inner_001,alpha360_VOLUME22,1
split_001,split_001_inner_001,alpha360_VOLUME23,1
split_001,split_001_inner_001,alpha360_VOLUME24,1
split_001,split_001_inner_001,alpha360_VOLUME25,1
split_001,split_001_inner_001,alpha360_VOLUME26,1
split_001,split_001_inner_001,alpha360_VOLUME27,1
