source_evidence,outer_split_id,method,factor,feature_order,coefficient,coefficient_nonzero
elastic_split_001,split_001,elastic_net,alpha158_CORR10,8,-0.0,False
elastic_split_001,split_001,elastic_net,alpha158_CORR20,9,-0.0,False
elastic_split_001,split_001,elastic_net,alpha158_CORR5,10,-0.0,False
elastic_split_001,split_001,elastic_net,alpha158_HIGH0,11,-0.0,False
elastic_split_001,split_001,elastic_net,alpha158_IMIN20,12,0.0,False
elastic_split_001,split_001,elastic_net,alpha158_KLEN,13,-0.0087875189154288,True
elastic_split_001,split_001,elastic_net,alpha158_KLOW,14,-0.0,False
elastic_split_001,split_001,elastic_net,alpha158_KMID,15,-0.0,False
elastic_split_001,split_001,elastic_net,alpha158_KUP,16,-0.0,False
elastic_split_001,split_001,elastic_net,alpha158_LOW0,17,0.0,False
elastic_split_001,split_001,elastic_net,alpha158_MAX5,18,-0.0,False
elastic_split_001,split_001,elastic_net,alpha158_MIN10,19,0.0,False
elastic_split_001,split_001,elastic_net,alpha158_QTLD60,20,0.0175545392748955,True
elastic_split_001,split_001,elastic_net,alpha158_RSQR30,21,0.001916202784338,True
elastic_split_001,split_001,elastic_net,alpha158_VMA30,22,-0.0,False
elastic_split_001,split_001,elastic_net,alpha158_VMA60,23,-0.0,False
elastic_split_001,split_001,elastic_net,alpha158_VSUMD60,24,-0.0,False
elastic_split_001,split_001,elastic_net,alpha360_LOW1,25,0.0,False
elastic_split_001,split_001,elastic_net,alpha360_VOLUME13,26,-0.0,False
elastic_split_001,split_001,elastic_net,amount_cv_20,27,-0.0,False
elastic_split_001,split_001,elastic_net,amount_std_20,28,-0.0093783362862058,True
elastic_split_001,split_001,elastic_net,corr_ret_amount_20,29,-0.0,False
elastic_split_001,split_001,elastic_net,kunquant_alpha101_alpha003,30,0.0,False
elastic_split_001,split_001,elastic_net,kunquant_alpha101_alpha011,31,0.0,False
elastic_split_001,split_001,elastic_net,kunquant_alpha101_alpha012,32,0.0,False
elastic_split_001,split_001,elastic_net,kunquant_alpha101_alpha013,33,0.0008223936415192,True
elastic_split_001,split_001,elastic_net,kunquant_alpha101_alpha020,34,-0.0,False
elastic_split_001,split_001,elastic_net,kunquant_alpha101_alpha029,35,0.0,False
elastic_split_001,split_001,elastic_net,kunquant_alpha101_alpha034,36,-0.0,False
elastic_split_001,split_001,elastic_net,kunquant_alpha101_alpha050,37,0.0,False
elastic_split_001,split_001,elastic_net,kunquant_alpha101_alpha055,38,0.0,False
elastic_split_001,split_001,elastic_net,kunquant_alpha101_alpha062,39,0.0,False
elastic_split_001,split_001,elastic_net,kunquant_alpha101_alpha094,40,0.0,False
elastic_split_001,split_001,elastic_net,ta_trend_mass_index,41,-0.0,False
elastic_split_001,split_001,elastic_net,ta_volatility_bbhi,42,0.0,False
elastic_split_001,split_001,elastic_net,ta_volume_cmf,43,-0.0,False
elastic_split_001,split_001,elastic_net,ta_volume_sma_em,44,-0.0,False
elastic_remaining,split_002,elastic_net,alpha158_CNTP10,0,-0.0,False
elastic_remaining,split_002,elastic_net,alpha158_CNTP5,1,-0.0,False
elastic_remaining,split_002,elastic_net,alpha158_CORD10,2,-0.0,False
elastic_remaining,split_002,elastic_net,alpha158_CORD20,3,-0.0,False
elastic_remaining,split_002,elastic_net,alpha158_CORD5,4,-0.0,False
elastic_remaining,split_002,elastic_net,alpha158_CORR5,5,-0.0,False
elastic_remaining,split_002,elastic_net,alpha158_HIGH0,6,-0.0,False
elastic_remaining,split_002,elastic_net,alpha158_IMAX10,7,-0.0,False
elastic_remaining,split_002,elastic_net,alpha158_IMAX20,8,-0.0,False
elastic_remaining,split_002,elastic_net,alpha158_IMAX60,9,-0.0,False
elastic_remaining,split_002,elastic_net,alpha158_IMIN5,10,0.0,False
elastic_remaining,split_002,elastic_net,alpha158_KLEN,11,-0.0097161954814962,True
elastic_remaining,split_002,elastic_net,alpha158_KLOW,12,-0.0,False
elastic_remaining,split_002,elastic_net,alpha158_KUP,13,-0.0,False
elastic_remaining,split_002,elastic_net,alpha158_LOW0,14,0.0,False
elastic_remaining,split_002,elastic_net,alpha158_MIN10,15,0.0,False
elastic_remaining,split_002,elastic_net,alpha158_STD10,16,-0.0,False
elastic_remaining,split_002,elastic_net,alpha158_VMA60,17,-0.0,False
elastic_remaining,split_002,elastic_net,alpha158_VSTD5,18,-0.0,False
elastic_remaining,split_002,elastic_net,alpha158_VSUMD20,19,-0.0,False
elastic_remaining,split_002,elastic_net,alpha158_VSUMD60,20,-0.0,False
elastic_remaining,split_002,elastic_net,alpha360_HIGH34,21,0.0093252272638959,True
elastic_remaining,split_002,elastic_net,alpha360_LOW1,22,0.0,False
elastic_remaining,split_002,elastic_net,amount_cv_20,23,-0.0,False
elastic_remaining,split_002,elastic_net,kunquant_alpha101_alpha002,24,0.0,False
elastic_remaining,split_002,elastic_net,kunquant_alpha101_alpha011,25,0.0,False
elastic_remaining,split_002,elastic_net,kunquant_alpha101_alpha012,26,0.0,False
elastic_remaining,split_002,elastic_net,kunquant_alpha101_alpha013,27,0.0,False
elastic_remaining,split_002,elastic_net,kunquant_alpha101_alpha020,28,0.0,False
elastic_remaining,split_002,elastic_net,kunquant_alpha101_alpha026,29,0.0,False
elastic_remaining,split_002,elastic_net,kunquant_alpha101_alpha029,30,0.0,False
elastic_remaining,split_002,elastic_net,kunquant_alpha101_alpha034,31,-0.0,False
elastic_remaining,split_002,elastic_net,kunquant_alpha101_alpha050,32,0.0,False
elastic_remaining,split_002,elastic_net,kunquant_alpha101_alpha055,33,0.0,False
elastic_remaining,split_002,elastic_net,kunquant_alpha101_alpha062,34,0.0,False
elastic_remaining,split_002,elastic_net,kunquant_alpha101_alpha077,35,-0.0,False
elastic_remaining,split_002,elastic_net,kunquant_alpha101_alpha083,36,0.002524944160488,True
elastic_remaining,split_002,elastic_net,kunquant_alpha101_alpha085,37,0.0,False
elastic_remaining,split_002,elastic_net,kunquant_alpha101_alpha094,38,0.0027965246856844,True
elastic_remaining,split_002,elastic_net,ta_momentum_ao,39,-0.0,False
elastic_remaining,split_002,elastic_net,ta_trend_dpo,40,0.0,False
elastic_remaining,split_002,elastic_net,ta_volatility_atr,41,-0.0,False
elastic_remaining,split_002,elastic_net,ta_volatility_bbhi,42,-0.0,False
elastic_remaining,split_002,elastic_net,ta_volume_cmf,43,-0.0,False
elastic_remaining,split_002,elastic_net,ta_volume_em,44,-0.0,False
elastic_remaining,split_002,elastic_net,ta_volume_sma_em,45,-0.0,False
elastic_remaining,split_003,elastic_net,alpha158_CORD10,0,0.0026247911399297,True
elastic_remaining,split_003,elastic_net,alpha158_CORD20,1,-0.0056407494164692,True
elastic_remaining,split_003,elastic_net,alpha158_CORD5,2,0.0013719877767181,True
elastic_remaining,split_003,elastic_net,alpha158_CORR10,3,-0.004603973177983,True
elastic_remaining,split_003,elastic_net,alpha158_CORR20,4,-0.0031627525683558,True
elastic_remaining,split_003,elastic_net,alpha158_CORR5,5,-0.000866857753836,True
elastic_remaining,split_003,elastic_net,alpha158_HIGH0,6,0.0,False
elastic_remaining,split_003,elastic_net,alpha158_IMAX30,7,-0.0042005133193478,True
elastic_remaining,split_003,elastic_net,alpha158_IMAX60,8,-0.0011192329601654,True
elastic_remaining,split_003,elastic_net,alpha158_IMIN20,9,0.0038726749950697,True
elastic_remaining,split_003,elastic_net,alpha158_IMIN5,10,-0.0023976754545959,True
elastic_remaining,split_003,elastic_net,alpha158_KLEN,11,-0.0129508073265265,True
elastic_remaining,split_003,elastic_net,alpha158_KLOW,12,-0.002900599451247,True
elastic_remaining,split_003,elastic_net,alpha158_KMID,13,0.0008030139950366,True
elastic_remaining,split_003,elastic_net,alpha158_KUP,14,-0.0027500886427942,True
elastic_remaining,split_003,elastic_net,alpha158_LOW0,15,-0.0,False
elastic_remaining,split_003,elastic_net,alpha158_MAX5,16,-0.0013909708343331,True
elastic_remaining,split_003,elastic_net,alpha158_MIN10,17,0.0041680222107983,True
elastic_remaining,split_003,elastic_net,alpha158_QTLD10,18,0.0042092630059981,True
elastic_remaining,split_003,elastic_net,alpha158_QTLD5,19,0.0030724054286379,True
elastic_remaining,split_003,elastic_net,alpha158_RSQR30,20,0.0054273409988118,True
elastic_remaining,split_003,elastic_net,alpha158_STD60,21,0.0,False
elastic_remaining,split_003,elastic_net,alpha158_VMA60,22,-0.0020340431988444,True
elastic_remaining,split_003,elastic_net,alpha158_VSTD5,23,-0.0004221687139694,True
elastic_remaining,split_003,elastic_net,alpha158_VSUMD20,24,0.0030763326679452,True
elastic_remaining,split_003,elastic_net,alpha158_VSUMD60,25,-0.0024753918394339,True
elastic_remaining,split_003,elastic_net,alpha360_VOLUME12,26,-0.0027667609373795,True
elastic_remaining,split_003,elastic_net,alpha360_VOLUME38,27,0.000760708385738,True
elastic_remaining,split_003,elastic_net,amount_cv_20,28,-0.0002994368204184,True
elastic_remaining,split_003,elastic_net,amount_mean_20,29,-0.013837092464889,True
elastic_remaining,split_003,elastic_net,corr_ret_amount_20,30,0.0046051863368278,True
elastic_remaining,split_003,elastic_net,kunquant_alpha101_alpha002,31,-0.0013610129417411,True
elastic_remaining,split_003,elastic_net,kunquant_alpha101_alpha003,32,-0.000827408774497,True
elastic_remaining,split_003,elastic_net,kunquant_alpha101_alpha005,33,0.0019128364687144,True
elastic_remaining,split_003,elastic_net,kunquant_alpha101_alpha011,34,0.0020816289426497,True
elastic_remaining,split_003,elastic_net,kunquant_alpha101_alpha012,35,-9.219627650053928e-05,True
elastic_remaining,split_003,elastic_net,kunquant_alpha101_alpha013,36,0.0052684464680888,True
elastic_remaining,split_003,elastic_net,kunquant_alpha101_alpha020,37,-0.0009102153242184,True
elastic_remaining,split_003,elastic_net,kunquant_alpha101_alpha024,38,-0.0022195750493521,True
elastic_remaining,split_003,elastic_net,kunquant_alpha101_alpha026,39,0.0015941974260163,True
elastic_remaining,split_003,elastic_net,kunquant_alpha101_alpha043,40,0.0009621901920252,True
elastic_remaining,split_003,elastic_net,kunquant_alpha101_alpha050,41,-0.0006873498823984,True
elastic_remaining,split_003,elastic_net,kunquant_alpha101_alpha055,42,-0.0006545423646345,True
elastic_remaining,split_003,elastic_net,kunquant_alpha101_alpha062,43,-0.0003278077160048,True
elastic_remaining,split_003,elastic_net,kunquant_alpha101_alpha071,44,-0.0011543953232226,True
elastic_remaining,split_003,elastic_net,kunquant_alpha101_alpha072,45,-0.0004019226544568,True
elastic_remaining,split_003,elastic_net,kunquant_alpha101_alpha094,46,0.007427782382675,True
elastic_remaining,split_003,elastic_net,ta_trend_adx_pos,47,0.006507530297392,True
elastic_remaining,split_003,elastic_net,ta_trend_dpo,48,0.0007256771207233,True
elastic_remaining,split_003,elastic_net,ta_trend_mass_index,49,-0.0014486438797854,True
elastic_remaining,split_003,elastic_net,ta_volatility_bbhi,50,0.0027895099098896,True
elastic_remaining,split_003,elastic_net,ta_volume_em,51,-0.0002651281431057,True
