outer_split_id,method,factor,factor_column,feature_order,cluster_id,direction,selection_frequency,upstream_fdr_q_value,raw_weight,weight
split_002,stability_weight,kunquant_alpha101_alpha050,kunquant_alpha101_alpha050,32,cluster_040,1,0.6666666666666666,0.0097566666909732,0.6601622222060178,0.018558422170976408
split_002,stability_weight,kunquant_alpha101_alpha055,kunquant_alpha101_alpha055,33,cluster_037,1,0.6666666666666666,0.0032286554025684,0.664514229731621,0.0186807654227328
split_002,stability_weight,kunquant_alpha101_alpha062,kunquant_alpha101_alpha062,34,cluster_015,1,0.6666666666666666,0.0139883372441511,0.6573411085038993,0.018479115271376353
split_002,stability_weight,kunquant_alpha101_alpha077,kunquant_alpha101_alpha077,35,cluster_009,-1,1.0,0.0032286554025684,0.9967713445974316,0.0280211481340992
split_002,stability_weight,kunquant_alpha101_alpha083,kunquant_alpha101_alpha083,36,cluster_001,1,0.6666666666666666,0.0032286554025684,0.664514229731621,0.0186807654227328
split_002,stability_weight,kunquant_alpha101_alpha085,kunquant_alpha101_alpha085,37,cluster_041,1,0.6666666666666666,0.0435008778204044,0.6376660814530637,0.017926012646063087
split_002,stability_weight,kunquant_alpha101_alpha094,kunquant_alpha101_alpha094,38,cluster_025,1,1.0,0.0032286554025684,0.9967713445974316,0.0280211481340992
split_002,stability_weight,ta_momentum_ao,ta_momentum_ao,39,cluster_019,-1,1.0,0.0069437056450043,0.9930562943549957,0.02791671096931397
split_002,stability_weight,ta_trend_dpo,ta_trend_dpo,40,cluster_043,1,1.0,0.0243811982009406,0.9756188017990594,0.027426509716393238
split_002,stability_weight,ta_volatility_atr,ta_volatility_atr,41,cluster_002,-1,1.0,0.0032286554025684,0.9967713445974316,0.0280211481340992
split_002,stability_weight,ta_volatility_bbhi,ta_volatility_bbhi,42,cluster_031,-1,1.0,0.0032286554025684,0.9967713445974316,0.0280211481340992
split_002,stability_weight,ta_volume_cmf,ta_volume_cmf,43,cluster_030,-1,0.6666666666666666,0.0043398160281277,0.6637734559812482,0.018659940856391125
split_002,stability_weight,ta_volume_em,ta_volume_em,44,cluster_014,-1,0.6666666666666666,0.0291787214864137,0.6472141856757242,0.0181944281099236
split_002,stability_weight,ta_volume_sma_em,ta_volume_sma_em,45,cluster_029,-1,1.0,0.0153287079892584,0.9846712920107416,0.02768099252288531
split_003,equal_weight,alpha158_CORD10,alpha158_CORD10,0,cluster_016,-1,1.0,0.0019773126282002,1.0,0.01923076923076923
split_003,equal_weight,alpha158_CORD20,alpha158_CORD20,1,cluster_027,-1,1.0,0.0019773126282002,1.0,0.01923076923076923
split_003,equal_weight,alpha158_CORD5,alpha158_CORD5,2,cluster_017,-1,1.0,0.0032681255175142,1.0,0.01923076923076923
