outer_split_id,left_factor,right_factor,performance_correlation
split_001,alpha360_LOW21,alpha158_BETA10,-0.6597145976348792
split_001,alpha360_LOW22,alpha158_BETA10,-0.6516927321008372
split_001,alpha360_LOW23,alpha158_BETA10,-0.6459943341956141
split_001,alpha360_LOW24,alpha158_BETA10,-0.6397955078303518
split_001,alpha360_LOW25,alpha158_BETA10,-0.6319806218661237
split_001,alpha360_LOW26,alpha158_BETA10,-0.6173379564667446
split_001,alpha360_LOW27,alpha158_BETA10,-0.6024899197304173
split_001,alpha360_LOW28,alpha158_BETA10,-0.58689660108025
split_001,alpha360_LOW29,alpha158_BETA10,-0.570171702981905
split_001,alpha360_LOW3,alpha158_BETA10,-0.5668877182740553
split_001,alpha360_LOW30,alpha158_BETA10,-0.552340072633157
split_001,alpha360_LOW35,alpha158_BETA10,-0.48340775430919297
split_001,alpha360_LOW36,alpha158_BETA10,-0.4765953603017903
split_001,alpha360_LOW37,alpha158_BETA10,-0.469044036900367
split_001,alpha360_LOW38,alpha158_BETA10,-0.4630983463881636
split_001,alpha360_LOW39,alpha158_BETA10,-0.4542740262619066
split_001,alpha360_LOW4,alpha158_BETA10,-0.6880877655561015
split_001,alpha360_LOW40,alpha158_BETA10,-0.44762280399152676
split_001,alpha360_LOW41,alpha158_BETA10,-0.4416517570078077
split_001,alpha360_LOW42,alpha158_BETA10,-0.43732180444799684
split_001,alpha360_LOW43,alpha158_BETA10,-0.4327730518068094
split_001,alpha360_LOW44,alpha158_BETA10,-0.42888166434947117
split_001,alpha360_LOW45,alpha158_BETA10,-0.42495395763324945
split_001,alpha360_LOW46,alpha158_BETA10,-0.4194883514353344
split_001,alpha360_LOW47,alpha158_BETA10,-0.4143233507638972
split_001,alpha360_LOW48,alpha158_BETA10,-0.4085887676191962
split_001,alpha360_LOW49,alpha158_BETA10,-0.4047267572155378
split_001,alpha360_LOW5,alpha158_BETA10,-0.7998989493682728
split_001,alpha360_LOW50,alpha158_BETA10,-0.4044171991927743
split_001,alpha360_LOW51,alpha158_BETA10,-0.4049427964971616
split_001,alpha360_LOW52,alpha158_BETA10,-0.4026178546548826
split_001,alpha360_LOW53,alpha158_BETA10,-0.4022159304578666
split_001,alpha360_LOW54,alpha158_BETA10,-0.4020916408612301
split_001,alpha360_LOW55,alpha158_BETA10,-0.40070384311366747
split_001,alpha360_LOW56,alpha158_BETA10,-0.401812719674558
split_001,alpha360_LOW57,alpha158_BETA10,-0.4053583102618927
split_001,alpha360_LOW58,alpha158_BETA10,-0.41020587256952457
split_001,alpha360_LOW59,alpha158_BETA10,-0.41698926477758275
split_001,alpha360_LOW6,alpha158_BETA10,-0.8837675964128902
split_001,alpha360_LOW7,alpha158_BETA10,-0.9387339937273558
