asset_id,event_id,record_date,ex_date,bonus_per_share,handler_family
SZ300311,2552c8f99a2e05ae797ed333,20180628,20180629,0.4910759,exact_fractional_claim_pending_allocation
SZ300317,036fc2d25860bf6195fd9448,20170602,20170605,0.8063374,exact_fractional_claim_pending_allocation
SZ300318,1a1a3896336342b095b915f1,20160620,20160621,0.9920703,exact_fractional_claim_pending_allocation
SZ300319,8cb07c54720f73eec43b9b68,20170616,20170619,1.9719819,exact_fractional_claim_pending_allocation
SZ300324,ad7ec7bdcb5370d6bae77a17,20150625,20150626,0.9976433,exact_fractional_claim_pending_allocation
SZ300324,d52557bdfa23f01dc1eb95d5,20180524,20180525,0.5052928,exact_fractional_claim_pending_allocation
SZ300326,521a8566d2fed2818b043611,20161020,20161021,0.7939119,exact_fractional_claim_pending_allocation
SZ300327,d4eee384391aa2c8aa0d693d,20170728,20170731,0.0995482,exact_fractional_claim_pending_allocation
SZ300343,82f6d637d85fca033a7c17ec,20190703,20190704,0.8007278,exact_fractional_claim_pending_allocation
SZ300362,0559a5e0895fc91f1540c765,20160714,20160715,1.9405826,exact_fractional_claim_pending_allocation
SZ300364,b98314bd884c2160898d5d1f,20160606,20160607,0.9856505,exact_fractional_claim_pending_allocation
SZ300364,cbce3d47a10d3131aa0efe6e,20170731,20170801,1.5011986,exact_fractional_claim_pending_allocation
SZ300367,49a36b887a2fc99c79d00413,20190716,20190717,0.4002758,exact_fractional_claim_pending_allocation
SZ300369,0c16818d6963b33557a698e9,20170522,20170523,0.9999661,exact_fractional_claim_pending_allocation
SZ300370,134f4f8fad697b481f90100a,20221219,20221220,0.64816,exact_fractional_claim_pending_allocation
SZ300375,3626c54aa467d23208dfe352,20180504,20180507,0.8133484,exact_fractional_claim_pending_allocation
SZ300387,d7ca029f316c9a695e14af4b,20180525,20180528,0.8001633,exact_fractional_claim_pending_allocation
SZ300388,a6aa5df93f4b2befbbc5015b,20180706,20180709,0.7999972,exact_fractional_claim_pending_allocation
SZ300389,070dd7fba4412c825f43ba5b,20160607,20160608,1.0059929,exact_fractional_claim_pending_allocation
SZ300393,a047956c46d8d33cc2e36db4,20190618,20190619,0.5115766,exact_fractional_claim_pending_allocation
SZ300410,ed3b5c92ff243e68d4b44680,20190611,20190612,0.9079215,exact_fractional_claim_pending_allocation
SZ300422,c39d3c418749f394f9280716,20170525,20170526,1.5013382,exact_fractional_claim_pending_allocation
SZ300425,f58e66e1b83be2ed6a366506,20170623,20170626,0.9785784,exact_fractional_claim_pending_allocation
SZ300425,60a2ee89b16aea05edf020e7,20180528,20180529,0.7966533,exact_fractional_claim_pending_allocation
SZ300431,bd0a46813c36c1c5b66d578f,20170619,20170620,0.2000354,exact_fractional_claim_pending_allocation
SZ300433,7512745b8b69dcb3819fdfbb,20180629,20180702,0.4999459,exact_fractional_claim_pending_allocation
SZ300448,050c24037e306b4c34b00576,20160615,20160616,1.4911111,exact_fractional_claim_pending_allocation
SZ300448,0b4f8edd48751d50e6fb20fd,20180525,20180528,0.8002903,exact_fractional_claim_pending_allocation
SZ300448,b95d6e459cdd51233d15daef,20190522,20190523,0.6983341,exact_fractional_claim_pending_allocation
SZ300450,241ac40a2d950fe7d0b582a3,20180523,20180524,0.9968631,exact_fractional_claim_pending_allocation
SZ300451,bc1623cdae12cc9cdd5c3b34,20190624,20190625,0.4999953,exact_fractional_claim_pending_allocation
SZ300458,e7f790b64a750a306055f1c6,20170605,20170606,1.0034965,exact_fractional_claim_pending_allocation
SZ300459,dd05f5856e1861f07ff1ca51,20190628,20190701,0.801779,exact_fractional_claim_pending_allocation
SZ300468,bf2735bbb592e434ff301886,20180627,20180628,0.8005086,exact_fractional_claim_pending_allocation
SZ300468,c0860fca515f2bf4940a7b46,20200618,20200619,0.500406,exact_fractional_claim_pending_allocation
SZ300468,222b4eb13dfa28845b6d9655,20220524,20220525,0.7454624,exact_fractional_claim_pending_allocation
SZ300480,563458436b7e414df560b3e0,20160526,20160527,0.9912725,exact_fractional_claim_pending_allocation
SZ300480,8681e7b97b998d80b137a524,20220530,20220531,0.2991568,exact_fractional_claim_pending_allocation
SZ300488,fa1afb4ce54638d1084ce098,20190702,20190703,0.6044813,exact_fractional_claim_pending_allocation
SZ300495,5c6bd9c2df8da0952310f9ea,20170426,20170427,1.5001185,exact_fractional_claim_pending_allocation
SZ300502,a747573962ce1cd095b0e623,20210607,20210608,0.4002532,exact_fractional_claim_pending_allocation
SZ300510,b76cd5d4e82228196365cecb,20190625,20190626,0.7117859,exact_fractional_claim_pending_allocation
SZ300526,4964bbcb7aa921274363090f,20200715,20200716,0.2006395,exact_fractional_claim_pending_allocation
SZ300527,db2f9d86ccfc5ff89507c8f6,20190704,20190705,0.0502539,exact_fractional_claim_pending_allocation
SZ300538,7730e6f2b5826fd5b8dc85e2,20190605,20190606,0.8009145,exact_fractional_claim_pending_allocation
SZ300540,710300538a46e47124b5fa8e,20180614,20180615,0.5005427,exact_fractional_claim_pending_allocation
SZ300541,6410bd6cd929b62fb4e0ab21,20180615,20180619,0.4951843,exact_fractional_claim_pending_allocation
SZ300561,1e9fe4f8dd084c4dc36ecdc0,20180529,20180530,0.9977738,exact_fractional_claim_pending_allocation
SZ300568,b03f353f2981dc34adf5c33b,20200615,20200616,0.789618,exact_fractional_claim_pending_allocation
SZ300568,3b2ecbdf682ad91298eb3d48,20210628,20210629,0.5995096,exact_fractional_claim_pending_allocation
SZ300568,a36bb0ba889044526a76daba,20220420,20220421,0.4983573,exact_fractional_claim_pending_allocation
SZ300587,38ce967056f9340cc4ab89a8,20210706,20210707,0.6926107,exact_fractional_claim_pending_allocation
SZ300587,a62d2a6bb154fc0ced19a5df,20220714,20220715,0.6902505,exact_fractional_claim_pending_allocation
SZ300598,75862bcda8a21b07c6db1cc9,20210528,20210531,0.4999646,exact_fractional_claim_pending_allocation
SZ300601,32c3ec9fe9dd9b463a4bd8b4,20180612,20180613,0.4974568,exact_fractional_claim_pending_allocation
SZ300602,61a08c2a194c57f0e3f76770,20200602,20200603,0.5691653,exact_fractional_claim_pending_allocation
SZ300603,bb4c034785b9bd72e3738e70,20200710,20200713,0.50008,exact_fractional_claim_pending_allocation
SZ300604,a3c50eb3cfb8898509ff8c7f,20190613,20190614,0.9000846,exact_fractional_claim_pending_allocation
SZ300613,94f0c54591d88b3e9c126066,20210616,20210617,0.499483,exact_fractional_claim_pending_allocation
SZ300630,6ddfeba4a7430bf15c57862b,20200702,20200703,0.532175,exact_fractional_claim_pending_allocation
SZ300632,2de3771d12ffea45ae6568cc,20190523,20190524,0.1969452,exact_fractional_claim_pending_allocation
SZ300639,a9d93d5d4aa598c6cdea8ee8,20210527,20210528,0.2514125,exact_fractional_claim_pending_allocation
SZ300655,1f7a4f7bc7fd4ddefb71d835,20180608,20180611,0.6921801,exact_fractional_claim_pending_allocation
SZ300655,1f53975afd17bd585e5b6e2a,20210506,20210507,0.8001493,exact_fractional_claim_pending_allocation
SZ300655,f259c52d5a9adf4fc742d2df,20220609,20220610,0.6877934,exact_fractional_claim_pending_allocation
SZ300663,6f4f82b6038d8f7c6677e905,20180604,20180605,0.4962948,exact_fractional_claim_pending_allocation
SZ300672,a38498436b192d48a92f2ffe,20190620,20190621,0.5937787,exact_fractional_claim_pending_allocation
SZ300693,23ffa9a58a983384cf65b5fa,20230515,20230516,0.496775,exact_fractional_claim_pending_allocation
SZ300738,84f2eb6ca86d80e0213a0eb3,20230525,20230526,0.1999999,exact_fractional_claim_pending_allocation
SZ300743,cee9982a4faa75286db41b6e,20210615,20210616,0.3996274,exact_fractional_claim_pending_allocation
SZ300752,b7d1ad5e4c3c71e1b1d7eefe,20210602,20210603,0.599999,exact_fractional_claim_pending_allocation
SZ300767,280bfa67fb61f623c04060a3,20220525,20220526,0.1999477,exact_fractional_claim_pending_allocation
SZ300778,bb3b28d468483811ffd01bc5,20220609,20220610,0.1984546,exact_fractional_claim_pending_allocation
SZ300785,1dac2d9384c6858aded0271a,20200622,20200623,0.4945815,exact_fractional_claim_pending_allocation
SZ300792,2f9b236af3f97e06dd006074,20210527,20210528,0.5002308,exact_fractional_claim_pending_allocation
SZ300827,975d0aca5b351e6d758a5843,20230615,20230616,0.4293753,exact_fractional_claim_pending_allocation
