outer_split_id,factor,condition,bucket,mean_rank_ic,rank_icir,positive_ic_ratio,valid_days
split_002,alpha158_IMIN5,liquidity_proxy,q1,0.020950084488846964,0.17376857865989195,0.6290322580645161,124
split_002,alpha158_IMIN5,liquidity_proxy,q2,0.022321206866723804,0.20074382036386815,0.5645161290322581,124
split_002,alpha158_IMIN5,liquidity_proxy,q3,0.02173164811617625,0.16250924905774525,0.5564516129032258,124
split_002,alpha158_KLEN,liquidity_proxy,q1,-0.009061451960759458,-0.05111037003457629,0.5403225806451613,124
split_002,alpha158_KLEN,liquidity_proxy,q2,-0.056693076431054715,-0.33631318486689205,0.3629032258064516,124
split_002,alpha158_KLEN,liquidity_proxy,q3,-0.12138967455238625,-0.6150587335242448,0.25,124
split_002,alpha158_KLOW,liquidity_proxy,q1,-0.016446350036179582,-0.12082905430010807,0.4435483870967742,124
split_002,alpha158_KLOW,liquidity_proxy,q2,-0.04021547020305539,-0.31705847682804317,0.3629032258064516,124
split_002,alpha158_KLOW,liquidity_proxy,q3,-0.07466438530178517,-0.544760712159027,0.2661290322580645,124
split_002,alpha158_KUP,liquidity_proxy,q1,0.0077035919718552795,0.05893503458724419,0.5161290322580645,124
split_002,alpha158_KUP,liquidity_proxy,q2,-0.00948562068811757,-0.07291925661767489,0.5,124
split_002,alpha158_KUP,liquidity_proxy,q3,-0.05360328190931175,-0.36677829443816756,0.3467741935483871,124
split_002,alpha158_LOW0,liquidity_proxy,q1,0.027095174554887573,0.18576572441951764,0.5725806451612904,124
split_002,alpha158_LOW0,liquidity_proxy,q2,0.054016008871774907,0.3752114821698203,0.6532258064516129,124
split_002,alpha158_LOW0,liquidity_proxy,q3,0.09300163909531559,0.5925633634177888,0.7096774193548387,124
split_002,alpha158_MIN10,liquidity_proxy,q1,0.013987347896537192,0.08684155089222655,0.4838709677419355,124
split_002,alpha158_MIN10,liquidity_proxy,q2,0.04811944610983605,0.32518371912077954,0.5887096774193549,124
split_002,alpha158_MIN10,liquidity_proxy,q3,0.09194348480264146,0.5284127245066973,0.6532258064516129,124
split_002,alpha158_STD10,liquidity_proxy,q1,0.012854249715445664,0.06650120817757478,0.5564516129032258,124
split_002,alpha158_STD10,liquidity_proxy,q2,-0.04111837594488813,-0.2098182208834749,0.3629032258064516,124
split_002,alpha158_STD10,liquidity_proxy,q3,-0.0948844281853818,-0.43223508738261746,0.25806451612903225,124
split_002,alpha158_VMA60,liquidity_proxy,q1,0.054212088044726256,0.4895145543656678,0.6854838709677419,124
