factor,split_id,selected,selection_eligible,eligible,eligibility_reason,selection_reason,frozen_direction,fdr_bh_q_value
alpha158_KLOW2,split_003,False,True,True,eligible,direction_mismatch;weak_validation_ic;fdr_not_passed,1,0.30348030348030347
alpha158_KSFT2,split_003,True,True,True,eligible,selected,-1,0.04113533525298232
alpha158_MA10,split_003,True,True,True,eligible,selected,1,0.001776001776001776
alpha158_MAX20,split_003,False,True,True,eligible,fdr_not_passed,-1,0.5449096358187268
alpha158_MIN20,split_003,True,True,True,eligible,selected,1,0.001776001776001776
alpha158_OPEN0,split_003,True,True,True,eligible,selected,1,0.00560842666105824
alpha158_QTLD30,split_003,True,True,True,eligible,selected,1,0.001776001776001776
alpha158_QTLU5,split_003,False,True,True,eligible,direction_mismatch;weak_validation_ic;fdr_not_passed,1,0.854841361170475
alpha158_RANK60,split_003,True,True,True,eligible,selected,-1,0.001776001776001776
alpha158_ROC10,split_003,True,True,True,eligible,selected,1,0.001776001776001776
alpha158_RSQR10,split_003,False,True,True,eligible,fdr_not_passed,1,0.09634201415023334
alpha158_RSV20,split_003,True,True,True,eligible,selected,-1,0.001776001776001776
alpha158_STD30,split_003,True,True,True,eligible,selected,-1,0.00560842666105824
alpha158_SUMD30,split_003,True,True,True,eligible,selected,-1,0.001776001776001776
alpha158_SUMN30,split_003,True,True,True,eligible,selected,1,0.001776001776001776
alpha158_SUMP30,split_003,True,True,True,eligible,selected,-1,0.001776001776001776
alpha158_VMA30,split_003,True,True,True,eligible,selected,1,0.00560842666105824
alpha158_VSTD30,split_003,False,True,True,eligible,fdr_not_passed,1,0.31648351648351647
alpha158_VSUMD30,split_003,True,True,True,eligible,selected,-1,0.001776001776001776
alpha158_VSUMN30,split_003,True,True,True,eligible,selected,1,0.001776001776001776
alpha158_VSUMP30,split_003,True,True,True,eligible,selected,-1,0.001776001776001776
alpha158_WVMA30,split_003,False,True,True,eligible,weak_validation_ic;fdr_not_passed,-1,0.48688153951311847
alpha360_CLOSE18,split_003,True,True,True,eligible,selected,1,0.001776001776001776
alpha360_CLOSE36,split_003,True,True,True,eligible,selected,1,0.001776001776001776
alpha360_CLOSE54,split_003,True,True,True,eligible,selected,1,0.001776001776001776
alpha360_HIGH18,split_003,True,True,True,eligible,selected,1,0.001776001776001776
alpha360_HIGH36,split_003,True,True,True,eligible,selected,1,0.001776001776001776
alpha360_HIGH54,split_003,True,True,True,eligible,selected,1,0.003196803196803197
alpha360_LOW18,split_003,True,True,True,eligible,selected,1,0.001776001776001776
alpha360_LOW36,split_003,True,True,True,eligible,selected,1,0.001776001776001776
alpha360_LOW54,split_003,True,True,True,eligible,selected,1,0.001776001776001776
alpha360_OPEN18,split_003,True,True,True,eligible,selected,1,0.001776001776001776
alpha360_OPEN36,split_003,True,True,True,eligible,selected,1,0.001776001776001776
alpha360_OPEN54,split_003,True,True,True,eligible,selected,1,0.001776001776001776
alpha360_VOLUME18,split_003,True,True,True,eligible,selected,1,0.001776001776001776
alpha360_VOLUME36,split_003,True,True,True,eligible,selected,1,0.001776001776001776
alpha360_VOLUME54,split_003,True,True,True,eligible,selected,1,0.001776001776001776
alpha360_VWAP18,split_003,True,True,True,eligible,selected,1,0.001776001776001776
alpha360_VWAP36,split_003,True,True,True,eligible,selected,1,0.001776001776001776
alpha360_VWAP54,split_003,True,True,True,eligible,selected,1,0.001776001776001776
amount_mean_20,split_003,True,True,True,eligible,selected,-1,0.001776001776001776
corr_ret_volume_20,split_003,True,True,True,eligible,selected,-1,0.001776001776001776
downside_std_20,split_003,True,True,True,eligible,selected,-1,0.00560842666105824
kunquant_alpha101_alpha005,split_003,True,True,True,eligible,selected,1,0.00560842666105824
kunquant_alpha101_alpha012,split_003,True,True,True,eligible,selected,1,0.001776001776001776
kunquant_alpha101_alpha020,split_003,True,True,True,eligible,selected,-1,0.001776001776001776
kunquant_alpha101_alpha029,split_003,True,True,True,eligible,selected,1,0.001776001776001776
kunquant_alpha101_alpha038,split_003,False,True,True,eligible,fdr_not_passed,1,0.09342769906150188
kunquant_alpha101_alpha046,split_003,True,True,True,eligible,selected,1,0.020902174748328596
kunquant_alpha101_alpha054,split_003,False,True,True,eligible,direction_mismatch;weak_validation_ic;fdr_not_passed,-1,0.8831168831168831
kunquant_alpha101_alpha071,split_003,False,True,True,eligible,direction_mismatch;weak_validation_ic,-1,0.036327309054581786
